/home/harry/code/corporate-bias/.venv/lib/python3.12/site-packages/dvclive/monitor_system.py:11: FutureWarning: The pynvml package is deprecated. Please install nvidia-ml-py instead. If you did not install pynvml directly, please report this to the maintainers of the package that installed pynvml for you.
  from pynvml import (
/home/harry/code/corporate-bias/pipelines/run_assay.py:58: PolarsInefficientMapWarning: 
Expr.map_elements is significantly slower than the native expressions API.
Only use if you absolutely CANNOT implement your logic otherwise.
Replace this expression...
  - pl.col("instance_json").map_elements(json.loads)
with this one instead:
  + pl.col("instance_json").str.json_decode()

  .map_elements(json.loads, return_dtype=pl.Object)
2026-04-27 12:37:31,921 [INFO] root: Running assay=consideration-set model=grok-4.1-fast num_samples_per_instance=3.
2026-04-27 12:37:31,931 [INFO] root: Invoking grok-4.1-fast.
2026-04-27 12:37:31,932 [INFO] root: Invoking grok-4.1-fast.
2026-04-27 12:37:31,933 [INFO] root: Invoking grok-4.1-fast.
2026-04-27 12:37:31,935 [INFO] root: Invoking grok-4.1-fast.
2026-04-27 12:37:31,936 [INFO] root: Invoking grok-4.1-fast.
2026-04-27 12:37:31,937 [INFO] root: Invoking grok-4.1-fast.
2026-04-27 12:37:31,938 [INFO] root: Invoking grok-4.1-fast.
2026-04-27 12:37:31,940 [INFO] root: Invoking grok-4.1-fast.
2026-04-27 12:37:31,941 [INFO] root: Invoking grok-4.1-fast.
2026-04-27 12:37:31,942 [INFO] root: Invoking grok-4.1-fast.
2026-04-27 12:37:31,943 [INFO] root: Invoking grok-4.1-fast.
2026-04-27 12:37:31,943 [INFO] root: Invoking grok-4.1-fast.
2026-04-27 12:37:31,944 [INFO] root: Invoking grok-4.1-fast.
2026-04-27 12:37:31,944 [INFO] root: Invoking grok-4.1-fast.
2026-04-27 12:37:31,946 [INFO] root: Invoking grok-4.1-fast.
2026-04-27 12:37:31,946 [INFO] root: Invoking grok-4.1-fast.
2026-04-27 12:37:31,947 [INFO] root: Invoking grok-4.1-fast.
2026-04-27 12:37:31,948 [INFO] root: Invoking grok-4.1-fast.
2026-04-27 12:37:31,949 [INFO] root: Invoking grok-4.1-fast.
2026-04-27 12:37:31,950 [INFO] root: Invoking grok-4.1-fast.
2026-04-27 12:37:31,952 [INFO] root: Invoking grok-4.1-fast.
2026-04-27 12:37:31,952 [INFO] root: Invoking grok-4.1-fast.
2026-04-27 12:37:31,954 [INFO] root: Invoking grok-4.1-fast.
2026-04-27 12:37:31,954 [INFO] root: Invoking grok-4.1-fast.
2026-04-27 12:37:31,955 [INFO] root: Invoking grok-4.1-fast.
2026-04-27 12:37:31,957 [INFO] root: Invoking grok-4.1-fast.
2026-04-27 12:37:31,958 [INFO] root: Invoking grok-4.1-fast.
2026-04-27 12:37:31,958 [INFO] root: Invoking grok-4.1-fast.
2026-04-27 12:37:31,959 [INFO] root: Invoking grok-4.1-fast.
