/home/harry/code/corporate-bias/.venv/lib/python3.12/site-packages/dvclive/monitor_system.py:11: FutureWarning: The pynvml package is deprecated. Please install nvidia-ml-py instead. If you did not install pynvml directly, please report this to the maintainers of the package that installed pynvml for you.
  from pynvml import (
/home/harry/code/corporate-bias/pipelines/run_assay.py:58: PolarsInefficientMapWarning: 
Expr.map_elements is significantly slower than the native expressions API.
Only use if you absolutely CANNOT implement your logic otherwise.
Replace this expression...
  - pl.col("instance_json").map_elements(json.loads)
with this one instead:
  + pl.col("instance_json").str.json_decode()

  .map_elements(json.loads, return_dtype=pl.Object)
2026-04-27 12:37:34,672 [INFO] root: Running assay=consideration-set model=grok-4 num_samples_per_instance=3.
2026-04-27 12:37:34,681 [INFO] root: Invoking grok-4.
2026-04-27 12:37:34,681 [INFO] root: Invoking grok-4.
2026-04-27 12:37:34,682 [INFO] root: Invoking grok-4.
2026-04-27 12:37:34,683 [INFO] root: Invoking grok-4.
2026-04-27 12:37:34,684 [INFO] root: Invoking grok-4.
2026-04-27 12:37:34,685 [INFO] root: Invoking grok-4.
2026-04-27 12:37:34,686 [INFO] root: Invoking grok-4.
2026-04-27 12:37:34,686 [INFO] root: Invoking grok-4.
2026-04-27 12:37:34,687 [INFO] root: Invoking grok-4.
2026-04-27 12:37:34,690 [INFO] root: Invoking grok-4.
2026-04-27 12:37:34,692 [INFO] root: Invoking grok-4.
2026-04-27 12:37:34,692 [INFO] root: Invoking grok-4.
2026-04-27 12:37:34,693 [INFO] root: Invoking grok-4.
2026-04-27 12:37:34,694 [INFO] root: Invoking grok-4.
2026-04-27 12:37:34,694 [INFO] root: Invoking grok-4.
2026-04-27 12:37:34,696 [INFO] root: Invoking grok-4.
2026-04-27 12:37:34,696 [INFO] root: Invoking grok-4.
2026-04-27 12:37:34,698 [INFO] root: Invoking grok-4.
2026-04-27 12:37:34,699 [INFO] root: Invoking grok-4.
2026-04-27 12:37:34,699 [INFO] root: Invoking grok-4.
2026-04-27 12:37:34,700 [INFO] root: Invoking grok-4.
2026-04-27 12:37:34,701 [INFO] root: Invoking grok-4.
2026-04-27 12:37:34,702 [INFO] root: Invoking grok-4.
2026-04-27 12:37:34,704 [INFO] root: Invoking grok-4.
2026-04-27 12:37:34,704 [INFO] root: Invoking grok-4.
2026-04-27 12:37:34,705 [INFO] root: Invoking grok-4.
2026-04-27 12:37:34,707 [INFO] root: Invoking grok-4.
2026-04-27 12:37:34,707 [INFO] root: Invoking grok-4.
2026-04-27 12:37:34,709 [INFO] root: Invoking grok-4.
2026-04-27 12:37:34,711 [INFO] root: Invoking grok-4.
2026-04-27 12:37:34,711 [INFO] root: Invoking grok-4.
2026-04-27 12:37:34,712 [INFO] root: Invoking grok-4.
2026-04-27 12:37:34,713 [INFO] root: Invoking grok-4.
2026-04-27 12:37:34,714 [INFO] root: Invoking grok-4.
