/home/harry/code/corporate-bias/.venv/lib/python3.12/site-packages/dvclive/monitor_system.py:11: FutureWarning: The pynvml package is deprecated. Please install nvidia-ml-py instead. If you did not install pynvml directly, please report this to the maintainers of the package that installed pynvml for you.
  from pynvml import (
/home/harry/code/corporate-bias/pipelines/run_assay.py:58: PolarsInefficientMapWarning: 
Expr.map_elements is significantly slower than the native expressions API.
Only use if you absolutely CANNOT implement your logic otherwise.
Replace this expression...
  - pl.col("instance_json").map_elements(json.loads)
with this one instead:
  + pl.col("instance_json").str.json_decode()

  .map_elements(json.loads, return_dtype=pl.Object)
2026-04-17 14:12:55,469 [INFO] root: Running assay=consideration-set model=llama-3.1-8b-instruct num_samples_per_instance=3.
2026-04-17 14:12:55,481 [INFO] root: Invoking llama-3.1-8b-instruct.
2026-04-17 14:12:55,482 [INFO] root: Invoking llama-3.1-8b-instruct.
2026-04-17 14:12:55,483 [INFO] root: Invoking llama-3.1-8b-instruct.
2026-04-17 14:12:55,484 [INFO] root: Invoking llama-3.1-8b-instruct.
2026-04-17 14:12:55,484 [INFO] root: Invoking llama-3.1-8b-instruct.
2026-04-17 14:12:55,485 [INFO] root: Invoking llama-3.1-8b-instruct.
2026-04-17 14:12:55,486 [INFO] root: Invoking llama-3.1-8b-instruct.
2026-04-17 14:12:55,487 [INFO] root: Invoking llama-3.1-8b-instruct.
2026-04-17 14:12:55,489 [INFO] root: Invoking llama-3.1-8b-instruct.
2026-04-17 14:12:55,490 [INFO] root: Invoking llama-3.1-8b-instruct.
2026-04-17 14:12:55,491 [INFO] root: Invoking llama-3.1-8b-instruct.
2026-04-17 14:12:55,491 [INFO] root: Invoking llama-3.1-8b-instruct.
2026-04-17 14:12:55,492 [INFO] root: Invoking llama-3.1-8b-instruct.
2026-04-17 14:12:55,493 [INFO] root: Invoking llama-3.1-8b-instruct.
2026-04-17 14:12:55,494 [INFO] root: Invoking llama-3.1-8b-instruct.
2026-04-17 14:12:55,495 [INFO] root: Invoking llama-3.1-8b-instruct.
2026-04-17 14:12:55,496 [INFO] root: Invoking llama-3.1-8b-instruct.
2026-04-17 14:12:55,497 [INFO] root: Invoking llama-3.1-8b-instruct.
2026-04-17 14:12:55,497 [INFO] root: Invoking llama-3.1-8b-instruct.
2026-04-17 14:12:55,498 [INFO] root: Invoking llama-3.1-8b-instruct.
2026-04-17 14:12:55,499 [INFO] root: Invoking llama-3.1-8b-instruct.
2026-04-17 14:12:55,501 [INFO] root: Invoking llama-3.1-8b-instruct.
2026-04-17 14:12:55,502 [INFO] root: Invoking llama-3.1-8b-instruct.
2026-04-17 14:12:55,502 [INFO] root: Invoking llama-3.1-8b-instruct.
2026-04-17 14:12:55,503 [INFO] root: Invoking llama-3.1-8b-instruct.
2026-04-17 14:12:55,503 [INFO] root: Invoking llama-3.1-8b-instruct.
