/home/harry/code/corporate-bias/.venv/lib/python3.12/site-packages/dvclive/monitor_system.py:11: FutureWarning: The pynvml package is deprecated. Please install nvidia-ml-py instead. If you did not install pynvml directly, please report this to the maintainers of the package that installed pynvml for you.
  from pynvml import (
/home/harry/code/corporate-bias/pipelines/run_assay.py:58: PolarsInefficientMapWarning: 
Expr.map_elements is significantly slower than the native expressions API.
Only use if you absolutely CANNOT implement your logic otherwise.
Replace this expression...
  - pl.col("instance_json").map_elements(json.loads)
with this one instead:
  + pl.col("instance_json").str.json_decode()

  .map_elements(json.loads, return_dtype=pl.Object)
2026-05-13 15:33:14,759 [INFO] root: Running assay=consideration-set model=phi-4 num_samples_per_instance=3.
2026-05-13 15:33:14,770 [INFO] root: Invoking phi-4.
2026-05-13 15:33:14,770 [INFO] root: Invoking phi-4.
2026-05-13 15:33:14,772 [INFO] root: Invoking phi-4.
2026-05-13 15:33:14,772 [INFO] root: Invoking phi-4.
2026-05-13 15:33:14,773 [INFO] root: Invoking phi-4.
2026-05-13 15:33:14,775 [INFO] root: Invoking phi-4.
2026-05-13 15:33:14,777 [INFO] root: Invoking phi-4.
2026-05-13 15:33:14,779 [INFO] root: Invoking phi-4.
2026-05-13 15:33:14,780 [INFO] root: Invoking phi-4.
2026-05-13 15:33:14,782 [INFO] root: Invoking phi-4.
2026-05-13 15:33:14,783 [INFO] root: Invoking phi-4.
2026-05-13 15:33:14,787 [INFO] root: Invoking phi-4.
2026-05-13 15:33:14,789 [INFO] root: Invoking phi-4.
2026-05-13 15:33:14,793 [INFO] root: Invoking phi-4.
2026-05-13 15:33:14,794 [INFO] root: Invoking phi-4.
2026-05-13 15:33:14,796 [INFO] root: Invoking phi-4.
2026-05-13 15:33:14,798 [INFO] root: Invoking phi-4.
2026-05-13 15:33:14,812 [INFO] root: Invoking phi-4.
2026-05-13 15:33:14,819 [INFO] root: Invoking phi-4.
2026-05-13 15:33:14,822 [INFO] root: Invoking phi-4.
2026-05-13 15:33:14,827 [INFO] root: Invoking phi-4.
2026-05-13 15:33:14,830 [INFO] root: Invoking phi-4.
2026-05-13 15:33:14,833 [INFO] root: Invoking phi-4.
2026-05-13 15:33:14,833 [INFO] root: Invoking phi-4.
2026-05-13 15:33:14,835 [INFO] root: Invoking phi-4.
2026-05-13 15:33:14,836 [INFO] root: Invoking phi-4.
2026-05-13 15:33:14,839 [INFO] root: Invoking phi-4.
2026-05-13 15:33:14,842 [INFO] root: Invoking phi-4.
2026-05-13 15:33:14,846 [INFO] root: Invoking phi-4.
2026-05-13 15:33:14,851 [INFO] root: Invoking phi-4.
2026-05-13 15:33:14,854 [INFO] root: Invoking phi-4.
2026-05-13 15:33:14,856 [INFO] root: Invoking phi-4.
2026-05-13 15:33:14,858 [INFO] root: Invoking phi-4.
2026-05-13 15:33:14,860 [INFO] root: Invoking phi-4.
