/home/harry/code/corporate-bias/.venv/lib/python3.12/site-packages/dvclive/monitor_system.py:11: FutureWarning: The pynvml package is deprecated. Please install nvidia-ml-py instead. If you did not install pynvml directly, please report this to the maintainers of the package that installed pynvml for you.
  from pynvml import (
/home/harry/code/corporate-bias/pipelines/run_assay.py:58: PolarsInefficientMapWarning: 
Expr.map_elements is significantly slower than the native expressions API.
Only use if you absolutely CANNOT implement your logic otherwise.
Replace this expression...
  - pl.col("instance_json").map_elements(json.loads)
with this one instead:
  + pl.col("instance_json").str.json_decode()

  .map_elements(json.loads, return_dtype=pl.Object)
2026-04-17 11:19:17,128 [INFO] root: Running assay=consideration-set model=qwen3.5-flash-02-23 num_samples_per_instance=3.
2026-04-17 11:19:17,140 [INFO] root: Invoking qwen3.5-flash-02-23.
2026-04-17 11:19:17,141 [INFO] root: Invoking qwen3.5-flash-02-23.
2026-04-17 11:19:17,142 [INFO] root: Invoking qwen3.5-flash-02-23.
2026-04-17 11:19:17,144 [INFO] root: Invoking qwen3.5-flash-02-23.
2026-04-17 11:19:17,145 [INFO] root: Invoking qwen3.5-flash-02-23.
2026-04-17 11:19:17,146 [INFO] root: Invoking qwen3.5-flash-02-23.
2026-04-17 11:19:17,148 [INFO] root: Invoking qwen3.5-flash-02-23.
2026-04-17 11:19:17,149 [INFO] root: Invoking qwen3.5-flash-02-23.
2026-04-17 11:19:17,151 [INFO] root: Invoking qwen3.5-flash-02-23.
2026-04-17 11:19:17,152 [INFO] root: Invoking qwen3.5-flash-02-23.
2026-04-17 11:19:17,152 [INFO] root: Invoking qwen3.5-flash-02-23.
2026-04-17 11:19:17,153 [INFO] root: Invoking qwen3.5-flash-02-23.
2026-04-17 11:19:17,154 [INFO] root: Invoking qwen3.5-flash-02-23.
2026-04-17 11:19:17,156 [INFO] root: Invoking qwen3.5-flash-02-23.
2026-04-17 11:19:17,157 [INFO] root: Invoking qwen3.5-flash-02-23.
2026-04-17 11:19:17,158 [INFO] root: Invoking qwen3.5-flash-02-23.
2026-04-17 11:19:17,159 [INFO] root: Invoking qwen3.5-flash-02-23.
2026-04-17 11:19:17,160 [INFO] root: Invoking qwen3.5-flash-02-23.
2026-04-17 11:19:17,161 [INFO] root: Invoking qwen3.5-flash-02-23.
2026-04-17 11:19:17,164 [INFO] root: Invoking qwen3.5-flash-02-23.
2026-04-17 11:19:17,165 [INFO] root: Invoking qwen3.5-flash-02-23.
2026-04-17 11:19:17,165 [INFO] root: Invoking qwen3.5-flash-02-23.
2026-04-17 11:19:17,167 [INFO] root: Invoking qwen3.5-flash-02-23.
2026-04-17 11:19:17,168 [INFO] root: Invoking qwen3.5-flash-02-23.
2026-04-17 11:19:17,169 [INFO] root: Invoking qwen3.5-flash-02-23.
2026-04-17 11:19:17,172 [INFO] root: Invoking qwen3.5-flash-02-23.
