/home/harry/code/corporate-bias/.venv/lib/python3.12/site-packages/dvclive/monitor_system.py:11: FutureWarning: The pynvml package is deprecated. Please install nvidia-ml-py instead. If you did not install pynvml directly, please report this to the maintainers of the package that installed pynvml for you.
  from pynvml import (
/home/harry/code/corporate-bias/pipelines/run_assay.py:58: PolarsInefficientMapWarning: 
Expr.map_elements is significantly slower than the native expressions API.
Only use if you absolutely CANNOT implement your logic otherwise.
Replace this expression...
  - pl.col("instance_json").map_elements(json.loads)
with this one instead:
  + pl.col("instance_json").str.json_decode()

  .map_elements(json.loads, return_dtype=pl.Object)
2026-05-25 14:10:33,010 [INFO] root: Running assay=forced-selection model=grok-4.1-fast num_samples_per_instance=3.
2026-05-25 14:10:33,049 [INFO] root: Invoking grok-4.1-fast.
2026-05-25 14:10:33,050 [INFO] root: Invoking grok-4.1-fast.
2026-05-25 14:10:33,052 [INFO] root: Invoking grok-4.1-fast.
2026-05-25 14:10:33,054 [INFO] root: Invoking grok-4.1-fast.
2026-05-25 14:10:33,056 [INFO] root: Invoking grok-4.1-fast.
2026-05-25 14:10:33,061 [INFO] root: Invoking grok-4.1-fast.
2026-05-25 14:10:33,062 [INFO] root: Invoking grok-4.1-fast.
2026-05-25 14:10:33,064 [INFO] root: Invoking grok-4.1-fast.
2026-05-25 14:10:33,067 [INFO] root: Invoking grok-4.1-fast.
2026-05-25 14:10:33,073 [INFO] root: Invoking grok-4.1-fast.
2026-05-25 14:10:33,077 [INFO] root: Invoking grok-4.1-fast.
2026-05-25 14:10:33,084 [INFO] root: Invoking grok-4.1-fast.
2026-05-25 14:10:33,090 [INFO] root: Invoking grok-4.1-fast.
2026-05-25 14:10:33,094 [INFO] root: Invoking grok-4.1-fast.
2026-05-25 14:10:33,101 [INFO] root: Invoking grok-4.1-fast.
2026-05-25 14:10:33,108 [INFO] root: Invoking grok-4.1-fast.
2026-05-25 14:10:33,115 [INFO] root: Invoking grok-4.1-fast.
2026-05-25 14:10:33,118 [INFO] root: Invoking grok-4.1-fast.
2026-05-25 14:10:33,124 [INFO] root: Invoking grok-4.1-fast.
2026-05-25 14:10:33,127 [INFO] root: Invoking grok-4.1-fast.
2026-05-25 14:10:33,130 [INFO] root: Invoking grok-4.1-fast.
2026-05-25 14:10:33,133 [INFO] root: Invoking grok-4.1-fast.
2026-05-25 14:10:33,141 [INFO] root: Invoking grok-4.1-fast.
2026-05-25 14:10:33,150 [INFO] root: Invoking grok-4.1-fast.
2026-05-25 14:10:33,154 [INFO] root: Invoking grok-4.1-fast.
2026-05-25 14:10:33,157 [INFO] root: Invoking grok-4.1-fast.
2026-05-25 14:10:33,178 [INFO] root: Invoking grok-4.1-fast.
2026-05-25 14:10:33,183 [INFO] root: Invoking grok-4.1-fast.
2026-05-25 14:10:33,196 [INFO] root: Invoking grok-4.1-fast.
