/home/harry/code/corporate-bias/.venv/lib/python3.12/site-packages/dvclive/monitor_system.py:11: FutureWarning: The pynvml package is deprecated. Please install nvidia-ml-py instead. If you did not install pynvml directly, please report this to the maintainers of the package that installed pynvml for you.
  from pynvml import (
/home/harry/code/corporate-bias/pipelines/run_assay.py:58: PolarsInefficientMapWarning: 
Expr.map_elements is significantly slower than the native expressions API.
Only use if you absolutely CANNOT implement your logic otherwise.
Replace this expression...
  - pl.col("instance_json").map_elements(json.loads)
with this one instead:
  + pl.col("instance_json").str.json_decode()

  .map_elements(json.loads, return_dtype=pl.Object)
2026-05-25 11:07:59,208 [INFO] root: Running assay=forced-selection model=grok-4 num_samples_per_instance=3.
2026-05-25 11:07:59,224 [INFO] root: Invoking grok-4.
2026-05-25 11:07:59,225 [INFO] root: Invoking grok-4.
2026-05-25 11:07:59,226 [INFO] root: Invoking grok-4.
2026-05-25 11:07:59,227 [INFO] root: Invoking grok-4.
2026-05-25 11:07:59,228 [INFO] root: Invoking grok-4.
2026-05-25 11:07:59,229 [INFO] root: Invoking grok-4.
2026-05-25 11:07:59,230 [INFO] root: Invoking grok-4.
2026-05-25 11:07:59,233 [INFO] root: Invoking grok-4.
2026-05-25 11:07:59,234 [INFO] root: Invoking grok-4.
2026-05-25 11:07:59,235 [INFO] root: Invoking grok-4.
2026-05-25 11:07:59,237 [INFO] root: Invoking grok-4.
2026-05-25 11:07:59,238 [INFO] root: Invoking grok-4.
2026-05-25 11:07:59,239 [INFO] root: Invoking grok-4.
2026-05-25 11:07:59,240 [INFO] root: Invoking grok-4.
2026-05-25 11:07:59,242 [INFO] root: Invoking grok-4.
2026-05-25 11:07:59,245 [INFO] root: Invoking grok-4.
2026-05-25 11:07:59,246 [INFO] root: Invoking grok-4.
2026-05-25 11:07:59,250 [INFO] root: Invoking grok-4.
2026-05-25 11:07:59,252 [INFO] root: Invoking grok-4.
2026-05-25 11:07:59,255 [INFO] root: Invoking grok-4.
2026-05-25 11:07:59,258 [INFO] root: Invoking grok-4.
2026-05-25 11:07:59,260 [INFO] root: Invoking grok-4.
2026-05-25 11:07:59,262 [INFO] root: Invoking grok-4.
2026-05-25 11:07:59,263 [INFO] root: Invoking grok-4.
2026-05-25 11:07:59,267 [INFO] root: Invoking grok-4.
2026-05-25 11:07:59,270 [INFO] root: Invoking grok-4.
2026-05-25 11:07:59,280 [INFO] root: Invoking grok-4.
2026-05-25 11:07:59,282 [INFO] root: Invoking grok-4.
2026-05-25 11:07:59,284 [INFO] root: Invoking grok-4.
2026-05-25 11:07:59,291 [INFO] root: Invoking grok-4.
2026-05-25 11:07:59,294 [INFO] root: Invoking grok-4.
2026-05-25 11:07:59,301 [INFO] root: Invoking grok-4.
2026-05-25 11:07:59,304 [INFO] root: Invoking grok-4.
2026-05-25 11:07:59,307 [INFO] root: Invoking grok-4.
