/home/harry/code/corporate-bias/.venv/lib/python3.12/site-packages/dvclive/monitor_system.py:11: FutureWarning: The pynvml package is deprecated. Please install nvidia-ml-py instead. If you did not install pynvml directly, please report this to the maintainers of the package that installed pynvml for you.
  from pynvml import (
/home/harry/code/corporate-bias/pipelines/run_assay.py:58: PolarsInefficientMapWarning: 
Expr.map_elements is significantly slower than the native expressions API.
Only use if you absolutely CANNOT implement your logic otherwise.
Replace this expression...
  - pl.col("instance_json").map_elements(json.loads)
with this one instead:
  + pl.col("instance_json").str.json_decode()

  .map_elements(json.loads, return_dtype=pl.Object)
2026-04-15 11:14:35,259 [INFO] root: Running assay=forced-selection model=phi-4 num_samples_per_instance=3.
2026-04-15 11:14:35,266 [INFO] root: Invoking phi-4.
2026-04-15 11:14:35,267 [INFO] root: Invoking phi-4.
2026-04-15 11:14:35,269 [INFO] root: Invoking phi-4.
2026-04-15 11:14:35,269 [INFO] root: Invoking phi-4.
2026-04-15 11:14:35,270 [INFO] root: Invoking phi-4.
2026-04-15 11:14:35,271 [INFO] root: Invoking phi-4.
2026-04-15 11:14:35,272 [INFO] root: Invoking phi-4.
2026-04-15 11:14:35,273 [INFO] root: Invoking phi-4.
2026-04-15 11:14:35,273 [INFO] root: Invoking phi-4.
2026-04-15 11:14:35,274 [INFO] root: Invoking phi-4.
2026-04-15 11:14:35,275 [INFO] root: Invoking phi-4.
2026-04-15 11:14:35,276 [INFO] root: Invoking phi-4.
2026-04-15 11:14:34,028 [INFO] root: Invoking phi-4.
2026-04-15 11:14:34,030 [INFO] root: Invoking phi-4.
2026-04-15 11:14:34,030 [INFO] root: Invoking phi-4.
2026-04-15 11:14:34,031 [INFO] root: Invoking phi-4.
2026-04-15 11:14:34,032 [INFO] root: Invoking phi-4.
2026-04-15 11:14:34,033 [INFO] root: Invoking phi-4.
2026-04-15 11:14:34,034 [INFO] root: Invoking phi-4.
2026-04-15 11:14:34,035 [INFO] root: Invoking phi-4.
2026-04-15 11:14:34,035 [INFO] root: Invoking phi-4.
2026-04-15 11:14:34,037 [INFO] root: Invoking phi-4.
2026-04-15 11:14:34,038 [INFO] root: Invoking phi-4.
2026-04-15 11:14:34,038 [INFO] root: Invoking phi-4.
2026-04-15 11:14:34,040 [INFO] root: Invoking phi-4.
2026-04-15 11:14:34,040 [INFO] root: Invoking phi-4.
2026-04-15 11:14:34,042 [INFO] root: Invoking phi-4.
2026-04-15 11:14:34,043 [INFO] root: Invoking phi-4.
2026-04-15 11:14:34,044 [INFO] root: Invoking phi-4.
2026-04-15 11:14:34,045 [INFO] root: Invoking phi-4.
2026-04-15 11:14:34,046 [INFO] root: Invoking phi-4.
2026-04-15 11:14:34,047 [INFO] root: Invoking phi-4.
2026-04-15 11:14:34,048 [INFO] root: Invoking phi-4.
2026-04-15 11:14:34,051 [INFO] root: Invoking phi-4.
