/home/harry/code/corporate-bias/.venv/lib/python3.12/site-packages/dvclive/monitor_system.py:11: FutureWarning: The pynvml package is deprecated. Please install nvidia-ml-py instead. If you did not install pynvml directly, please report this to the maintainers of the package that installed pynvml for you.
  from pynvml import (
/home/harry/code/corporate-bias/pipelines/run_assay.py:65: PolarsInefficientMapWarning: 
Expr.map_elements is significantly slower than the native expressions API.
Only use if you absolutely CANNOT implement your logic otherwise.
Replace this expression...
  - pl.col("instance_json").map_elements(json.loads)
with this one instead:
  + pl.col("instance_json").str.json_decode()

  .map_elements(json.loads, return_dtype=pl.Object)
['comparison_set_id', 'comparison_set_name', 'assay', 'instance_hash', 'instance']
[String, String, String, UInt64, Object]
2026-03-19 17:38:18,969 [DEBUG] dulwich.config: Loading gitconfig from paths: ['/home/harry/.gitconfig', '/home/harry/.config/git/config', '/etc/gitconfig']
2026-03-19 17:38:18,969 [DEBUG] dulwich.config: Successfully loaded gitconfig from: /home/harry/.gitconfig
2026-03-19 17:38:18,969 [DEBUG] dulwich.config: Gitconfig file not found: /home/harry/.config/git/config
2026-03-19 17:38:18,969 [DEBUG] dulwich.config: Successfully loaded gitconfig from: /etc/gitconfig
2026-03-19 17:38:18,969 [DEBUG] dulwich.config: Loading gitconfig from paths: ['/home/harry/.gitconfig', '/home/harry/.config/git/config', '/etc/gitconfig']
2026-03-19 17:38:18,969 [DEBUG] dulwich.config: Successfully loaded gitconfig from: /home/harry/.gitconfig
2026-03-19 17:38:18,969 [DEBUG] dulwich.config: Gitconfig file not found: /home/harry/.config/git/config
2026-03-19 17:38:18,969 [DEBUG] dulwich.config: Successfully loaded gitconfig from: /etc/gitconfig
2026-03-19 17:38:19,037 [INFO] root: Running assay=head-to-head model=gemini num_samples_per_instance=5.
2026-03-19 17:38:19,043 [INFO] root: Invoking gemini.
2026-03-19 17:38:19,044 [INFO] root: Invoking gemini.
2026-03-19 17:38:19,045 [INFO] root: Invoking gemini.
2026-03-19 17:38:19,046 [INFO] root: Invoking gemini.
2026-03-19 17:38:19,047 [INFO] root: Invoking gemini.
2026-03-19 17:38:19,048 [INFO] root: Invoking gemini.
2026-03-19 17:38:19,049 [INFO] root: Invoking gemini.
2026-03-19 17:38:19,050 [INFO] root: Invoking gemini.
2026-03-19 17:38:19,050 [INFO] root: Invoking gemini.
2026-03-19 17:38:19,051 [INFO] root: Invoking gemini.
2026-03-19 17:38:19,052 [INFO] root: Invoking gemini.
2026-03-19 17:38:19,053 [INFO] root: Invoking gemini.
2026-03-19 17:38:19,054 [INFO] root: Invoking gemini.
2026-03-19 17:38:19,055 [INFO] root: Invoking gemini.
2026-03-19 17:38:19,059 [INFO] root: Invoking gemini.
2026-03-19 17:38:19,062 [INFO] root: Invoking gemini.
2026-03-19 17:38:19,075 [INFO] root: Invoking gemini.
2026-03-19 17:38:19,087 [INFO] root: Invoking gemini.
2026-03-19 17:38:19,093 [INFO] root: Invoking gemini.
2026-03-19 17:38:19,101 [INFO] root: Invoking gemini.
2026-03-19 17:38:19,110 [INFO] root: Invoking gemini.
2026-03-19 17:38:19,114 [INFO] root: Invoking gemini.
2026-03-19 17:38:19,116 [INFO] root: Invoking gemini.
2026-03-19 17:38:19,121 [INFO] root: Invoking gemini.
2026-03-19 17:38:19,125 [INFO] root: Invoking gemini.
2026-03-19 17:38:19,129 [INFO] root: Invoking gemini.
2026-03-19 17:38:19,135 [INFO] root: Invoking gemini.
2026-03-19 17:38:19,138 [INFO] root: Invoking gemini.
2026-03-19 17:38:19,143 [INFO] root: Invoking gemini.
2026-03-19 17:38:19,151 [INFO] root: Invoking gemini.
2026-03-19 17:38:19,160 [INFO] root: Invoking gemini.
Preferences:   0%|          | 0/100 [00:00<?, ?it/s]2026-03-19 17:38:19,168 [INFO] root: Invoking gemini.
2026-03-19 17:38:19,316 [DEBUG] httpcore.connection: connect_tcp.started host='openrouter.ai' port=443 local_address=None timeout=None socket_options=None
2026-03-19 17:38:19,317 [DEBUG] httpcore.connection: connect_tcp.started host='openrouter.ai' port=443 local_address=None timeout=None socket_options=None
2026-03-19 17:38:19,317 [DEBUG] httpcore.connection: connect_tcp.started host='openrouter.ai' port=443 local_address=None timeout=None socket_options=None
2026-03-19 17:38:19,318 [DEBUG] httpcore.connection: connect_tcp.started host='openrouter.ai' port=443 local_address=None timeout=None socket_options=None
2026-03-19 17:38:19,319 [DEBUG] httpcore.connection: connect_tcp.started host='openrouter.ai' port=443 local_address=None timeout=None socket_options=None
2026-03-19 17:38:19,319 [DEBUG] httpcore.connection: connect_tcp.started host='openrouter.ai' port=443 local_address=None timeout=None socket_options=None
2026-03-19 17:38:19,320 [DEBUG] httpcore.connection: connect_tcp.started host='openrouter.ai' port=443 local_address=None timeout=None socket_options=None
2026-03-19 17:38:19,320 [DEBUG] httpcore.connection: connect_tcp.started host='openrouter.ai' port=443 local_address=None timeout=None socket_options=None
2026-03-19 17:38:19,326 [DEBUG] httpcore.connection: connect_tcp.started host='openrouter.ai' port=443 local_address=None timeout=None socket_options=None
2026-03-19 17:38:19,332 [DEBUG] httpcore.connection: connect_tcp.started host='openrouter.ai' port=443 local_address=None timeout=None socket_options=None
2026-03-19 17:38:19,337 [DEBUG] httpcore.connection: connect_tcp.started host='openrouter.ai' port=443 local_address=None timeout=None socket_options=None
2026-03-19 17:38:19,339 [DEBUG] httpcore.connection: connect_tcp.started host='openrouter.ai' port=443 local_address=None timeout=None socket_options=None
2026-03-19 17:38:19,358 [DEBUG] httpcore.connection: connect_tcp.started host='openrouter.ai' port=443 local_address=None timeout=None socket_options=None
2026-03-19 17:38:19,378 [DEBUG] httpcore.connection: connect_tcp.started host='openrouter.ai' port=443 local_address=None timeout=None socket_options=None
2026-03-19 17:38:19,396 [DEBUG] httpcore.connection: connect_tcp.started host='openrouter.ai' port=443 local_address=None timeout=None socket_options=None
2026-03-19 17:38:19,399 [DEBUG] httpcore.connection: connect_tcp.started host='openrouter.ai' port=443 local_address=None timeout=None socket_options=None
2026-03-19 17:38:19,409 [DEBUG] httpcore.connection: connect_tcp.started host='openrouter.ai' port=443 local_address=None timeout=None socket_options=None
2026-03-19 17:38:19,410 [DEBUG] httpcore.connection: connect_tcp.started host='openrouter.ai' port=443 local_address=None timeout=None socket_options=None
2026-03-19 17:38:19,416 [DEBUG] httpcore.connection: connect_tcp.started host='openrouter.ai' port=443 local_address=None timeout=None socket_options=None
2026-03-19 17:38:19,395 [DEBUG] httpcore.connection: connect_tcp.started host='openrouter.ai' port=443 local_address=None timeout=None socket_options=None
2026-03-19 17:38:19,420 [DEBUG] httpcore.connection: connect_tcp.started host='openrouter.ai' port=443 local_address=None timeout=None socket_options=None
2026-03-19 17:38:19,421 [DEBUG] httpcore.connection: connect_tcp.complete return_value=<httpcore._backends.sync.SyncStream object at 0x7a83ac79fe00>
2026-03-19 17:38:19,421 [DEBUG] httpcore.connection: connect_tcp.complete return_value=<httpcore._backends.sync.SyncStream object at 0x7a833cb12480>
2026-03-19 17:38:19,441 [DEBUG] httpcore.connection: connect_tcp.started host='openrouter.ai' port=443 local_address=None timeout=None socket_options=None
2026-03-19 17:38:19,445 [DEBUG] httpcore.connection: connect_tcp.started host='openrouter.ai' port=443 local_address=None timeout=None socket_options=None
2026-03-19 17:38:19,460 [DEBUG] httpcore.connection: connect_tcp.started host='openrouter.ai' port=443 local_address=None timeout=None socket_options=None
2026-03-19 17:38:19,481 [DEBUG] httpcore.connection: connect_tcp.started host='openrouter.ai' port=443 local_address=None timeout=None socket_options=None
2026-03-19 17:38:19,487 [DEBUG] httpcore.connection: connect_tcp.started host='openrouter.ai' port=443 local_address=None timeout=None socket_options=None
2026-03-19 17:38:19,487 [DEBUG] httpcore.connection: connect_tcp.complete return_value=<httpcore._backends.sync.SyncStream object at 0x7a83a4d0f9e0>
2026-03-19 17:38:19,487 [DEBUG] httpcore.connection: connect_tcp.complete return_value=<httpcore._backends.sync.SyncStream object at 0x7a833cb73860>
2026-03-19 17:38:19,499 [DEBUG] httpcore.connection: connect_tcp.started host='openrouter.ai' port=443 local_address=None timeout=None socket_options=None
2026-03-19 17:38:19,502 [DEBUG] httpcore.connection: connect_tcp.started host='openrouter.ai' port=443 local_address=None timeout=None socket_options=None
2026-03-19 17:38:19,509 [DEBUG] httpcore.connection: connect_tcp.started host='openrouter.ai' port=443 local_address=None timeout=None socket_options=None
2026-03-19 17:38:19,524 [DEBUG] httpcore.connection: connect_tcp.started host='openrouter.ai' port=443 local_address=None timeout=None socket_options=None
2026-03-19 17:38:19,524 [DEBUG] httpcore.connection: connect_tcp.complete return_value=<httpcore._backends.sync.SyncStream object at 0x7a833cb2bc80>
2026-03-19 17:38:19,526 [DEBUG] httpcore.connection: connect_tcp.started host='openrouter.ai' port=443 local_address=None timeout=None socket_options=None
2026-03-19 17:38:19,527 [DEBUG] httpcore.connection: connect_tcp.started host='openrouter.ai' port=443 local_address=None timeout=None socket_options=None
2026-03-19 17:38:19,532 [DEBUG] httpcore.connection: start_tls.started ssl_context=<ssl.SSLContext object at 0x7a83a5cf7650> server_hostname='openrouter.ai' timeout=None
2026-03-19 17:38:19,532 [DEBUG] httpcore.connection: start_tls.started ssl_context=<ssl.SSLContext object at 0x7a83ac773650> server_hostname='openrouter.ai' timeout=None
2026-03-19 17:38:19,533 [DEBUG] httpcore.connection: start_tls.started ssl_context=<ssl.SSLContext object at 0x7a83ac7734d0> server_hostname='openrouter.ai' timeout=None
2026-03-19 17:38:19,534 [DEBUG] httpcore.connection: start_tls.started ssl_context=<ssl.SSLContext object at 0x7a83a5d0c550> server_hostname='openrouter.ai' timeout=None
2026-03-19 17:38:19,535 [DEBUG] httpcore.connection: start_tls.started ssl_context=<ssl.SSLContext object at 0x7a83a5cf5b50> server_hostname='openrouter.ai' timeout=None
2026-03-19 17:38:19,544 [DEBUG] httpcore.connection: connect_tcp.complete return_value=<httpcore._backends.sync.SyncStream object at 0x7a833cb63c80>
2026-03-19 17:38:19,544 [DEBUG] httpcore.connection: start_tls.started ssl_context=<ssl.SSLContext object at 0x7a83ac7e17d0> server_hostname='openrouter.ai' timeout=None
2026-03-19 17:38:19,558 [DEBUG] httpcore.connection: start_tls.complete return_value=<httpcore._backends.sync.SyncStream object at 0x7a83a4d0fd70>
2026-03-19 17:38:19,558 [DEBUG] httpcore.http11: send_request_headers.started request=<Request [b'POST']>
2026-03-19 17:38:19,559 [DEBUG] httpcore.http11: send_request_headers.complete
2026-03-19 17:38:19,559 [DEBUG] httpcore.http11: send_request_body.started request=<Request [b'POST']>
2026-03-19 17:38:19,559 [DEBUG] httpcore.http11: send_request_body.complete
2026-03-19 17:38:19,559 [DEBUG] httpcore.http11: receive_response_headers.started request=<Request [b'POST']>
2026-03-19 17:38:19,560 [DEBUG] httpcore.connection: start_tls.complete return_value=<httpcore._backends.sync.SyncStream object at 0x7a833cb131d0>
2026-03-19 17:38:19,561 [DEBUG] httpcore.http11: send_request_headers.started request=<Request [b'POST']>
