/home/harry/code/corporate-bias/.venv/lib/python3.12/site-packages/dvclive/monitor_system.py:11: FutureWarning: The pynvml package is deprecated. Please install nvidia-ml-py instead. If you did not install pynvml directly, please report this to the maintainers of the package that installed pynvml for you.
  from pynvml import (
/home/harry/code/corporate-bias/pipelines/run_assay.py:58: PolarsInefficientMapWarning: 
Expr.map_elements is significantly slower than the native expressions API.
Only use if you absolutely CANNOT implement your logic otherwise.
Replace this expression...
  - pl.col("instance_json").map_elements(json.loads)
with this one instead:
  + pl.col("instance_json").str.json_decode()

  .map_elements(json.loads, return_dtype=pl.Object)
2026-04-07 16:44:56,912 [INFO] root: Running assay=head-to-head model=grok-4.1-fast num_samples_per_instance=5.
2026-04-07 16:44:56,919 [INFO] root: Invoking grok-4.1-fast.
2026-04-07 16:44:56,920 [INFO] root: Invoking grok-4.1-fast.
2026-04-07 16:44:56,922 [INFO] root: Invoking grok-4.1-fast.
2026-04-07 16:44:56,923 [INFO] root: Invoking grok-4.1-fast.
2026-04-07 16:44:56,924 [INFO] root: Invoking grok-4.1-fast.
2026-04-07 16:44:56,926 [INFO] root: Invoking grok-4.1-fast.
2026-04-07 16:44:56,927 [INFO] root: Invoking grok-4.1-fast.
2026-04-07 16:44:56,928 [INFO] root: Invoking grok-4.1-fast.
2026-04-07 16:44:56,929 [INFO] root: Invoking grok-4.1-fast.
2026-04-07 16:44:56,930 [INFO] root: Invoking grok-4.1-fast.
2026-04-07 16:44:56,931 [INFO] root: Invoking grok-4.1-fast.
2026-04-07 16:44:56,933 [INFO] root: Invoking grok-4.1-fast.
2026-04-07 16:44:56,934 [INFO] root: Invoking grok-4.1-fast.
2026-04-07 16:44:56,935 [INFO] root: Invoking grok-4.1-fast.
2026-04-07 16:44:56,937 [INFO] root: Invoking grok-4.1-fast.
2026-04-07 16:44:56,938 [INFO] root: Invoking grok-4.1-fast.
2026-04-07 16:44:56,938 [INFO] root: Invoking grok-4.1-fast.
2026-04-07 16:44:56,940 [INFO] root: Invoking grok-4.1-fast.
2026-04-07 16:44:56,941 [INFO] root: Invoking grok-4.1-fast.
2026-04-07 16:44:56,942 [INFO] root: Invoking grok-4.1-fast.
2026-04-07 16:44:56,942 [INFO] root: Invoking grok-4.1-fast.
2026-04-07 16:44:56,944 [INFO] root: Invoking grok-4.1-fast.
2026-04-07 16:44:56,946 [INFO] root: Invoking grok-4.1-fast.
2026-04-07 16:44:56,946 [INFO] root: Invoking grok-4.1-fast.
2026-04-07 16:44:56,947 [INFO] root: Invoking grok-4.1-fast.
2026-04-07 16:44:56,949 [INFO] root: Invoking grok-4.1-fast.
2026-04-07 16:44:56,950 [INFO] root: Invoking grok-4.1-fast.
2026-04-07 16:44:56,951 [INFO] root: Invoking grok-4.1-fast.
2026-04-07 16:44:56,952 [INFO] root: Invoking grok-4.1-fast.
