/home/harry/code/corporate-bias/.venv/lib/python3.12/site-packages/dvclive/monitor_system.py:11: FutureWarning: The pynvml package is deprecated. Please install nvidia-ml-py instead. If you did not install pynvml directly, please report this to the maintainers of the package that installed pynvml for you.
  from pynvml import (
/home/harry/code/corporate-bias/pipelines/run_assay.py:58: PolarsInefficientMapWarning: 
Expr.map_elements is significantly slower than the native expressions API.
Only use if you absolutely CANNOT implement your logic otherwise.
Replace this expression...
  - pl.col("instance_json").map_elements(json.loads)
with this one instead:
  + pl.col("instance_json").str.json_decode()

  .map_elements(json.loads, return_dtype=pl.Object)
2026-04-10 15:14:15,549 [INFO] root: Running assay=head-to-head model=grok-4 num_samples_per_instance=3.
2026-04-10 15:14:15,557 [INFO] root: Invoking grok-4.
2026-04-10 15:14:15,558 [INFO] root: Invoking grok-4.
2026-04-10 15:14:15,559 [INFO] root: Invoking grok-4.
2026-04-10 15:14:15,560 [INFO] root: Invoking grok-4.
2026-04-10 15:14:15,561 [INFO] root: Invoking grok-4.
2026-04-10 15:14:15,563 [INFO] root: Invoking grok-4.
2026-04-10 15:14:15,565 [INFO] root: Invoking grok-4.
2026-04-10 15:14:15,567 [INFO] root: Invoking grok-4.
2026-04-10 15:14:15,568 [INFO] root: Invoking grok-4.
2026-04-10 15:14:15,568 [INFO] root: Invoking grok-4.
2026-04-10 15:14:15,569 [INFO] root: Invoking grok-4.
2026-04-10 15:14:15,569 [INFO] root: Invoking grok-4.
2026-04-10 15:14:15,570 [INFO] root: Invoking grok-4.
2026-04-10 15:14:15,571 [INFO] root: Invoking grok-4.
2026-04-10 15:14:15,571 [INFO] root: Invoking grok-4.
2026-04-10 15:14:15,573 [INFO] root: Invoking grok-4.
2026-04-10 15:14:15,574 [INFO] root: Invoking grok-4.
2026-04-10 15:14:15,575 [INFO] root: Invoking grok-4.
2026-04-10 15:14:15,575 [INFO] root: Invoking grok-4.
2026-04-10 15:14:15,577 [INFO] root: Invoking grok-4.
2026-04-10 15:14:15,578 [INFO] root: Invoking grok-4.
2026-04-10 15:14:15,580 [INFO] root: Invoking grok-4.
2026-04-10 15:14:15,581 [INFO] root: Invoking grok-4.
2026-04-10 15:14:15,582 [INFO] root: Invoking grok-4.
2026-04-10 15:14:15,583 [INFO] root: Invoking grok-4.
2026-04-10 15:14:15,584 [INFO] root: Invoking grok-4.
2026-04-10 15:14:15,585 [INFO] root: Invoking grok-4.
2026-04-10 15:14:15,586 [INFO] root: Invoking grok-4.
Preferences:   0%|          | 0/990 [00:00<?, ?it/s]2026-04-10 15:14:15,587 [INFO] root: Invoking grok-4.
2026-04-10 15:14:15,587 [INFO] root: Invoking grok-4.
2026-04-10 15:14:15,588 [INFO] root: Invoking grok-4.
2026-04-10 15:14:15,589 [INFO] root: Invoking grok-4.
2026-04-10 15:14:15,764 [INFO] root: Invoking grok-4.
