/home/harry/code/corporate-bias/.venv/lib/python3.12/site-packages/dvclive/monitor_system.py:11: FutureWarning: The pynvml package is deprecated. Please install nvidia-ml-py instead. If you did not install pynvml directly, please report this to the maintainers of the package that installed pynvml for you.
  from pynvml import (
/home/harry/code/corporate-bias/pipelines/run_assay.py:58: PolarsInefficientMapWarning: 
Expr.map_elements is significantly slower than the native expressions API.
Only use if you absolutely CANNOT implement your logic otherwise.
Replace this expression...
  - pl.col("instance_json").map_elements(json.loads)
with this one instead:
  + pl.col("instance_json").str.json_decode()

  .map_elements(json.loads, return_dtype=pl.Object)
2026-05-13 15:13:23,827 [INFO] root: Running assay=head-to-head model=phi-4 num_samples_per_instance=3.
2026-05-13 15:13:23,842 [INFO] root: Invoking phi-4.
2026-05-13 15:13:23,842 [INFO] root: Invoking phi-4.
2026-05-13 15:13:23,843 [INFO] root: Invoking phi-4.
2026-05-13 15:13:23,843 [INFO] root: Invoking phi-4.
2026-05-13 15:13:23,844 [INFO] root: Invoking phi-4.
2026-05-13 15:13:23,845 [INFO] root: Invoking phi-4.
2026-05-13 15:13:23,846 [INFO] root: Invoking phi-4.
2026-05-13 15:13:23,847 [INFO] root: Invoking phi-4.
2026-05-13 15:13:23,848 [INFO] root: Invoking phi-4.
2026-05-13 15:13:23,850 [INFO] root: Invoking phi-4.
2026-05-13 15:13:23,850 [INFO] root: Invoking phi-4.
2026-05-13 15:13:23,852 [INFO] root: Invoking phi-4.
2026-05-13 15:13:23,853 [INFO] root: Invoking phi-4.
2026-05-13 15:13:23,854 [INFO] root: Invoking phi-4.
2026-05-13 15:13:23,855 [INFO] root: Invoking phi-4.
2026-05-13 15:13:23,856 [INFO] root: Invoking phi-4.
2026-05-13 15:13:23,858 [INFO] root: Invoking phi-4.
2026-05-13 15:13:23,861 [INFO] root: Invoking phi-4.
2026-05-13 15:13:23,863 [INFO] root: Invoking phi-4.
2026-05-13 15:13:23,865 [INFO] root: Invoking phi-4.
2026-05-13 15:13:23,866 [INFO] root: Invoking phi-4.
2026-05-13 15:13:23,868 [INFO] root: Invoking phi-4.
2026-05-13 15:13:23,870 [INFO] root: Invoking phi-4.
2026-05-13 15:13:23,872 [INFO] root: Invoking phi-4.
2026-05-13 15:13:23,875 [INFO] root: Invoking phi-4.
2026-05-13 15:13:23,880 [INFO] root: Invoking phi-4.
2026-05-13 15:13:23,887 [INFO] root: Invoking phi-4.
2026-05-13 15:13:23,889 [INFO] root: Invoking phi-4.
2026-05-13 15:13:23,891 [INFO] root: Invoking phi-4.
2026-05-13 15:13:23,893 [INFO] root: Invoking phi-4.
2026-05-13 15:13:23,895 [INFO] root: Invoking phi-4.
2026-05-13 15:13:23,899 [INFO] root: Invoking phi-4.
2026-05-13 15:13:23,900 [INFO] root: Invoking phi-4.
2026-05-13 15:13:23,901 [INFO] root: Invoking phi-4.
