/home/harry/code/corporate-bias/.venv/lib/python3.12/site-packages/dvclive/monitor_system.py:11: FutureWarning: The pynvml package is deprecated. Please install nvidia-ml-py instead. If you did not install pynvml directly, please report this to the maintainers of the package that installed pynvml for you.
  from pynvml import (
2026-07-09 10:56:15,825 [INFO] root: Running assay=listwise-ordinal-preference model=gemini-2.5-pro 
2026-07-09 10:56:15,842 [INFO] root: Invoking gemini-2.5-pro.
2026-07-09 10:56:15,842 [INFO] root: Invoking gemini-2.5-pro.
2026-07-09 10:56:15,843 [INFO] root: Invoking gemini-2.5-pro.
2026-07-09 10:56:15,845 [INFO] root: Invoking gemini-2.5-pro.
2026-07-09 10:56:15,846 [INFO] root: Invoking gemini-2.5-pro.
2026-07-09 10:56:15,848 [INFO] root: Invoking gemini-2.5-pro.
2026-07-09 10:56:15,853 [INFO] root: Invoking gemini-2.5-pro.
2026-07-09 10:56:15,855 [INFO] root: Invoking gemini-2.5-pro.
2026-07-09 10:56:15,857 [INFO] root: Invoking gemini-2.5-pro.
2026-07-09 10:56:15,859 [INFO] root: Invoking gemini-2.5-pro.
2026-07-09 10:56:15,863 [INFO] root: Invoking gemini-2.5-pro.
2026-07-09 10:56:15,864 [INFO] root: Invoking gemini-2.5-pro.
2026-07-09 10:56:15,865 [INFO] root: Invoking gemini-2.5-pro.
2026-07-09 10:56:15,868 [INFO] root: Invoking gemini-2.5-pro.
2026-07-09 10:56:15,870 [INFO] root: Invoking gemini-2.5-pro.
2026-07-09 10:56:15,872 [INFO] root: Invoking gemini-2.5-pro.
2026-07-09 10:56:15,873 [INFO] root: Invoking gemini-2.5-pro.
2026-07-09 10:56:15,875 [INFO] root: Invoking gemini-2.5-pro.
2026-07-09 10:56:15,877 [INFO] root: Invoking gemini-2.5-pro.
2026-07-09 10:56:15,878 [INFO] root: Invoking gemini-2.5-pro.
2026-07-09 10:56:15,879 [INFO] root: Invoking gemini-2.5-pro.
2026-07-09 10:56:15,881 [INFO] root: Invoking gemini-2.5-pro.
2026-07-09 10:56:15,882 [INFO] root: Invoking gemini-2.5-pro.
2026-07-09 10:56:15,888 [INFO] root: Invoking gemini-2.5-pro.
2026-07-09 10:56:15,891 [INFO] root: Invoking gemini-2.5-pro.
2026-07-09 10:56:15,893 [INFO] root: Invoking gemini-2.5-pro.
2026-07-09 10:56:15,897 [INFO] root: Invoking gemini-2.5-pro.
2026-07-09 10:56:15,900 [INFO] root: Invoking gemini-2.5-pro.
2026-07-09 10:56:15,903 [INFO] root: Invoking gemini-2.5-pro.
2026-07-09 10:56:15,911 [INFO] root: Invoking gemini-2.5-pro.
2026-07-09 10:56:15,913 [INFO] root: Invoking gemini-2.5-pro.
2026-07-09 10:56:15,917 [INFO] root: Invoking gemini-2.5-pro.
2026-07-09 10:56:15,918 [INFO] root: Invoking gemini-2.5-pro.
2026-07-09 10:56:15,922 [INFO] root: Invoking gemini-2.5-pro.
2026-07-09 10:56:15,923 [INFO] root: Invoking gemini-2.5-pro.
2026-07-09 10:56:15,925 [INFO] root: Invoking gemini-2.5-pro.
2026-07-09 10:56:15,928 [INFO] root: Invoking gemini-2.5-pro.
2026-07-09 10:56:15,931 [INFO] root: Invoking gemini-2.5-pro.
2026-07-09 10:56:15,932 [INFO] root: Invoking gemini-2.5-pro.
Queries:   0%|          | 0/39 [00:00<?, ?it/s]2026-07-09 10:56:18,425 [INFO] httpx: HTTP Request: POST https://openrouter.ai/api/v1/chat/completions "HTTP/1.1 200 OK"
2026-07-09 10:56:18,457 [INFO] httpx: HTTP Request: POST https://openrouter.ai/api/v1/chat/completions "HTTP/1.1 200 OK"
2026-07-09 10:56:18,581 [INFO] httpx: HTTP Request: POST https://openrouter.ai/api/v1/chat/completions "HTTP/1.1 200 OK"
2026-07-09 10:56:18,662 [INFO] httpx: HTTP Request: POST https://openrouter.ai/api/v1/chat/completions "HTTP/1.1 200 OK"
2026-07-09 10:56:18,671 [INFO] httpx: HTTP Request: POST https://openrouter.ai/api/v1/chat/completions "HTTP/1.1 200 OK"
2026-07-09 10:56:18,705 [INFO] httpx: HTTP Request: POST https://openrouter.ai/api/v1/chat/completions "HTTP/1.1 200 OK"
2026-07-09 10:56:18,780 [INFO] httpx: HTTP Request: POST https://openrouter.ai/api/v1/chat/completions "HTTP/1.1 200 OK"
2026-07-09 10:56:18,782 [INFO] httpx: HTTP Request: POST https://openrouter.ai/api/v1/chat/completions "HTTP/1.1 200 OK"
2026-07-09 10:56:18,788 [INFO] httpx: HTTP Request: POST https://openrouter.ai/api/v1/chat/completions "HTTP/1.1 200 OK"
2026-07-09 10:56:18,789 [INFO] httpx: HTTP Request: POST https://openrouter.ai/api/v1/chat/completions "HTTP/1.1 200 OK"
2026-07-09 10:56:18,843 [INFO] httpx: HTTP Request: POST https://openrouter.ai/api/v1/chat/completions "HTTP/1.1 200 OK"
2026-07-09 10:56:18,844 [INFO] httpx: HTTP Request: POST https://openrouter.ai/api/v1/chat/completions "HTTP/1.1 200 OK"
2026-07-09 10:56:18,845 [INFO] httpx: HTTP Request: POST https://openrouter.ai/api/v1/chat/completions "HTTP/1.1 200 OK"
2026-07-09 10:56:18,903 [INFO] httpx: HTTP Request: POST https://openrouter.ai/api/v1/chat/completions "HTTP/1.1 200 OK"
2026-07-09 10:56:18,904 [INFO] httpx: HTTP Request: POST https://openrouter.ai/api/v1/chat/completions "HTTP/1.1 200 OK"
2026-07-09 10:56:18,921 [INFO] httpx: HTTP Request: POST https://openrouter.ai/api/v1/chat/completions "HTTP/1.1 200 OK"
2026-07-09 10:56:18,928 [INFO] httpx: HTTP Request: POST https://openrouter.ai/api/v1/chat/completions "HTTP/1.1 200 OK"
2026-07-09 10:56:18,957 [INFO] httpx: HTTP Request: POST https://openrouter.ai/api/v1/chat/completions "HTTP/1.1 200 OK"
2026-07-09 10:56:18,959 [INFO] httpx: HTTP Request: POST https://openrouter.ai/api/v1/chat/completions "HTTP/1.1 200 OK"
2026-07-09 10:56:18,964 [INFO] httpx: HTTP Request: POST https://openrouter.ai/api/v1/chat/completions "HTTP/1.1 200 OK"
2026-07-09 10:56:19,033 [INFO] httpx: HTTP Request: POST https://openrouter.ai/api/v1/chat/completions "HTTP/1.1 200 OK"
2026-07-09 10:56:19,104 [INFO] httpx: HTTP Request: POST https://openrouter.ai/api/v1/chat/completions "HTTP/1.1 200 OK"
2026-07-09 10:56:19,136 [INFO] httpx: HTTP Request: POST https://openrouter.ai/api/v1/chat/completions "HTTP/1.1 200 OK"
2026-07-09 10:56:19,239 [INFO] httpx: HTTP Request: POST https://openrouter.ai/api/v1/chat/completions "HTTP/1.1 200 OK"
2026-07-09 10:56:19,272 [INFO] httpx: HTTP Request: POST https://openrouter.ai/api/v1/chat/completions "HTTP/1.1 200 OK"
2026-07-09 10:56:19,306 [INFO] httpx: HTTP Request: POST https://openrouter.ai/api/v1/chat/completions "HTTP/1.1 200 OK"
2026-07-09 10:56:19,381 [INFO] httpx: HTTP Request: POST https://openrouter.ai/api/v1/chat/completions "HTTP/1.1 200 OK"
2026-07-09 10:56:19,386 [INFO] httpx: HTTP Request: POST https://openrouter.ai/api/v1/chat/completions "HTTP/1.1 200 OK"
2026-07-09 10:56:19,388 [INFO] httpx: HTTP Request: POST https://openrouter.ai/api/v1/chat/completions "HTTP/1.1 200 OK"
2026-07-09 10:56:19,398 [INFO] httpx: HTTP Request: POST https://openrouter.ai/api/v1/chat/completions "HTTP/1.1 200 OK"
2026-07-09 10:56:19,401 [INFO] httpx: HTTP Request: POST https://openrouter.ai/api/v1/chat/completions "HTTP/1.1 200 OK"
2026-07-09 10:56:19,452 [INFO] httpx: HTTP Request: POST https://openrouter.ai/api/v1/chat/completions "HTTP/1.1 200 OK"
2026-07-09 10:56:19,507 [INFO] httpx: HTTP Request: POST https://openrouter.ai/api/v1/chat/completions "HTTP/1.1 200 OK"
2026-07-09 10:56:19,534 [INFO] httpx: HTTP Request: POST https://openrouter.ai/api/v1/chat/completions "HTTP/1.1 200 OK"
2026-07-09 10:56:19,538 [INFO] httpx: HTTP Request: POST https://openrouter.ai/api/v1/chat/completions "HTTP/1.1 200 OK"
2026-07-09 10:56:19,591 [INFO] httpx: HTTP Request: POST https://openrouter.ai/api/v1/chat/completions "HTTP/1.1 200 OK"
2026-07-09 10:56:19,684 [INFO] httpx: HTTP Request: POST https://openrouter.ai/api/v1/chat/completions "HTTP/1.1 200 OK"
2026-07-09 10:56:19,776 [INFO] httpx: HTTP Request: POST https://openrouter.ai/api/v1/chat/completions "HTTP/1.1 200 OK"
Queries:   3%|▎         | 1/39 [00:05<03:44,  5.91s/it]Queries:   5%|▌         | 2/39 [00:06<01:41,  2.74s/it]Queries:   8%|▊         | 3/39 [00:06<00:56,  1.56s/it]2026-07-09 10:56:23,028 [INFO] httpx: HTTP Request: POST https://openrouter.ai/api/v1/chat/completions "HTTP/1.1 200 OK"
