/home/harry/code/corporate-bias/.venv/lib/python3.12/site-packages/dvclive/monitor_system.py:11: FutureWarning: The pynvml package is deprecated. Please install nvidia-ml-py instead. If you did not install pynvml directly, please report this to the maintainers of the package that installed pynvml for you.
  from pynvml import (
2026-07-09 10:40:00,659 [INFO] root: Running assay=listwise-ordinal-preference model=gemma-4-31B-it 
2026-07-09 10:40:00,673 [INFO] root: Invoking gemma-4-31B-it.
2026-07-09 10:40:00,673 [INFO] root: Invoking gemma-4-31B-it.
2026-07-09 10:40:00,674 [INFO] root: Invoking gemma-4-31B-it.
2026-07-09 10:40:00,674 [INFO] root: Invoking gemma-4-31B-it.
2026-07-09 10:40:00,675 [INFO] root: Invoking gemma-4-31B-it.
2026-07-09 10:40:00,675 [INFO] root: Invoking gemma-4-31B-it.
2026-07-09 10:40:00,677 [INFO] root: Invoking gemma-4-31B-it.
2026-07-09 10:40:00,679 [INFO] root: Invoking gemma-4-31B-it.
2026-07-09 10:40:00,680 [INFO] root: Invoking gemma-4-31B-it.
2026-07-09 10:40:00,681 [INFO] root: Invoking gemma-4-31B-it.
2026-07-09 10:40:00,682 [INFO] root: Invoking gemma-4-31B-it.
2026-07-09 10:40:00,683 [INFO] root: Invoking gemma-4-31B-it.
2026-07-09 10:40:00,684 [INFO] root: Invoking gemma-4-31B-it.
2026-07-09 10:40:00,685 [INFO] root: Invoking gemma-4-31B-it.
2026-07-09 10:40:00,688 [INFO] root: Invoking gemma-4-31B-it.
2026-07-09 10:40:00,690 [INFO] root: Invoking gemma-4-31B-it.
2026-07-09 10:40:00,695 [INFO] root: Invoking gemma-4-31B-it.
2026-07-09 10:40:00,702 [INFO] root: Invoking gemma-4-31B-it.
2026-07-09 10:40:00,703 [INFO] root: Invoking gemma-4-31B-it.
2026-07-09 10:40:00,705 [INFO] root: Invoking gemma-4-31B-it.
2026-07-09 10:40:00,708 [INFO] root: Invoking gemma-4-31B-it.
2026-07-09 10:40:00,711 [INFO] root: Invoking gemma-4-31B-it.
2026-07-09 10:40:00,714 [INFO] root: Invoking gemma-4-31B-it.
2026-07-09 10:40:00,717 [INFO] root: Invoking gemma-4-31B-it.
2026-07-09 10:40:00,721 [INFO] root: Invoking gemma-4-31B-it.
2026-07-09 10:40:00,724 [INFO] root: Invoking gemma-4-31B-it.
2026-07-09 10:40:00,726 [INFO] root: Invoking gemma-4-31B-it.
2026-07-09 10:40:00,730 [INFO] root: Invoking gemma-4-31B-it.
2026-07-09 10:40:00,734 [INFO] root: Invoking gemma-4-31B-it.
2026-07-09 10:40:00,735 [INFO] root: Invoking gemma-4-31B-it.
2026-07-09 10:40:00,738 [INFO] root: Invoking gemma-4-31B-it.
2026-07-09 10:40:00,745 [INFO] root: Invoking gemma-4-31B-it.
2026-07-09 10:40:00,749 [INFO] root: Invoking gemma-4-31B-it.
2026-07-09 10:40:00,752 [INFO] root: Invoking gemma-4-31B-it.
2026-07-09 10:40:00,757 [INFO] root: Invoking gemma-4-31B-it.
2026-07-09 10:40:00,759 [INFO] root: Invoking gemma-4-31B-it.
2026-07-09 10:40:00,760 [INFO] root: Invoking gemma-4-31B-it.
Queries:   0%|          | 0/39 [00:00<?, ?it/s]2026-07-09 10:40:00,761 [INFO] root: Invoking gemma-4-31B-it.
2026-07-09 10:40:00,763 [INFO] root: Invoking gemma-4-31B-it.
2026-07-09 10:40:01,544 [INFO] httpx: HTTP Request: POST https://openrouter.ai/api/v1/chat/completions "HTTP/1.1 200 OK"
2026-07-09 10:40:01,563 [INFO] httpx: HTTP Request: POST https://openrouter.ai/api/v1/chat/completions "HTTP/1.1 200 OK"
2026-07-09 10:40:01,580 [INFO] httpx: HTTP Request: POST https://openrouter.ai/api/v1/chat/completions "HTTP/1.1 200 OK"
2026-07-09 10:40:01,627 [INFO] httpx: HTTP Request: POST https://openrouter.ai/api/v1/chat/completions "HTTP/1.1 200 OK"
2026-07-09 10:40:01,671 [INFO] httpx: HTTP Request: POST https://openrouter.ai/api/v1/chat/completions "HTTP/1.1 200 OK"
2026-07-09 10:40:01,677 [INFO] httpx: HTTP Request: POST https://openrouter.ai/api/v1/chat/completions "HTTP/1.1 200 OK"
2026-07-09 10:40:01,687 [INFO] httpx: HTTP Request: POST https://openrouter.ai/api/v1/chat/completions "HTTP/1.1 200 OK"
2026-07-09 10:40:01,709 [INFO] httpx: HTTP Request: POST https://openrouter.ai/api/v1/chat/completions "HTTP/1.1 200 OK"
2026-07-09 10:40:01,721 [INFO] httpx: HTTP Request: POST https://openrouter.ai/api/v1/chat/completions "HTTP/1.1 200 OK"
2026-07-09 10:40:01,724 [INFO] httpx: HTTP Request: POST https://openrouter.ai/api/v1/chat/completions "HTTP/1.1 200 OK"
2026-07-09 10:40:01,782 [INFO] httpx: HTTP Request: POST https://openrouter.ai/api/v1/chat/completions "HTTP/1.1 200 OK"
2026-07-09 10:40:01,882 [INFO] httpx: HTTP Request: POST https://openrouter.ai/api/v1/chat/completions "HTTP/1.1 200 OK"
2026-07-09 10:40:02,048 [INFO] httpx: HTTP Request: POST https://openrouter.ai/api/v1/chat/completions "HTTP/1.1 200 OK"
2026-07-09 10:40:02,196 [INFO] httpx: HTTP Request: POST https://openrouter.ai/api/v1/chat/completions "HTTP/1.1 200 OK"
2026-07-09 10:40:02,428 [INFO] httpx: HTTP Request: POST https://openrouter.ai/api/v1/chat/completions "HTTP/1.1 200 OK"
2026-07-09 10:40:02,431 [INFO] httpx: HTTP Request: POST https://openrouter.ai/api/v1/chat/completions "HTTP/1.1 200 OK"
2026-07-09 10:40:02,563 [INFO] httpx: HTTP Request: POST https://openrouter.ai/api/v1/chat/completions "HTTP/1.1 200 OK"
2026-07-09 10:40:02,633 [INFO] httpx: HTTP Request: POST https://openrouter.ai/api/v1/chat/completions "HTTP/1.1 200 OK"
Queries:  23%|██▎       | 9/39 [00:01<00:06,  4.67it/s]2026-07-09 10:40:02,712 [INFO] httpx: HTTP Request: POST https://openrouter.ai/api/v1/chat/completions "HTTP/1.1 200 OK"
