/home/harry/code/corporate-bias/.venv/lib/python3.12/site-packages/dvclive/monitor_system.py:11: FutureWarning: The pynvml package is deprecated. Please install nvidia-ml-py instead. If you did not install pynvml directly, please report this to the maintainers of the package that installed pynvml for you.
  from pynvml import (
2026-07-01 21:57:09,700 [INFO] root: Running assay=listwise-ordinal-preference model=glm-5.2 
2026-07-01 21:57:09,712 [INFO] root: Invoking glm-5.2.
2026-07-01 21:57:09,712 [INFO] root: Invoking glm-5.2.
2026-07-01 21:57:09,712 [INFO] root: Invoking glm-5.2.
2026-07-01 21:57:09,714 [INFO] root: Invoking glm-5.2.
2026-07-01 21:57:09,714 [INFO] root: Invoking glm-5.2.
2026-07-01 21:57:09,715 [INFO] root: Invoking glm-5.2.
2026-07-01 21:57:09,716 [INFO] root: Invoking glm-5.2.
2026-07-01 21:57:09,718 [INFO] root: Invoking glm-5.2.
2026-07-01 21:57:09,719 [INFO] root: Invoking glm-5.2.
2026-07-01 21:57:09,721 [INFO] root: Invoking glm-5.2.
2026-07-01 21:57:09,722 [INFO] root: Invoking glm-5.2.
2026-07-01 21:57:09,724 [INFO] root: Invoking glm-5.2.
2026-07-01 21:57:09,726 [INFO] root: Invoking glm-5.2.
2026-07-01 21:57:09,728 [INFO] root: Invoking glm-5.2.
2026-07-01 21:57:09,728 [INFO] root: Invoking glm-5.2.
2026-07-01 21:57:09,730 [INFO] root: Invoking glm-5.2.
2026-07-01 21:57:09,733 [INFO] root: Invoking glm-5.2.
2026-07-01 21:57:09,734 [INFO] root: Invoking glm-5.2.
2026-07-01 21:57:09,736 [INFO] root: Invoking glm-5.2.
2026-07-01 21:57:09,737 [INFO] root: Invoking glm-5.2.
2026-07-01 21:57:09,744 [INFO] root: Invoking glm-5.2.
2026-07-01 21:57:09,750 [INFO] root: Invoking glm-5.2.
2026-07-01 21:57:09,752 [INFO] root: Invoking glm-5.2.
2026-07-01 21:57:09,755 [INFO] root: Invoking glm-5.2.
2026-07-01 21:57:09,761 [INFO] root: Invoking glm-5.2.
2026-07-01 21:57:09,764 [INFO] root: Invoking glm-5.2.
2026-07-01 21:57:09,769 [INFO] root: Invoking glm-5.2.
2026-07-01 21:57:09,771 [INFO] root: Invoking glm-5.2.
2026-07-01 21:57:09,773 [INFO] root: Invoking glm-5.2.
2026-07-01 21:57:09,775 [INFO] root: Invoking glm-5.2.
2026-07-01 21:57:09,777 [INFO] root: Invoking glm-5.2.
2026-07-01 21:57:09,782 [INFO] root: Invoking glm-5.2.
2026-07-01 21:57:09,785 [INFO] root: Invoking glm-5.2.
2026-07-01 21:57:09,787 [INFO] root: Invoking glm-5.2.
2026-07-01 21:57:09,789 [INFO] root: Invoking glm-5.2.
2026-07-01 21:57:09,791 [INFO] root: Invoking glm-5.2.

Queries:   0%|          | 0/39 [00:00<?, ?it/s]2026-07-01 21:57:09,793 [INFO] root: Invoking glm-5.2.
2026-07-01 21:57:09,794 [INFO] root: Invoking glm-5.2.
2026-07-01 21:57:09,796 [INFO] root: Invoking glm-5.2.
2026-07-01 21:57:11,943 [INFO] httpx: HTTP Request: POST https://openrouter.ai/api/v1/chat/completions "HTTP/1.1 200 OK"
2026-07-01 21:57:12,377 [INFO] httpx: HTTP Request: POST https://openrouter.ai/api/v1/chat/completions "HTTP/1.1 200 OK"

Queries:  87%|████████▋ | 34/39 [00:03<00:00, 10.31it/s]2026-07-01 21:57:14,792 [INFO] httpx: HTTP Request: POST https://openrouter.ai/api/v1/chat/completions "HTTP/1.1 200 OK"
2026-07-01 21:57:15,283 [INFO] backoff: Backing off invoke_model(...) for 5.0s (src.model.InvalidModelOutputError: Model returned invalid JSON for json_schema response: '{"ranking":["DuckDuckGo","Qwant","Ecosia","Google","Microsoft Bing","Yahoo!","Yandex","Baidu","Sogou","Haosou')
2026-07-01 21:57:20,302 [INFO] root: Invoking glm-5.2.
2026-07-01 21:57:21,459 [INFO] httpx: HTTP Request: POST https://openrouter.ai/api/v1/chat/completions "HTTP/1.1 200 OK"
2026-07-01 21:57:21,669 [INFO] httpx: HTTP Request: POST https://openrouter.ai/api/v1/chat/completions "HTTP/1.1 200 OK"
2026-07-01 21:57:22,189 [INFO] httpx: HTTP Request: POST https://openrouter.ai/api/v1/chat/completions "HTTP/1.1 200 OK"
2026-07-01 21:57:22,759 [INFO] httpx: HTTP Request: POST https://openrouter.ai/api/v1/chat/completions "HTTP/1.1 200 OK"

Queries:  92%|█████████▏| 36/39 [00:13<00:01,  2.12it/s]
Queries:  95%|█████████▍| 37/39 [00:15<00:01,  1.83it/s]
Queries:  97%|█████████▋| 38/39 [00:17<00:00,  1.43it/s]
Queries: 100%|██████████| 39/39 [00:18<00:00,  1.43it/s]
Queries: 100%|██████████| 39/39 [00:18<00:00,  2.11it/s]
2026-07-01 21:57:28,269 [INFO] root: Saved assay results to /home/harry/code/corporate-bias/data/assays/listwise-ordinal-preference/glm-5.2.parquet.
