/home/harry/code/corporate-bias/.venv/lib/python3.12/site-packages/dvclive/monitor_system.py:11: FutureWarning: The pynvml package is deprecated. Please install nvidia-ml-py instead. If you did not install pynvml directly, please report this to the maintainers of the package that installed pynvml for you.
  from pynvml import (
2026-07-09 09:50:22,085 [INFO] root: Running assay=listwise-ordinal-preference model=gpt-5.4 
2026-07-09 09:50:22,110 [INFO] root: Invoking gpt-5.4.
2026-07-09 09:50:22,112 [INFO] root: Invoking gpt-5.4.
2026-07-09 09:50:22,113 [INFO] root: Invoking gpt-5.4.
2026-07-09 09:50:22,114 [INFO] root: Invoking gpt-5.4.
2026-07-09 09:50:22,116 [INFO] root: Invoking gpt-5.4.
2026-07-09 09:50:22,117 [INFO] root: Invoking gpt-5.4.
2026-07-09 09:50:22,118 [INFO] root: Invoking gpt-5.4.
2026-07-09 09:50:22,120 [INFO] root: Invoking gpt-5.4.
2026-07-09 09:50:22,123 [INFO] root: Invoking gpt-5.4.
2026-07-09 09:50:22,125 [INFO] root: Invoking gpt-5.4.
2026-07-09 09:50:22,129 [INFO] root: Invoking gpt-5.4.
2026-07-09 09:50:22,132 [INFO] root: Invoking gpt-5.4.
2026-07-09 09:50:22,135 [INFO] root: Invoking gpt-5.4.
2026-07-09 09:50:22,138 [INFO] root: Invoking gpt-5.4.
2026-07-09 09:50:22,144 [INFO] root: Invoking gpt-5.4.
2026-07-09 09:50:22,147 [INFO] root: Invoking gpt-5.4.
2026-07-09 09:50:22,151 [INFO] root: Invoking gpt-5.4.
2026-07-09 09:50:22,153 [INFO] root: Invoking gpt-5.4.
2026-07-09 09:50:22,155 [INFO] root: Invoking gpt-5.4.
2026-07-09 09:50:22,158 [INFO] root: Invoking gpt-5.4.
2026-07-09 09:50:22,159 [INFO] root: Invoking gpt-5.4.
2026-07-09 09:50:22,162 [INFO] root: Invoking gpt-5.4.
2026-07-09 09:50:22,164 [INFO] root: Invoking gpt-5.4.
2026-07-09 09:50:22,166 [INFO] root: Invoking gpt-5.4.
2026-07-09 09:50:22,169 [INFO] root: Invoking gpt-5.4.
2026-07-09 09:50:22,173 [INFO] root: Invoking gpt-5.4.
2026-07-09 09:50:22,177 [INFO] root: Invoking gpt-5.4.
2026-07-09 09:50:22,180 [INFO] root: Invoking gpt-5.4.
2026-07-09 09:50:22,183 [INFO] root: Invoking gpt-5.4.
2026-07-09 09:50:22,186 [INFO] root: Invoking gpt-5.4.
2026-07-09 09:50:22,192 [INFO] root: Invoking gpt-5.4.
2026-07-09 09:50:22,196 [INFO] root: Invoking gpt-5.4.
2026-07-09 09:50:22,200 [INFO] root: Invoking gpt-5.4.
2026-07-09 09:50:22,203 [INFO] root: Invoking gpt-5.4.
2026-07-09 09:50:22,206 [INFO] root: Invoking gpt-5.4.
