/home/harry/code/corporate-bias/.venv/lib/python3.12/site-packages/dvclive/monitor_system.py:11: FutureWarning: The pynvml package is deprecated. Please install nvidia-ml-py instead. If you did not install pynvml directly, please report this to the maintainers of the package that installed pynvml for you.
  from pynvml import (
2026-07-08 18:58:31,334 [INFO] root: Running assay=listwise-ordinal-preference model=gpt-oss-120b 
2026-07-08 18:58:31,348 [INFO] root: Invoking gpt-oss-120b.
2026-07-08 18:58:31,349 [INFO] root: Invoking gpt-oss-120b.
2026-07-08 18:58:31,350 [INFO] root: Invoking gpt-oss-120b.
2026-07-08 18:58:31,351 [INFO] root: Invoking gpt-oss-120b.
2026-07-08 18:58:31,352 [INFO] root: Invoking gpt-oss-120b.
2026-07-08 18:58:31,354 [INFO] root: Invoking gpt-oss-120b.
2026-07-08 18:58:31,355 [INFO] root: Invoking gpt-oss-120b.
2026-07-08 18:58:31,356 [INFO] root: Invoking gpt-oss-120b.
2026-07-08 18:58:31,357 [INFO] root: Invoking gpt-oss-120b.
2026-07-08 18:58:31,358 [INFO] root: Invoking gpt-oss-120b.
2026-07-08 18:58:31,360 [INFO] root: Invoking gpt-oss-120b.
2026-07-08 18:58:31,361 [INFO] root: Invoking gpt-oss-120b.
2026-07-08 18:58:31,366 [INFO] root: Invoking gpt-oss-120b.
2026-07-08 18:58:31,370 [INFO] root: Invoking gpt-oss-120b.
2026-07-08 18:58:31,376 [INFO] root: Invoking gpt-oss-120b.
2026-07-08 18:58:31,377 [INFO] root: Invoking gpt-oss-120b.
2026-07-08 18:58:31,380 [INFO] root: Invoking gpt-oss-120b.
2026-07-08 18:58:31,383 [INFO] root: Invoking gpt-oss-120b.
2026-07-08 18:58:31,386 [INFO] root: Invoking gpt-oss-120b.
2026-07-08 18:58:31,391 [INFO] root: Invoking gpt-oss-120b.
2026-07-08 18:58:31,393 [INFO] root: Invoking gpt-oss-120b.
2026-07-08 18:58:31,398 [INFO] root: Invoking gpt-oss-120b.
2026-07-08 18:58:31,405 [INFO] root: Invoking gpt-oss-120b.
2026-07-08 18:58:31,411 [INFO] root: Invoking gpt-oss-120b.
2026-07-08 18:58:31,419 [INFO] root: Invoking gpt-oss-120b.
2026-07-08 18:58:31,422 [INFO] root: Invoking gpt-oss-120b.
2026-07-08 18:58:31,426 [INFO] root: Invoking gpt-oss-120b.
2026-07-08 18:58:31,427 [INFO] root: Invoking gpt-oss-120b.
2026-07-08 18:58:31,430 [INFO] root: Invoking gpt-oss-120b.
2026-07-08 18:58:31,431 [INFO] root: Invoking gpt-oss-120b.
2026-07-08 18:58:31,435 [INFO] root: Invoking gpt-oss-120b.
2026-07-08 18:58:31,437 [INFO] root: Invoking gpt-oss-120b.
2026-07-08 18:58:31,440 [INFO] root: Invoking gpt-oss-120b.
2026-07-08 18:58:31,441 [INFO] root: Invoking gpt-oss-120b.
2026-07-08 18:58:31,441 [INFO] root: Invoking gpt-oss-120b.
2026-07-08 18:58:31,442 [INFO] root: Invoking gpt-oss-120b.
2026-07-08 18:58:31,443 [INFO] root: Invoking gpt-oss-120b.
2026-07-08 18:58:31,444 [INFO] root: Invoking gpt-oss-120b.
2026-07-08 18:58:31,444 [INFO] root: Invoking gpt-oss-120b.

Queries:   0%|          | 0/39 [00:00<?, ?it/s]
Queries: 100%|██████████| 39/39 [00:00<00:00, 541.25it/s]
2026-07-08 18:58:31,532 [INFO] root: Saved assay results to /home/harry/code/corporate-bias/data/assays/listwise-ordinal-preference/gpt-oss-120b.parquet.
