/home/harry/code/corporate-bias/.venv/lib/python3.12/site-packages/dvclive/monitor_system.py:11: FutureWarning: The pynvml package is deprecated. Please install nvidia-ml-py instead. If you did not install pynvml directly, please report this to the maintainers of the package that installed pynvml for you.
  from pynvml import (
2026-07-08 18:58:39,271 [INFO] root: Running assay=listwise-ordinal-preference model=grok-4.20 
2026-07-08 18:58:39,287 [INFO] root: Invoking grok-4.20.
2026-07-08 18:58:39,287 [INFO] root: Invoking grok-4.20.
2026-07-08 18:58:39,288 [INFO] root: Invoking grok-4.20.
2026-07-08 18:58:39,289 [INFO] root: Invoking grok-4.20.
2026-07-08 18:58:39,290 [INFO] root: Invoking grok-4.20.
2026-07-08 18:58:39,292 [INFO] root: Invoking grok-4.20.
2026-07-08 18:58:39,294 [INFO] root: Invoking grok-4.20.
2026-07-08 18:58:39,295 [INFO] root: Invoking grok-4.20.
2026-07-08 18:58:39,296 [INFO] root: Invoking grok-4.20.
2026-07-08 18:58:39,297 [INFO] root: Invoking grok-4.20.
2026-07-08 18:58:39,298 [INFO] root: Invoking grok-4.20.
2026-07-08 18:58:39,299 [INFO] root: Invoking grok-4.20.
2026-07-08 18:58:39,300 [INFO] root: Invoking grok-4.20.
2026-07-08 18:58:39,302 [INFO] root: Invoking grok-4.20.
2026-07-08 18:58:39,305 [INFO] root: Invoking grok-4.20.
2026-07-08 18:58:39,308 [INFO] root: Invoking grok-4.20.
2026-07-08 18:58:39,313 [INFO] root: Invoking grok-4.20.
2026-07-08 18:58:39,315 [INFO] root: Invoking grok-4.20.
2026-07-08 18:58:39,316 [INFO] root: Invoking grok-4.20.
2026-07-08 18:58:39,318 [INFO] root: Invoking grok-4.20.
2026-07-08 18:58:39,325 [INFO] root: Invoking grok-4.20.
2026-07-08 18:58:39,327 [INFO] root: Invoking grok-4.20.
2026-07-08 18:58:39,329 [INFO] root: Invoking grok-4.20.
2026-07-08 18:58:39,334 [INFO] root: Invoking grok-4.20.
2026-07-08 18:58:39,337 [INFO] root: Invoking grok-4.20.
2026-07-08 18:58:39,339 [INFO] root: Invoking grok-4.20.
2026-07-08 18:58:39,340 [INFO] root: Invoking grok-4.20.
2026-07-08 18:58:39,344 [INFO] root: Invoking grok-4.20.
2026-07-08 18:58:39,350 [INFO] root: Invoking grok-4.20.
2026-07-08 18:58:39,353 [INFO] root: Invoking grok-4.20.
2026-07-08 18:58:39,358 [INFO] root: Invoking grok-4.20.
2026-07-08 18:58:39,360 [INFO] root: Invoking grok-4.20.
2026-07-08 18:58:39,363 [INFO] root: Invoking grok-4.20.
2026-07-08 18:58:39,370 [INFO] root: Invoking grok-4.20.
2026-07-08 18:58:39,372 [INFO] root: Invoking grok-4.20.
2026-07-08 18:58:39,375 [INFO] root: Invoking grok-4.20.
2026-07-08 18:58:39,377 [INFO] root: Invoking grok-4.20.
2026-07-08 18:58:39,379 [INFO] root: Invoking grok-4.20.
2026-07-08 18:58:39,380 [INFO] root: Invoking grok-4.20.
Queries:   0%|          | 0/39 [00:00<?, ?it/s]Queries: 100%|██████████| 39/39 [00:00<00:00, 509.43it/s]
2026-07-08 18:58:39,472 [INFO] root: Saved assay results to /home/harry/code/corporate-bias/data/assays/listwise-ordinal-preference/grok-4.20.parquet.
