/home/harry/code/corporate-bias/.venv/lib/python3.12/site-packages/dvclive/monitor_system.py:11: FutureWarning: The pynvml package is deprecated. Please install nvidia-ml-py instead. If you did not install pynvml directly, please report this to the maintainers of the package that installed pynvml for you.
  from pynvml import (
2026-07-06 10:51:32,837 [INFO] root: Running assay=listwise-ordinal-preference model=mistral-small-2603 
2026-07-06 10:51:32,848 [INFO] root: Invoking mistral-small-2603.
2026-07-06 10:51:32,849 [INFO] root: Invoking mistral-small-2603.
2026-07-06 10:51:32,849 [INFO] root: Invoking mistral-small-2603.
2026-07-06 10:51:32,850 [INFO] root: Invoking mistral-small-2603.
2026-07-06 10:51:32,850 [INFO] root: Invoking mistral-small-2603.
2026-07-06 10:51:32,851 [INFO] root: Invoking mistral-small-2603.
2026-07-06 10:51:32,852 [INFO] root: Invoking mistral-small-2603.
2026-07-06 10:51:32,852 [INFO] root: Invoking mistral-small-2603.
2026-07-06 10:51:32,853 [INFO] root: Invoking mistral-small-2603.
2026-07-06 10:51:32,854 [INFO] root: Invoking mistral-small-2603.
2026-07-06 10:51:32,856 [INFO] root: Invoking mistral-small-2603.
2026-07-06 10:51:32,858 [INFO] root: Invoking mistral-small-2603.
2026-07-06 10:51:32,859 [INFO] root: Invoking mistral-small-2603.
2026-07-06 10:51:32,859 [INFO] root: Invoking mistral-small-2603.
2026-07-06 10:51:32,860 [INFO] root: Invoking mistral-small-2603.
2026-07-06 10:51:32,862 [INFO] root: Invoking mistral-small-2603.
2026-07-06 10:51:32,862 [INFO] root: Invoking mistral-small-2603.
2026-07-06 10:51:32,864 [INFO] root: Invoking mistral-small-2603.
2026-07-06 10:51:32,867 [INFO] root: Invoking mistral-small-2603.
2026-07-06 10:51:32,869 [INFO] root: Invoking mistral-small-2603.
2026-07-06 10:51:32,871 [INFO] root: Invoking mistral-small-2603.
2026-07-06 10:51:32,872 [INFO] root: Invoking mistral-small-2603.
2026-07-06 10:51:32,873 [INFO] root: Invoking mistral-small-2603.
2026-07-06 10:51:32,874 [INFO] root: Invoking mistral-small-2603.
2026-07-06 10:51:32,880 [INFO] root: Invoking mistral-small-2603.
2026-07-06 10:51:32,885 [INFO] root: Invoking mistral-small-2603.
2026-07-06 10:51:32,886 [INFO] root: Invoking mistral-small-2603.
2026-07-06 10:51:32,889 [INFO] root: Invoking mistral-small-2603.
2026-07-06 10:51:32,892 [INFO] root: Invoking mistral-small-2603.
2026-07-06 10:51:32,894 [INFO] root: Invoking mistral-small-2603.
2026-07-06 10:51:32,896 [INFO] root: Invoking mistral-small-2603.
2026-07-06 10:51:32,897 [INFO] root: Invoking mistral-small-2603.
2026-07-06 10:51:32,899 [INFO] root: Invoking mistral-small-2603.
2026-07-06 10:51:32,899 [INFO] root: Invoking mistral-small-2603.
2026-07-06 10:51:32,900 [INFO] root: Invoking mistral-small-2603.
Queries:   0%|          | 0/39 [00:00<?, ?it/s]2026-07-06 10:51:32,901 [INFO] root: Invoking mistral-small-2603.
2026-07-06 10:51:32,902 [INFO] root: Invoking mistral-small-2603.
2026-07-06 10:51:32,902 [INFO] root: Invoking mistral-small-2603.
2026-07-06 10:51:32,905 [INFO] root: Invoking mistral-small-2603.
Queries: 100%|██████████| 39/39 [00:00<00:00, 734.42it/s]
2026-07-06 10:51:32,973 [INFO] root: Saved assay results to /home/harry/code/corporate-bias/data/assays/listwise-ordinal-preference/mistral-small-2603.parquet.
