/home/harry/code/corporate-bias/.venv/lib/python3.12/site-packages/dvclive/monitor_system.py:11: FutureWarning: The pynvml package is deprecated. Please install nvidia-ml-py instead. If you did not install pynvml directly, please report this to the maintainers of the package that installed pynvml for you.
  from pynvml import (
2026-07-08 18:58:44,558 [INFO] root: Running assay=listwise-ordinal-preference model=qwen3.5-flash-02-23 
2026-07-08 18:58:44,571 [INFO] root: Invoking qwen3.5-flash-02-23.
2026-07-08 18:58:44,572 [INFO] root: Invoking qwen3.5-flash-02-23.
2026-07-08 18:58:44,572 [INFO] root: Invoking qwen3.5-flash-02-23.
2026-07-08 18:58:44,573 [INFO] root: Invoking qwen3.5-flash-02-23.
2026-07-08 18:58:44,574 [INFO] root: Invoking qwen3.5-flash-02-23.
2026-07-08 18:58:44,575 [INFO] root: Invoking qwen3.5-flash-02-23.
2026-07-08 18:58:44,575 [INFO] root: Invoking qwen3.5-flash-02-23.
2026-07-08 18:58:44,578 [INFO] root: Invoking qwen3.5-flash-02-23.
2026-07-08 18:58:44,579 [INFO] root: Invoking qwen3.5-flash-02-23.
2026-07-08 18:58:44,581 [INFO] root: Invoking qwen3.5-flash-02-23.
2026-07-08 18:58:44,582 [INFO] root: Invoking qwen3.5-flash-02-23.
2026-07-08 18:58:44,585 [INFO] root: Invoking qwen3.5-flash-02-23.
2026-07-08 18:58:44,586 [INFO] root: Invoking qwen3.5-flash-02-23.
2026-07-08 18:58:44,587 [INFO] root: Invoking qwen3.5-flash-02-23.
2026-07-08 18:58:44,589 [INFO] root: Invoking qwen3.5-flash-02-23.
2026-07-08 18:58:44,593 [INFO] root: Invoking qwen3.5-flash-02-23.
2026-07-08 18:58:44,601 [INFO] root: Invoking qwen3.5-flash-02-23.
2026-07-08 18:58:44,603 [INFO] root: Invoking qwen3.5-flash-02-23.
2026-07-08 18:58:44,606 [INFO] root: Invoking qwen3.5-flash-02-23.
2026-07-08 18:58:44,609 [INFO] root: Invoking qwen3.5-flash-02-23.
2026-07-08 18:58:44,613 [INFO] root: Invoking qwen3.5-flash-02-23.
2026-07-08 18:58:44,614 [INFO] root: Invoking qwen3.5-flash-02-23.
2026-07-08 18:58:44,617 [INFO] root: Invoking qwen3.5-flash-02-23.
2026-07-08 18:58:44,619 [INFO] root: Invoking qwen3.5-flash-02-23.
2026-07-08 18:58:44,623 [INFO] root: Invoking qwen3.5-flash-02-23.
2026-07-08 18:58:44,624 [INFO] root: Invoking qwen3.5-flash-02-23.
2026-07-08 18:58:44,628 [INFO] root: Invoking qwen3.5-flash-02-23.
2026-07-08 18:58:44,629 [INFO] root: Invoking qwen3.5-flash-02-23.
2026-07-08 18:58:44,632 [INFO] root: Invoking qwen3.5-flash-02-23.
Queries:   0%|          | 0/39 [00:00<?, ?it/s]2026-07-08 18:58:44,637 [INFO] root: Invoking qwen3.5-flash-02-23.
2026-07-08 18:58:44,638 [INFO] root: Invoking qwen3.5-flash-02-23.
2026-07-08 18:58:44,640 [INFO] root: Invoking qwen3.5-flash-02-23.
2026-07-08 18:58:44,642 [INFO] root: Invoking qwen3.5-flash-02-23.
2026-07-08 18:58:44,643 [INFO] root: Invoking qwen3.5-flash-02-23.
2026-07-08 18:58:44,644 [INFO] root: Invoking qwen3.5-flash-02-23.
2026-07-08 18:58:44,646 [INFO] root: Invoking qwen3.5-flash-02-23.
2026-07-08 18:58:44,647 [INFO] root: Invoking qwen3.5-flash-02-23.
2026-07-08 18:58:44,648 [INFO] root: Invoking qwen3.5-flash-02-23.
2026-07-08 18:58:44,649 [INFO] root: Invoking qwen3.5-flash-02-23.
Queries: 100%|██████████| 39/39 [00:00<00:00, 527.90it/s]
2026-07-08 18:58:44,740 [INFO] root: Saved assay results to /home/harry/code/corporate-bias/data/assays/listwise-ordinal-preference/qwen3.5-flash-02-23.parquet.
