/home/harry/code/corporate-bias/.venv/lib/python3.12/site-packages/dvclive/monitor_system.py:11: FutureWarning: The pynvml package is deprecated. Please install nvidia-ml-py instead. If you did not install pynvml directly, please report this to the maintainers of the package that installed pynvml for you.
  from pynvml import (
2026-07-09 10:14:32,733 [INFO] root: Running assay=open-ended-characterisation model=claude-opus-4.6 
2026-07-09 10:14:32,741 [INFO] root: Invoking claude-opus-4.6.
2026-07-09 10:14:32,742 [INFO] root: Invoking claude-opus-4.6.
2026-07-09 10:14:32,742 [INFO] root: Invoking claude-opus-4.6.
2026-07-09 10:14:32,743 [INFO] root: Invoking claude-opus-4.6.
2026-07-09 10:14:32,744 [INFO] root: Invoking claude-opus-4.6.
2026-07-09 10:14:32,745 [INFO] root: Invoking claude-opus-4.6.
2026-07-09 10:14:32,747 [INFO] root: Invoking claude-opus-4.6.
2026-07-09 10:14:32,748 [INFO] root: Invoking claude-opus-4.6.
2026-07-09 10:14:32,748 [INFO] root: Invoking claude-opus-4.6.
2026-07-09 10:14:32,750 [INFO] root: Invoking claude-opus-4.6.
2026-07-09 10:14:32,751 [INFO] root: Invoking claude-opus-4.6.
2026-07-09 10:14:32,753 [INFO] root: Invoking claude-opus-4.6.
2026-07-09 10:14:32,754 [INFO] root: Invoking claude-opus-4.6.
2026-07-09 10:14:32,757 [INFO] root: Invoking claude-opus-4.6.
2026-07-09 10:14:32,761 [INFO] root: Invoking claude-opus-4.6.
2026-07-09 10:14:32,766 [INFO] root: Invoking claude-opus-4.6.
2026-07-09 10:14:32,767 [INFO] root: Invoking claude-opus-4.6.
2026-07-09 10:14:32,769 [INFO] root: Invoking claude-opus-4.6.
2026-07-09 10:14:32,772 [INFO] root: Invoking claude-opus-4.6.
2026-07-09 10:14:32,775 [INFO] root: Invoking claude-opus-4.6.
2026-07-09 10:14:32,778 [INFO] root: Invoking claude-opus-4.6.
2026-07-09 10:14:32,781 [INFO] root: Invoking claude-opus-4.6.
2026-07-09 10:14:32,783 [INFO] root: Invoking claude-opus-4.6.
2026-07-09 10:14:32,789 [INFO] root: Invoking claude-opus-4.6.
2026-07-09 10:14:32,791 [INFO] root: Invoking claude-opus-4.6.
2026-07-09 10:14:32,793 [INFO] root: Invoking claude-opus-4.6.
2026-07-09 10:14:32,798 [INFO] root: Invoking claude-opus-4.6.
2026-07-09 10:14:32,801 [INFO] root: Invoking claude-opus-4.6.
2026-07-09 10:14:32,805 [INFO] root: Invoking claude-opus-4.6.
2026-07-09 10:14:32,808 [INFO] root: Invoking claude-opus-4.6.
2026-07-09 10:14:32,813 [INFO] root: Invoking claude-opus-4.6.
2026-07-09 10:14:32,814 [INFO] root: Invoking claude-opus-4.6.
2026-07-09 10:14:32,815 [INFO] root: Invoking claude-opus-4.6.
2026-07-09 10:14:32,818 [INFO] root: Invoking claude-opus-4.6.
2026-07-09 10:14:32,820 [INFO] root: Invoking claude-opus-4.6.
2026-07-09 10:14:32,822 [INFO] root: Invoking claude-opus-4.6.
2026-07-09 10:14:32,825 [INFO] root: Invoking claude-opus-4.6.
2026-07-09 10:14:32,828 [INFO] root: Invoking claude-opus-4.6.
2026-07-09 10:14:32,830 [INFO] root: Invoking claude-opus-4.6.
Queries:   0%|          | 0/39 [00:00<?, ?it/s]2026-07-09 10:14:34,834 [INFO] httpx: HTTP Request: POST https://openrouter.ai/api/v1/chat/completions "HTTP/1.1 200 OK"
2026-07-09 10:14:34,871 [INFO] httpx: HTTP Request: POST https://openrouter.ai/api/v1/chat/completions "HTTP/1.1 200 OK"
2026-07-09 10:14:34,907 [INFO] httpx: HTTP Request: POST https://openrouter.ai/api/v1/chat/completions "HTTP/1.1 200 OK"
2026-07-09 10:14:34,972 [INFO] httpx: HTTP Request: POST https://openrouter.ai/api/v1/chat/completions "HTTP/1.1 200 OK"
2026-07-09 10:14:34,981 [INFO] httpx: HTTP Request: POST https://openrouter.ai/api/v1/chat/completions "HTTP/1.1 200 OK"
2026-07-09 10:14:34,985 [INFO] httpx: HTTP Request: POST https://openrouter.ai/api/v1/chat/completions "HTTP/1.1 200 OK"
2026-07-09 10:14:34,997 [INFO] httpx: HTTP Request: POST https://openrouter.ai/api/v1/chat/completions "HTTP/1.1 200 OK"
2026-07-09 10:14:35,000 [INFO] httpx: HTTP Request: POST https://openrouter.ai/api/v1/chat/completions "HTTP/1.1 200 OK"
2026-07-09 10:14:35,002 [INFO] httpx: HTTP Request: POST https://openrouter.ai/api/v1/chat/completions "HTTP/1.1 200 OK"
2026-07-09 10:14:35,002 [INFO] httpx: HTTP Request: POST https://openrouter.ai/api/v1/chat/completions "HTTP/1.1 200 OK"
2026-07-09 10:14:35,015 [INFO] httpx: HTTP Request: POST https://openrouter.ai/api/v1/chat/completions "HTTP/1.1 200 OK"
2026-07-09 10:14:35,019 [INFO] httpx: HTTP Request: POST https://openrouter.ai/api/v1/chat/completions "HTTP/1.1 200 OK"
2026-07-09 10:14:35,031 [INFO] httpx: HTTP Request: POST https://openrouter.ai/api/v1/chat/completions "HTTP/1.1 200 OK"
2026-07-09 10:14:35,035 [INFO] httpx: HTTP Request: POST https://openrouter.ai/api/v1/chat/completions "HTTP/1.1 200 OK"
2026-07-09 10:14:35,037 [INFO] httpx: HTTP Request: POST https://openrouter.ai/api/v1/chat/completions "HTTP/1.1 200 OK"
2026-07-09 10:14:35,058 [INFO] httpx: HTTP Request: POST https://openrouter.ai/api/v1/chat/completions "HTTP/1.1 200 OK"
2026-07-09 10:14:35,058 [INFO] httpx: HTTP Request: POST https://openrouter.ai/api/v1/chat/completions "HTTP/1.1 200 OK"
2026-07-09 10:14:35,062 [INFO] httpx: HTTP Request: POST https://openrouter.ai/api/v1/chat/completions "HTTP/1.1 200 OK"
2026-07-09 10:14:35,084 [INFO] httpx: HTTP Request: POST https://openrouter.ai/api/v1/chat/completions "HTTP/1.1 200 OK"
2026-07-09 10:14:35,096 [INFO] httpx: HTTP Request: POST https://openrouter.ai/api/v1/chat/completions "HTTP/1.1 200 OK"
2026-07-09 10:14:35,114 [INFO] httpx: HTTP Request: POST https://openrouter.ai/api/v1/chat/completions "HTTP/1.1 200 OK"
2026-07-09 10:14:35,115 [INFO] httpx: HTTP Request: POST https://openrouter.ai/api/v1/chat/completions "HTTP/1.1 200 OK"
2026-07-09 10:14:35,121 [INFO] httpx: HTTP Request: POST https://openrouter.ai/api/v1/chat/completions "HTTP/1.1 200 OK"
2026-07-09 10:14:35,176 [INFO] httpx: HTTP Request: POST https://openrouter.ai/api/v1/chat/completions "HTTP/1.1 200 OK"
2026-07-09 10:14:35,209 [INFO] httpx: HTTP Request: POST https://openrouter.ai/api/v1/chat/completions "HTTP/1.1 200 OK"
2026-07-09 10:14:35,236 [INFO] httpx: HTTP Request: POST https://openrouter.ai/api/v1/chat/completions "HTTP/1.1 200 OK"
2026-07-09 10:14:35,253 [INFO] httpx: HTTP Request: POST https://openrouter.ai/api/v1/chat/completions "HTTP/1.1 200 OK"
2026-07-09 10:14:35,339 [INFO] httpx: HTTP Request: POST https://openrouter.ai/api/v1/chat/completions "HTTP/1.1 200 OK"
2026-07-09 10:14:35,345 [INFO] httpx: HTTP Request: POST https://openrouter.ai/api/v1/chat/completions "HTTP/1.1 200 OK"
2026-07-09 10:14:35,353 [INFO] httpx: HTTP Request: POST https://openrouter.ai/api/v1/chat/completions "HTTP/1.1 200 OK"
2026-07-09 10:14:35,406 [INFO] httpx: HTTP Request: POST https://openrouter.ai/api/v1/chat/completions "HTTP/1.1 200 OK"
2026-07-09 10:14:35,442 [INFO] httpx: HTTP Request: POST https://openrouter.ai/api/v1/chat/completions "HTTP/1.1 200 OK"
2026-07-09 10:14:35,489 [INFO] httpx: HTTP Request: POST https://openrouter.ai/api/v1/chat/completions "HTTP/1.1 200 OK"
2026-07-09 10:14:35,598 [INFO] httpx: HTTP Request: POST https://openrouter.ai/api/v1/chat/completions "HTTP/1.1 200 OK"
2026-07-09 10:14:35,691 [INFO] httpx: HTTP Request: POST https://openrouter.ai/api/v1/chat/completions "HTTP/1.1 200 OK"
2026-07-09 10:14:35,749 [INFO] httpx: HTTP Request: POST https://openrouter.ai/api/v1/chat/completions "HTTP/1.1 200 OK"
2026-07-09 10:14:36,217 [INFO] httpx: HTTP Request: POST https://openrouter.ai/api/v1/chat/completions "HTTP/1.1 200 OK"
2026-07-09 10:14:36,251 [INFO] httpx: HTTP Request: POST https://openrouter.ai/api/v1/chat/completions "HTTP/1.1 200 OK"
2026-07-09 10:14:37,774 [INFO] httpx: HTTP Request: POST https://openrouter.ai/api/v1/chat/completions "HTTP/1.1 200 OK"
Queries:   3%|▎         | 1/39 [00:06<04:06,  6.49s/it]Queries:   5%|▌         | 2/39 [00:07<01:55,  3.12s/it]Queries:   8%|▊         | 3/39 [00:08<01:15,  2.11s/it]Queries:  10%|█         | 4/39 [00:09<01:01,  1.77s/it]Queries:  13%|█▎        | 5/39 [00:09<00:41,  1.21s/it]Queries:  18%|█▊        | 7/39 [00:09<00:20,  1.55it/s]Queries:  21%|██        | 8/39 [00:10<00:16,  1.90it/s]Queries:  23%|██▎       | 9/39 [00:10<00:13,  2.26it/s]Queries:  31%|███       | 12/39 [00:10<00:06,  4.48it/s]Queries:  36%|███▌      | 14/39 [00:10<00:04,  5.66it/s]Queries:  41%|████      | 16/39 [00:10<00:03,  6.21it/s]Queries:  46%|████▌     | 18/39 [00:11<00:03,  6.86it/s]Queries:  49%|████▊     | 19/39 [00:11<00:03,  6.19it/s]Queries:  54%|█████▍    | 21/39 [00:11<00:02,  7.79it/s]Queries:  59%|█████▉    | 23/39 [00:11<00:02,  7.44it/s]Queries:  62%|██████▏   | 24/39 [00:11<00:02,  6.97it/s]Queries:  64%|██████▍   | 25/39 [00:12<00:03,  4.28it/s]Queries:  72%|███████▏  | 28/39 [00:12<00:02,  5.34it/s]Queries:  79%|███████▉  | 31/39 [00:13<00:01,  6.98it/s]Queries:  85%|████████▍ | 33/39 [00:13<00:01,  4.55it/s]Queries:  87%|████████▋ | 34/39 [00:14<00:01,  4.96it/s]Queries:  90%|████████▉ | 35/39 [00:14<00:01,  3.64it/s]Queries:  92%|█████████▏| 36/39 [00:15<00:01,  2.79it/s]Queries:  95%|█████████▍| 37/39 [00:15<00:00,  2.96it/s]Queries:  97%|█████████▋| 38/39 [00:17<00:00,  1.58it/s]Queries: 100%|██████████| 39/39 [00:17<00:00,  1.91it/s]Queries: 100%|██████████| 39/39 [00:17<00:00,  2.26it/s]
2026-07-09 10:14:50,092 [INFO] root: Invoking gpt-5.4.
2026-07-09 10:14:50,093 [INFO] root: Invoking gemini-2.5-pro.
2026-07-09 10:14:50,093 [INFO] root: Invoking gpt-5.4.
2026-07-09 10:14:50,094 [INFO] root: Invoking gemini-2.5-pro.
2026-07-09 10:14:50,095 [INFO] root: Invoking gpt-5.4.
2026-07-09 10:14:50,096 [INFO] root: Invoking gemini-2.5-pro.
2026-07-09 10:14:50,097 [INFO] root: Invoking gpt-5.4.
2026-07-09 10:14:50,098 [INFO] root: Invoking gemini-2.5-pro.
2026-07-09 10:14:50,099 [INFO] root: Invoking gpt-5.4.
2026-07-09 10:14:50,100 [INFO] root: Invoking gemini-2.5-pro.
2026-07-09 10:14:50,101 [INFO] root: Invoking gpt-5.4.
2026-07-09 10:14:50,108 [INFO] root: Invoking gemini-2.5-pro.
2026-07-09 10:14:50,110 [INFO] root: Invoking gpt-5.4.
2026-07-09 10:14:50,118 [INFO] root: Invoking gemini-2.5-pro.
2026-07-09 10:14:50,119 [INFO] root: Invoking gpt-5.4.
2026-07-09 10:14:50,123 [INFO] root: Invoking gemini-2.5-pro.
2026-07-09 10:14:50,130 [INFO] root: Invoking gpt-5.4.
2026-07-09 10:14:50,138 [INFO] root: Invoking gemini-2.5-pro.
2026-07-09 10:14:50,139 [INFO] root: Invoking gpt-5.4.
2026-07-09 10:14:50,141 [INFO] root: Invoking gemini-2.5-pro.
2026-07-09 10:14:50,147 [INFO] root: Invoking gpt-5.4.
2026-07-09 10:14:50,150 [INFO] root: Invoking gemini-2.5-pro.
2026-07-09 10:14:50,152 [INFO] root: Invoking gpt-5.4.
2026-07-09 10:14:50,167 [INFO] root: Invoking gemini-2.5-pro.
2026-07-09 10:14:50,180 [INFO] root: Invoking gpt-5.4.
2026-07-09 10:14:50,210 [INFO] root: Invoking gemini-2.5-pro.
2026-07-09 10:14:50,218 [INFO] root: Invoking gpt-5.4.
2026-07-09 10:14:50,221 [INFO] root: Invoking gemini-2.5-pro.
2026-07-09 10:14:50,223 [INFO] root: Invoking gpt-5.4.
2026-07-09 10:14:50,231 [INFO] root: Invoking gemini-2.5-pro.
