/home/harry/code/corporate-bias/.venv/lib/python3.12/site-packages/dvclive/monitor_system.py:11: FutureWarning: The pynvml package is deprecated. Please install nvidia-ml-py instead. If you did not install pynvml directly, please report this to the maintainers of the package that installed pynvml for you.
  from pynvml import (
2026-07-09 10:07:31,867 [INFO] root: Running assay=open-ended-characterisation model=claude-sonnet-4.6 
2026-07-09 10:07:31,875 [INFO] root: Invoking claude-sonnet-4.6.
2026-07-09 10:07:31,876 [INFO] root: Invoking claude-sonnet-4.6.
2026-07-09 10:07:31,876 [INFO] root: Invoking claude-sonnet-4.6.
2026-07-09 10:07:31,877 [INFO] root: Invoking claude-sonnet-4.6.
2026-07-09 10:07:31,878 [INFO] root: Invoking claude-sonnet-4.6.
2026-07-09 10:07:31,878 [INFO] root: Invoking claude-sonnet-4.6.
2026-07-09 10:07:31,878 [INFO] root: Invoking claude-sonnet-4.6.
2026-07-09 10:07:31,879 [INFO] root: Invoking claude-sonnet-4.6.
2026-07-09 10:07:31,881 [INFO] root: Invoking claude-sonnet-4.6.
2026-07-09 10:07:31,881 [INFO] root: Invoking claude-sonnet-4.6.
2026-07-09 10:07:31,882 [INFO] root: Invoking claude-sonnet-4.6.
2026-07-09 10:07:31,884 [INFO] root: Invoking claude-sonnet-4.6.
2026-07-09 10:07:31,885 [INFO] root: Invoking claude-sonnet-4.6.
2026-07-09 10:07:31,886 [INFO] root: Invoking claude-sonnet-4.6.
2026-07-09 10:07:31,888 [INFO] root: Invoking claude-sonnet-4.6.
2026-07-09 10:07:31,889 [INFO] root: Invoking claude-sonnet-4.6.
2026-07-09 10:07:31,891 [INFO] root: Invoking claude-sonnet-4.6.
2026-07-09 10:07:31,892 [INFO] root: Invoking claude-sonnet-4.6.
2026-07-09 10:07:31,893 [INFO] root: Invoking claude-sonnet-4.6.
2026-07-09 10:07:31,895 [INFO] root: Invoking claude-sonnet-4.6.
2026-07-09 10:07:31,898 [INFO] root: Invoking claude-sonnet-4.6.
2026-07-09 10:07:31,900 [INFO] root: Invoking claude-sonnet-4.6.
2026-07-09 10:07:31,902 [INFO] root: Invoking claude-sonnet-4.6.
2026-07-09 10:07:31,904 [INFO] root: Invoking claude-sonnet-4.6.
2026-07-09 10:07:31,906 [INFO] root: Invoking claude-sonnet-4.6.
2026-07-09 10:07:31,908 [INFO] root: Invoking claude-sonnet-4.6.
2026-07-09 10:07:31,911 [INFO] root: Invoking claude-sonnet-4.6.
2026-07-09 10:07:31,915 [INFO] root: Invoking claude-sonnet-4.6.
Queries:   0%|          | 0/39 [00:00<?, ?it/s]2026-07-09 10:07:31,915 [INFO] root: Invoking claude-sonnet-4.6.
2026-07-09 10:07:31,920 [INFO] root: Invoking claude-sonnet-4.6.
2026-07-09 10:07:31,921 [INFO] root: Invoking claude-sonnet-4.6.
2026-07-09 10:07:31,923 [INFO] root: Invoking claude-sonnet-4.6.
2026-07-09 10:07:31,925 [INFO] root: Invoking claude-sonnet-4.6.
2026-07-09 10:07:31,927 [INFO] root: Invoking claude-sonnet-4.6.
2026-07-09 10:07:31,931 [INFO] root: Invoking claude-sonnet-4.6.
2026-07-09 10:07:31,933 [INFO] root: Invoking claude-sonnet-4.6.
2026-07-09 10:07:31,934 [INFO] root: Invoking claude-sonnet-4.6.
2026-07-09 10:07:31,937 [INFO] root: Invoking claude-sonnet-4.6.
2026-07-09 10:07:31,938 [INFO] root: Invoking claude-sonnet-4.6.
2026-07-09 10:07:33,469 [INFO] httpx: HTTP Request: POST https://openrouter.ai/api/v1/chat/completions "HTTP/1.1 200 OK"
2026-07-09 10:07:33,489 [INFO] httpx: HTTP Request: POST https://openrouter.ai/api/v1/chat/completions "HTTP/1.1 200 OK"
2026-07-09 10:07:33,500 [INFO] httpx: HTTP Request: POST https://openrouter.ai/api/v1/chat/completions "HTTP/1.1 200 OK"
2026-07-09 10:07:33,543 [INFO] httpx: HTTP Request: POST https://openrouter.ai/api/v1/chat/completions "HTTP/1.1 200 OK"
2026-07-09 10:07:33,543 [INFO] httpx: HTTP Request: POST https://openrouter.ai/api/v1/chat/completions "HTTP/1.1 200 OK"
2026-07-09 10:07:33,562 [INFO] httpx: HTTP Request: POST https://openrouter.ai/api/v1/chat/completions "HTTP/1.1 200 OK"
2026-07-09 10:07:33,562 [INFO] httpx: HTTP Request: POST https://openrouter.ai/api/v1/chat/completions "HTTP/1.1 200 OK"
2026-07-09 10:07:33,564 [INFO] httpx: HTTP Request: POST https://openrouter.ai/api/v1/chat/completions "HTTP/1.1 200 OK"
2026-07-09 10:07:33,578 [INFO] httpx: HTTP Request: POST https://openrouter.ai/api/v1/chat/completions "HTTP/1.1 200 OK"
2026-07-09 10:07:33,585 [INFO] httpx: HTTP Request: POST https://openrouter.ai/api/v1/chat/completions "HTTP/1.1 200 OK"
2026-07-09 10:07:33,590 [INFO] httpx: HTTP Request: POST https://openrouter.ai/api/v1/chat/completions "HTTP/1.1 200 OK"
2026-07-09 10:07:33,596 [INFO] httpx: HTTP Request: POST https://openrouter.ai/api/v1/chat/completions "HTTP/1.1 200 OK"
2026-07-09 10:07:33,601 [INFO] httpx: HTTP Request: POST https://openrouter.ai/api/v1/chat/completions "HTTP/1.1 200 OK"
2026-07-09 10:07:33,602 [INFO] httpx: HTTP Request: POST https://openrouter.ai/api/v1/chat/completions "HTTP/1.1 200 OK"
2026-07-09 10:07:33,607 [INFO] httpx: HTTP Request: POST https://openrouter.ai/api/v1/chat/completions "HTTP/1.1 200 OK"
2026-07-09 10:07:33,627 [INFO] httpx: HTTP Request: POST https://openrouter.ai/api/v1/chat/completions "HTTP/1.1 200 OK"
2026-07-09 10:07:33,628 [INFO] httpx: HTTP Request: POST https://openrouter.ai/api/v1/chat/completions "HTTP/1.1 200 OK"
2026-07-09 10:07:33,630 [INFO] httpx: HTTP Request: POST https://openrouter.ai/api/v1/chat/completions "HTTP/1.1 200 OK"
2026-07-09 10:07:33,631 [INFO] httpx: HTTP Request: POST https://openrouter.ai/api/v1/chat/completions "HTTP/1.1 200 OK"
