/home/harry/code/corporate-bias/.venv/lib/python3.12/site-packages/dvclive/monitor_system.py:11: FutureWarning: The pynvml package is deprecated. Please install nvidia-ml-py instead. If you did not install pynvml directly, please report this to the maintainers of the package that installed pynvml for you.
  from pynvml import (
2026-07-06 10:52:00,203 [INFO] root: Running assay=open-ended-characterisation model=gemini-2.5-flash 
2026-07-06 10:52:00,212 [INFO] root: Invoking gemini-2.5-flash.
2026-07-06 10:52:00,212 [INFO] root: Invoking gemini-2.5-flash.
2026-07-06 10:52:00,212 [INFO] root: Invoking gemini-2.5-flash.
2026-07-06 10:52:00,213 [INFO] root: Invoking gemini-2.5-flash.
2026-07-06 10:52:00,213 [INFO] root: Invoking gemini-2.5-flash.
2026-07-06 10:52:00,214 [INFO] root: Invoking gemini-2.5-flash.
2026-07-06 10:52:00,215 [INFO] root: Invoking gemini-2.5-flash.
2026-07-06 10:52:00,215 [INFO] root: Invoking gemini-2.5-flash.
2026-07-06 10:52:00,216 [INFO] root: Invoking gemini-2.5-flash.
2026-07-06 10:52:00,216 [INFO] root: Invoking gemini-2.5-flash.
2026-07-06 10:52:00,217 [INFO] root: Invoking gemini-2.5-flash.
2026-07-06 10:52:00,218 [INFO] root: Invoking gemini-2.5-flash.
2026-07-06 10:52:00,220 [INFO] root: Invoking gemini-2.5-flash.
2026-07-06 10:52:00,221 [INFO] root: Invoking gemini-2.5-flash.
2026-07-06 10:52:00,222 [INFO] root: Invoking gemini-2.5-flash.
2026-07-06 10:52:00,225 [INFO] root: Invoking gemini-2.5-flash.
2026-07-06 10:52:00,226 [INFO] root: Invoking gemini-2.5-flash.
2026-07-06 10:52:00,227 [INFO] root: Invoking gemini-2.5-flash.
2026-07-06 10:52:00,228 [INFO] root: Invoking gemini-2.5-flash.
2026-07-06 10:52:00,232 [INFO] root: Invoking gemini-2.5-flash.
2026-07-06 10:52:00,235 [INFO] root: Invoking gemini-2.5-flash.
2026-07-06 10:52:00,237 [INFO] root: Invoking gemini-2.5-flash.
2026-07-06 10:52:00,240 [INFO] root: Invoking gemini-2.5-flash.
2026-07-06 10:52:00,242 [INFO] root: Invoking gemini-2.5-flash.
2026-07-06 10:52:00,245 [INFO] root: Invoking gemini-2.5-flash.
2026-07-06 10:52:00,247 [INFO] root: Invoking gemini-2.5-flash.
2026-07-06 10:52:00,253 [INFO] root: Invoking gemini-2.5-flash.
2026-07-06 10:52:00,255 [INFO] root: Invoking gemini-2.5-flash.
2026-07-06 10:52:00,258 [INFO] root: Invoking gemini-2.5-flash.
2026-07-06 10:52:00,259 [INFO] root: Invoking gemini-2.5-flash.
2026-07-06 10:52:00,260 [INFO] root: Invoking gemini-2.5-flash.
2026-07-06 10:52:00,262 [INFO] root: Invoking gemini-2.5-flash.
2026-07-06 10:52:00,263 [INFO] root: Invoking gemini-2.5-flash.
2026-07-06 10:52:00,269 [INFO] root: Invoking gemini-2.5-flash.
2026-07-06 10:52:00,270 [INFO] root: Invoking gemini-2.5-flash.
Queries:   0%|          | 0/39 [00:00<?, ?it/s]2026-07-06 10:52:00,272 [INFO] root: Invoking gemini-2.5-flash.
2026-07-06 10:52:00,274 [INFO] root: Invoking gemini-2.5-flash.
2026-07-06 10:52:00,275 [INFO] root: Invoking gemini-2.5-flash.
2026-07-06 10:52:00,276 [INFO] root: Invoking gemini-2.5-flash.
Queries: 100%|██████████| 39/39 [00:00<00:00, 517.09it/s]
2026-07-06 10:52:00,357 [INFO] root: Invoking gpt-5.4.
2026-07-06 10:52:00,357 [INFO] root: Invoking gemini-2.5-pro.
2026-07-06 10:52:00,358 [INFO] root: Invoking gpt-5.4.
2026-07-06 10:52:00,358 [INFO] root: Invoking gemini-2.5-pro.
2026-07-06 10:52:00,359 [INFO] root: Invoking gpt-5.4.
2026-07-06 10:52:00,359 [INFO] root: Invoking gemini-2.5-pro.
2026-07-06 10:52:00,360 [INFO] root: Invoking gpt-5.4.
2026-07-06 10:52:00,360 [INFO] root: Invoking gemini-2.5-pro.
2026-07-06 10:52:00,361 [INFO] root: Invoking gpt-5.4.
2026-07-06 10:52:00,363 [INFO] root: Invoking gemini-2.5-pro.
2026-07-06 10:52:00,364 [INFO] root: Invoking gpt-5.4.
2026-07-06 10:52:00,365 [INFO] root: Invoking gemini-2.5-pro.
2026-07-06 10:52:00,367 [INFO] root: Invoking gpt-5.4.
2026-07-06 10:52:00,369 [INFO] root: Invoking gemini-2.5-pro.
2026-07-06 10:52:00,371 [INFO] root: Invoking gpt-5.4.
2026-07-06 10:52:00,371 [INFO] root: Invoking gemini-2.5-pro.
2026-07-06 10:52:00,373 [INFO] root: Invoking gpt-5.4.
