/home/harry/code/corporate-bias/.venv/lib/python3.12/site-packages/dvclive/monitor_system.py:11: FutureWarning: The pynvml package is deprecated. Please install nvidia-ml-py instead. If you did not install pynvml directly, please report this to the maintainers of the package that installed pynvml for you.
  from pynvml import (
2026-07-09 10:41:39,891 [INFO] root: Running assay=open-ended-characterisation model=gemma-4-31B-it 
2026-07-09 10:41:39,900 [INFO] root: Invoking gemma-4-31B-it.
2026-07-09 10:41:39,900 [INFO] root: Invoking gemma-4-31B-it.
2026-07-09 10:41:39,901 [INFO] root: Invoking gemma-4-31B-it.
2026-07-09 10:41:39,901 [INFO] root: Invoking gemma-4-31B-it.
2026-07-09 10:41:39,902 [INFO] root: Invoking gemma-4-31B-it.
2026-07-09 10:41:39,903 [INFO] root: Invoking gemma-4-31B-it.
2026-07-09 10:41:39,903 [INFO] root: Invoking gemma-4-31B-it.
2026-07-09 10:41:39,904 [INFO] root: Invoking gemma-4-31B-it.
2026-07-09 10:41:39,905 [INFO] root: Invoking gemma-4-31B-it.
2026-07-09 10:41:39,906 [INFO] root: Invoking gemma-4-31B-it.
2026-07-09 10:41:39,910 [INFO] root: Invoking gemma-4-31B-it.
2026-07-09 10:41:39,912 [INFO] root: Invoking gemma-4-31B-it.
2026-07-09 10:41:39,913 [INFO] root: Invoking gemma-4-31B-it.
2026-07-09 10:41:39,915 [INFO] root: Invoking gemma-4-31B-it.
2026-07-09 10:41:39,916 [INFO] root: Invoking gemma-4-31B-it.
2026-07-09 10:41:39,917 [INFO] root: Invoking gemma-4-31B-it.
2026-07-09 10:41:39,921 [INFO] root: Invoking gemma-4-31B-it.
2026-07-09 10:41:39,926 [INFO] root: Invoking gemma-4-31B-it.
2026-07-09 10:41:39,929 [INFO] root: Invoking gemma-4-31B-it.
2026-07-09 10:41:39,930 [INFO] root: Invoking gemma-4-31B-it.
2026-07-09 10:41:39,932 [INFO] root: Invoking gemma-4-31B-it.
2026-07-09 10:41:39,935 [INFO] root: Invoking gemma-4-31B-it.
2026-07-09 10:41:39,938 [INFO] root: Invoking gemma-4-31B-it.
2026-07-09 10:41:39,941 [INFO] root: Invoking gemma-4-31B-it.
2026-07-09 10:41:39,945 [INFO] root: Invoking gemma-4-31B-it.
2026-07-09 10:41:39,946 [INFO] root: Invoking gemma-4-31B-it.
2026-07-09 10:41:39,951 [INFO] root: Invoking gemma-4-31B-it.
2026-07-09 10:41:39,953 [INFO] root: Invoking gemma-4-31B-it.
2026-07-09 10:41:39,956 [INFO] root: Invoking gemma-4-31B-it.
2026-07-09 10:41:39,959 [INFO] root: Invoking gemma-4-31B-it.
2026-07-09 10:41:39,962 [INFO] root: Invoking gemma-4-31B-it.
2026-07-09 10:41:39,965 [INFO] root: Invoking gemma-4-31B-it.
2026-07-09 10:41:39,967 [INFO] root: Invoking gemma-4-31B-it.
2026-07-09 10:41:39,970 [INFO] root: Invoking gemma-4-31B-it.

Queries:   0%|          | 0/39 [00:00<?, ?it/s]2026-07-09 10:41:39,972 [INFO] root: Invoking gemma-4-31B-it.
2026-07-09 10:41:39,974 [INFO] root: Invoking gemma-4-31B-it.
2026-07-09 10:41:39,976 [INFO] root: Invoking gemma-4-31B-it.
2026-07-09 10:41:39,977 [INFO] root: Invoking gemma-4-31B-it.
2026-07-09 10:41:39,979 [INFO] root: Invoking gemma-4-31B-it.
2026-07-09 10:41:40,701 [INFO] httpx: HTTP Request: POST https://openrouter.ai/api/v1/chat/completions "HTTP/1.1 200 OK"
2026-07-09 10:41:40,714 [INFO] httpx: HTTP Request: POST https://openrouter.ai/api/v1/chat/completions "HTTP/1.1 200 OK"
2026-07-09 10:41:40,755 [INFO] httpx: HTTP Request: POST https://openrouter.ai/api/v1/chat/completions "HTTP/1.1 200 OK"
2026-07-09 10:41:40,868 [INFO] httpx: HTTP Request: POST https://openrouter.ai/api/v1/chat/completions "HTTP/1.1 200 OK"
2026-07-09 10:41:40,875 [INFO] httpx: HTTP Request: POST https://openrouter.ai/api/v1/chat/completions "HTTP/1.1 200 OK"
2026-07-09 10:41:40,876 [INFO] httpx: HTTP Request: POST https://openrouter.ai/api/v1/chat/completions "HTTP/1.1 200 OK"
2026-07-09 10:41:40,901 [INFO] httpx: HTTP Request: POST https://openrouter.ai/api/v1/chat/completions "HTTP/1.1 200 OK"
2026-07-09 10:41:40,908 [INFO] httpx: HTTP Request: POST https://openrouter.ai/api/v1/chat/completions "HTTP/1.1 200 OK"
2026-07-09 10:41:40,909 [INFO] httpx: HTTP Request: POST https://openrouter.ai/api/v1/chat/completions "HTTP/1.1 200 OK"
2026-07-09 10:41:40,911 [INFO] httpx: HTTP Request: POST https://openrouter.ai/api/v1/chat/completions "HTTP/1.1 200 OK"
2026-07-09 10:41:40,924 [INFO] httpx: HTTP Request: POST https://openrouter.ai/api/v1/chat/completions "HTTP/1.1 200 OK"
2026-07-09 10:41:40,936 [INFO] httpx: HTTP Request: POST https://openrouter.ai/api/v1/chat/completions "HTTP/1.1 200 OK"
2026-07-09 10:41:40,945 [INFO] httpx: HTTP Request: POST https://openrouter.ai/api/v1/chat/completions "HTTP/1.1 200 OK"
2026-07-09 10:41:40,960 [INFO] httpx: HTTP Request: POST https://openrouter.ai/api/v1/chat/completions "HTTP/1.1 200 OK"
2026-07-09 10:41:40,985 [INFO] httpx: HTTP Request: POST https://openrouter.ai/api/v1/chat/completions "HTTP/1.1 200 OK"
2026-07-09 10:41:41,017 [INFO] httpx: HTTP Request: POST https://openrouter.ai/api/v1/chat/completions "HTTP/1.1 200 OK"
2026-07-09 10:41:41,190 [INFO] httpx: HTTP Request: POST https://openrouter.ai/api/v1/chat/completions "HTTP/1.1 200 OK"
2026-07-09 10:41:41,192 [INFO] httpx: HTTP Request: POST https://openrouter.ai/api/v1/chat/completions "HTTP/1.1 200 OK"
2026-07-09 10:41:41,275 [INFO] httpx: HTTP Request: POST https://openrouter.ai/api/v1/chat/completions "HTTP/1.1 200 OK"
2026-07-09 10:41:41,344 [INFO] httpx: HTTP Request: POST https://openrouter.ai/api/v1/chat/completions "HTTP/1.1 200 OK"
2026-07-09 10:41:41,398 [INFO] httpx: HTTP Request: POST https://openrouter.ai/api/v1/chat/completions "HTTP/1.1 200 OK"
2026-07-09 10:41:41,581 [INFO] httpx: HTTP Request: POST https://openrouter.ai/api/v1/chat/completions "HTTP/1.1 200 OK"
2026-07-09 10:41:41,649 [INFO] httpx: HTTP Request: POST https://openrouter.ai/api/v1/chat/completions "HTTP/1.1 200 OK"
2026-07-09 10:41:41,702 [INFO] httpx: HTTP Request: POST https://openrouter.ai/api/v1/chat/completions "HTTP/1.1 200 OK"
2026-07-09 10:41:41,742 [INFO] httpx: HTTP Request: POST https://openrouter.ai/api/v1/chat/completions "HTTP/1.1 200 OK"
2026-07-09 10:41:41,753 [INFO] httpx: HTTP Request: POST https://openrouter.ai/api/v1/chat/completions "HTTP/1.1 200 OK"
2026-07-09 10:41:41,821 [INFO] httpx: HTTP Request: POST https://openrouter.ai/api/v1/chat/completions "HTTP/1.1 200 OK"
2026-07-09 10:41:41,842 [INFO] httpx: HTTP Request: POST https://openrouter.ai/api/v1/chat/completions "HTTP/1.1 200 OK"
2026-07-09 10:41:41,884 [INFO] httpx: HTTP Request: POST https://openrouter.ai/api/v1/chat/completions "HTTP/1.1 200 OK"
2026-07-09 10:41:41,897 [INFO] httpx: HTTP Request: POST https://openrouter.ai/api/v1/chat/completions "HTTP/1.1 200 OK"
2026-07-09 10:41:42,005 [INFO] httpx: HTTP Request: POST https://openrouter.ai/api/v1/chat/completions "HTTP/1.1 200 OK"
2026-07-09 10:41:42,437 [INFO] httpx: HTTP Request: POST https://openrouter.ai/api/v1/chat/completions "HTTP/1.1 200 OK"
2026-07-09 10:41:42,504 [INFO] httpx: HTTP Request: POST https://openrouter.ai/api/v1/chat/completions "HTTP/1.1 200 OK"
2026-07-09 10:41:42,944 [INFO] httpx: HTTP Request: POST https://openrouter.ai/api/v1/chat/completions "HTTP/1.1 200 OK"
2026-07-09 10:41:43,590 [INFO] httpx: HTTP Request: POST https://openrouter.ai/api/v1/chat/completions "HTTP/1.1 200 OK"
2026-07-09 10:41:43,957 [INFO] httpx: HTTP Request: POST https://openrouter.ai/api/v1/chat/completions "HTTP/1.1 200 OK"

Queries:   3%|▎         | 1/39 [00:04<02:38,  4.16s/it]
Queries:   5%|▌         | 2/39 [00:04<01:07,  1.82s/it]
Queries:   8%|▊         | 3/39 [00:04<00:39,  1.09s/it]
Queries:  10%|█         | 4/39 [00:06<00:44,  1.28s/it]
Queries:  13%|█▎        | 5/39 [00:09<01:06,  1.95s/it]2026-07-09 10:41:49,278 [INFO] httpx: HTTP Request: POST https://openrouter.ai/api/v1/chat/completions "HTTP/1.1 200 OK"

Queries:  15%|█▌        | 6/39 [00:09<00:45,  1.38s/it]
Queries:  18%|█▊        | 7/39 [00:10<00:34,  1.08s/it]
Queries:  21%|██        | 8/39 [00:10<00:26,  1.16it/s]2026-07-09 10:41:50,419 [INFO] httpx: HTTP Request: POST https://openrouter.ai/api/v1/chat/completions "HTTP/1.1 200 OK"
2026-07-09 10:41:50,629 [INFO] httpx: HTTP Request: POST https://openrouter.ai/api/v1/chat/completions "HTTP/1.1 200 OK"

Queries:  23%|██▎       | 9/39 [00:10<00:22,  1.35it/s]
Queries:  26%|██▌       | 10/39 [00:11<00:20,  1.42it/s]
Queries:  31%|███       | 12/39 [00:12<00:14,  1.80it/s]
Queries:  33%|███▎      | 13/39 [00:13<00:16,  1.56it/s]
Queries:  36%|███▌      | 14/39 [00:13<00:15,  1.66it/s]
Queries:  38%|███▊      | 15/39 [00:14<00:17,  1.41it/s]
Queries:  41%|████      | 16/39 [00:15<00:15,  1.45it/s]
Queries:  44%|████▎     | 17/39 [00:15<00:12,  1.73it/s]
Queries:  49%|████▊     | 19/39 [00:16<00:08,  2.43it/s]
Queries:  51%|█████▏    | 20/39 [00:17<00:12,  1.48it/s]
Queries:  54%|█████▍    | 21/39 [00:18<00:12,  1.44it/s]
Queries:  56%|█████▋    | 22/39 [00:18<00:09,  1.75it/s]
Queries:  59%|█████▉    | 23/39 [00:18<00:07,  2.19it/s]
Queries:  62%|██████▏   | 24/39 [00:19<00:08,  1.78it/s]
Queries:  64%|██████▍   | 25/39 [00:19<00:06,  2.09it/s]
Queries:  67%|██████▋   | 26/39 [00:20<00:07,  1.65it/s]
Queries:  74%|███████▍  | 29/39 [00:22<00:05,  1.82it/s]
Queries:  77%|███████▋  | 30/39 [00:24<00:07,  1.19it/s]
Queries:  79%|███████▉  | 31/39 [00:25<00:08,  1.03s/it]
Queries:  82%|████████▏ | 32/39 [00:27<00:08,  1.15s/it]
Queries:  85%|████████▍ | 33/39 [00:28<00:07,  1.23s/it]
Queries:  87%|████████▋ | 34/39 [00:34<00:12,  2.48s/it]
Queries:  90%|████████▉ | 35/39 [00:36<00:09,  2.27s/it]
Queries:  92%|█████████▏| 36/39 [00:37<00:06,  2.02s/it]
Queries:  95%|█████████▍| 37/39 [00:43<00:06,  3.25s/it]
Queries:  97%|█████████▋| 38/39 [01:06<00:08,  8.96s/it]
Queries: 100%|██████████| 39/39 [01:14<00:00,  8.65s/it]
Queries: 100%|██████████| 39/39 [01:14<00:00,  1.91s/it]
2026-07-09 10:42:54,634 [INFO] root: Invoking gpt-5.4.
2026-07-09 10:42:54,634 [INFO] root: Invoking gemini-2.5-pro.
2026-07-09 10:42:54,635 [INFO] root: Invoking gpt-5.4.
2026-07-09 10:42:54,636 [INFO] root: Invoking gemini-2.5-pro.
2026-07-09 10:42:54,637 [INFO] root: Invoking gpt-5.4.
2026-07-09 10:42:54,637 [INFO] root: Invoking gemini-2.5-pro.
2026-07-09 10:42:54,638 [INFO] root: Invoking gpt-5.4.
2026-07-09 10:42:54,638 [INFO] root: Invoking gemini-2.5-pro.
2026-07-09 10:42:54,639 [INFO] root: Invoking gpt-5.4.
2026-07-09 10:42:54,640 [INFO] root: Invoking gemini-2.5-pro.
2026-07-09 10:42:54,641 [INFO] root: Invoking gpt-5.4.
2026-07-09 10:42:54,648 [INFO] root: Invoking gemini-2.5-pro.
2026-07-09 10:42:54,651 [INFO] root: Invoking gpt-5.4.
2026-07-09 10:42:54,653 [INFO] root: Invoking gemini-2.5-pro.
2026-07-09 10:42:54,656 [INFO] root: Invoking gpt-5.4.
2026-07-09 10:42:54,657 [INFO] root: Invoking gemini-2.5-pro.
2026-07-09 10:42:54,664 [INFO] root: Invoking gpt-5.4.
2026-07-09 10:42:54,665 [INFO] root: Invoking gemini-2.5-pro.
2026-07-09 10:42:54,680 [INFO] root: Invoking gpt-5.4.
2026-07-09 10:42:54,684 [INFO] root: Invoking gemini-2.5-pro.
2026-07-09 10:42:54,685 [INFO] root: Invoking gpt-5.4.
2026-07-09 10:42:54,698 [INFO] root: Invoking gemini-2.5-pro.
2026-07-09 10:42:54,702 [INFO] root: Invoking gpt-5.4.
2026-07-09 10:42:54,720 [INFO] root: Invoking gemini-2.5-pro.
2026-07-09 10:42:54,731 [INFO] root: Invoking gpt-5.4.
2026-07-09 10:42:54,734 [INFO] root: Invoking gemini-2.5-pro.
2026-07-09 10:42:54,746 [INFO] root: Invoking gpt-5.4.
2026-07-09 10:42:54,749 [INFO] root: Invoking gemini-2.5-pro.
2026-07-09 10:42:54,752 [INFO] root: Invoking gpt-5.4.
2026-07-09 10:42:54,765 [INFO] root: Invoking gemini-2.5-pro.
2026-07-09 10:42:54,771 [INFO] root: Invoking gpt-5.4.
2026-07-09 10:42:54,799 [INFO] root: Invoking gemini-2.5-pro.
2026-07-09 10:42:54,814 [INFO] root: Invoking gpt-5.4.
2026-07-09 10:42:54,821 [INFO] root: Invoking gemini-2.5-pro.
2026-07-09 10:42:54,824 [INFO] root: Invoking gpt-5.4.
2026-07-09 10:42:54,858 [INFO] root: Invoking gemini-2.5-pro.
2026-07-09 10:42:54,860 [INFO] root: Invoking gpt-5.4.
2026-07-09 10:42:54,862 [INFO] root: Invoking gemini-2.5-pro.
2026-07-09 10:42:54,879 [INFO] root: Invoking gpt-5.4.
2026-07-09 10:42:54,890 [INFO] root: Invoking gemini-2.5-pro.
2026-07-09 10:42:54,901 [INFO] root: Invoking gpt-5.4.
2026-07-09 10:42:54,928 [INFO] root: Invoking gemini-2.5-pro.
2026-07-09 10:42:54,956 [INFO] root: Invoking gpt-5.4.
2026-07-09 10:42:54,985 [INFO] root: Invoking gemini-2.5-pro.
2026-07-09 10:42:55,037 [INFO] root: Invoking gpt-5.4.
2026-07-09 10:42:55,048 [INFO] root: Invoking gemini-2.5-pro.
2026-07-09 10:42:55,057 [INFO] root: Invoking gpt-5.4.
2026-07-09 10:42:55,065 [INFO] root: Invoking gemini-2.5-pro.
2026-07-09 10:42:55,067 [INFO] root: Invoking gpt-5.4.
2026-07-09 10:42:55,094 [INFO] root: Invoking gemini-2.5-pro.
2026-07-09 10:42:55,118 [INFO] root: Invoking gpt-5.4.
2026-07-09 10:42:55,124 [INFO] root: Invoking gemini-2.5-pro.
2026-07-09 10:42:55,139 [INFO] root: Invoking gpt-5.4.
2026-07-09 10:42:55,159 [INFO] root: Invoking gemini-2.5-pro.
2026-07-09 10:42:55,167 [INFO] root: Invoking gpt-5.4.
2026-07-09 10:42:55,179 [INFO] root: Invoking gemini-2.5-pro.
2026-07-09 10:42:55,200 [INFO] root: Invoking gpt-5.4.
2026-07-09 10:42:55,202 [INFO] root: Invoking gemini-2.5-pro.
2026-07-09 10:42:55,210 [INFO] root: Invoking gpt-5.4.
2026-07-09 10:42:55,225 [INFO] root: Invoking gemini-2.5-pro.
2026-07-09 10:42:55,233 [INFO] root: Invoking gpt-5.4.
2026-07-09 10:42:55,236 [INFO] root: Invoking gemini-2.5-pro.
2026-07-09 10:42:55,240 [INFO] root: Invoking gpt-5.4.
2026-07-09 10:42:55,257 [INFO] root: Invoking gemini-2.5-pro.
2026-07-09 10:42:55,265 [INFO] root: Invoking gpt-5.4.
2026-07-09 10:42:55,269 [INFO] root: Invoking gemini-2.5-pro.
2026-07-09 10:42:55,271 [INFO] root: Invoking gpt-5.4.
