/home/harry/code/corporate-bias/.venv/lib/python3.12/site-packages/dvclive/monitor_system.py:11: FutureWarning: The pynvml package is deprecated. Please install nvidia-ml-py instead. If you did not install pynvml directly, please report this to the maintainers of the package that installed pynvml for you.
  from pynvml import (
2026-07-08 18:59:25,506 [INFO] root: Running assay=open-ended-characterisation model=glm-5.2 
2026-07-08 18:59:25,515 [INFO] root: Invoking glm-5.2.
2026-07-08 18:59:25,516 [INFO] root: Invoking glm-5.2.
2026-07-08 18:59:25,516 [INFO] root: Invoking glm-5.2.
2026-07-08 18:59:25,517 [INFO] root: Invoking glm-5.2.
2026-07-08 18:59:25,518 [INFO] root: Invoking glm-5.2.
2026-07-08 18:59:25,519 [INFO] root: Invoking glm-5.2.
2026-07-08 18:59:25,521 [INFO] root: Invoking glm-5.2.
2026-07-08 18:59:25,524 [INFO] root: Invoking glm-5.2.
2026-07-08 18:59:25,525 [INFO] root: Invoking glm-5.2.
2026-07-08 18:59:25,527 [INFO] root: Invoking glm-5.2.
2026-07-08 18:59:25,529 [INFO] root: Invoking glm-5.2.
2026-07-08 18:59:25,531 [INFO] root: Invoking glm-5.2.
2026-07-08 18:59:25,532 [INFO] root: Invoking glm-5.2.
2026-07-08 18:59:25,538 [INFO] root: Invoking glm-5.2.
2026-07-08 18:59:25,539 [INFO] root: Invoking glm-5.2.
2026-07-08 18:59:25,541 [INFO] root: Invoking glm-5.2.
2026-07-08 18:59:25,542 [INFO] root: Invoking glm-5.2.
2026-07-08 18:59:25,544 [INFO] root: Invoking glm-5.2.
2026-07-08 18:59:25,545 [INFO] root: Invoking glm-5.2.
2026-07-08 18:59:25,547 [INFO] root: Invoking glm-5.2.
2026-07-08 18:59:25,548 [INFO] root: Invoking glm-5.2.
2026-07-08 18:59:25,555 [INFO] root: Invoking glm-5.2.
2026-07-08 18:59:25,557 [INFO] root: Invoking glm-5.2.
2026-07-08 18:59:25,559 [INFO] root: Invoking glm-5.2.
2026-07-08 18:59:25,562 [INFO] root: Invoking glm-5.2.
2026-07-08 18:59:25,564 [INFO] root: Invoking glm-5.2.
2026-07-08 18:59:25,569 [INFO] root: Invoking glm-5.2.
2026-07-08 18:59:25,572 [INFO] root: Invoking glm-5.2.
2026-07-08 18:59:25,575 [INFO] root: Invoking glm-5.2.
2026-07-08 18:59:25,582 [INFO] root: Invoking glm-5.2.
2026-07-08 18:59:25,583 [INFO] root: Invoking glm-5.2.
2026-07-08 18:59:25,586 [INFO] root: Invoking glm-5.2.
2026-07-08 18:59:25,588 [INFO] root: Invoking glm-5.2.
2026-07-08 18:59:25,589 [INFO] root: Invoking glm-5.2.
