/home/harry/code/corporate-bias/.venv/lib/python3.12/site-packages/dvclive/monitor_system.py:11: FutureWarning: The pynvml package is deprecated. Please install nvidia-ml-py instead. If you did not install pynvml directly, please report this to the maintainers of the package that installed pynvml for you.
  from pynvml import (
2026-07-09 09:50:54,555 [INFO] root: Running assay=open-ended-characterisation model=gpt-5.4 
2026-07-09 09:50:54,563 [INFO] root: Invoking gpt-5.4.
2026-07-09 09:50:54,563 [INFO] root: Invoking gpt-5.4.
2026-07-09 09:50:54,564 [INFO] root: Invoking gpt-5.4.
2026-07-09 09:50:54,564 [INFO] root: Invoking gpt-5.4.
2026-07-09 09:50:54,565 [INFO] root: Invoking gpt-5.4.
2026-07-09 09:50:54,566 [INFO] root: Invoking gpt-5.4.
2026-07-09 09:50:54,567 [INFO] root: Invoking gpt-5.4.
2026-07-09 09:50:54,568 [INFO] root: Invoking gpt-5.4.
2026-07-09 09:50:54,569 [INFO] root: Invoking gpt-5.4.
2026-07-09 09:50:54,572 [INFO] root: Invoking gpt-5.4.
2026-07-09 09:50:54,573 [INFO] root: Invoking gpt-5.4.
2026-07-09 09:50:54,575 [INFO] root: Invoking gpt-5.4.
2026-07-09 09:50:54,577 [INFO] root: Invoking gpt-5.4.
2026-07-09 09:50:54,578 [INFO] root: Invoking gpt-5.4.
2026-07-09 09:50:54,580 [INFO] root: Invoking gpt-5.4.
2026-07-09 09:50:54,581 [INFO] root: Invoking gpt-5.4.
2026-07-09 09:50:54,582 [INFO] root: Invoking gpt-5.4.
2026-07-09 09:50:54,583 [INFO] root: Invoking gpt-5.4.
2026-07-09 09:50:54,585 [INFO] root: Invoking gpt-5.4.
2026-07-09 09:50:54,592 [INFO] root: Invoking gpt-5.4.
2026-07-09 09:50:54,596 [INFO] root: Invoking gpt-5.4.
2026-07-09 09:50:54,600 [INFO] root: Invoking gpt-5.4.
2026-07-09 09:50:54,603 [INFO] root: Invoking gpt-5.4.
2026-07-09 09:50:54,606 [INFO] root: Invoking gpt-5.4.
2026-07-09 09:50:54,607 [INFO] root: Invoking gpt-5.4.
2026-07-09 09:50:54,608 [INFO] root: Invoking gpt-5.4.
2026-07-09 09:50:54,613 [INFO] root: Invoking gpt-5.4.
2026-07-09 09:50:54,617 [INFO] root: Invoking gpt-5.4.
2026-07-09 09:50:54,619 [INFO] root: Invoking gpt-5.4.
2026-07-09 09:50:54,620 [INFO] root: Invoking gpt-5.4.
2026-07-09 09:50:54,623 [INFO] root: Invoking gpt-5.4.
2026-07-09 09:50:54,624 [INFO] root: Invoking gpt-5.4.
2026-07-09 09:50:54,629 [INFO] root: Invoking gpt-5.4.
2026-07-09 09:50:54,630 [INFO] root: Invoking gpt-5.4.
2026-07-09 09:50:54,631 [INFO] root: Invoking gpt-5.4.
2026-07-09 09:50:54,632 [INFO] root: Invoking gpt-5.4.
2026-07-09 09:50:54,634 [INFO] root: Invoking gpt-5.4.
2026-07-09 09:50:54,635 [INFO] root: Invoking gpt-5.4.
2026-07-09 09:50:54,638 [INFO] root: Invoking gpt-5.4.
Queries:   0%|          | 0/39 [00:00<?, ?it/s]2026-07-09 09:50:55,875 [INFO] httpx: HTTP Request: POST https://openrouter.ai/api/v1/chat/completions "HTTP/1.1 200 OK"
2026-07-09 09:50:55,932 [INFO] httpx: HTTP Request: POST https://openrouter.ai/api/v1/chat/completions "HTTP/1.1 200 OK"
2026-07-09 09:50:55,957 [INFO] httpx: HTTP Request: POST https://openrouter.ai/api/v1/chat/completions "HTTP/1.1 200 OK"
2026-07-09 09:50:55,972 [INFO] httpx: HTTP Request: POST https://openrouter.ai/api/v1/chat/completions "HTTP/1.1 200 OK"
2026-07-09 09:50:55,975 [INFO] httpx: HTTP Request: POST https://openrouter.ai/api/v1/chat/completions "HTTP/1.1 200 OK"
2026-07-09 09:50:56,011 [INFO] httpx: HTTP Request: POST https://openrouter.ai/api/v1/chat/completions "HTTP/1.1 200 OK"
2026-07-09 09:50:56,063 [INFO] httpx: HTTP Request: POST https://openrouter.ai/api/v1/chat/completions "HTTP/1.1 200 OK"
2026-07-09 09:50:56,085 [INFO] httpx: HTTP Request: POST https://openrouter.ai/api/v1/chat/completions "HTTP/1.1 200 OK"
2026-07-09 09:50:56,094 [INFO] httpx: HTTP Request: POST https://openrouter.ai/api/v1/chat/completions "HTTP/1.1 200 OK"
2026-07-09 09:50:56,096 [INFO] httpx: HTTP Request: POST https://openrouter.ai/api/v1/chat/completions "HTTP/1.1 200 OK"
2026-07-09 09:50:56,117 [INFO] httpx: HTTP Request: POST https://openrouter.ai/api/v1/chat/completions "HTTP/1.1 200 OK"
2026-07-09 09:50:56,125 [INFO] httpx: HTTP Request: POST https://openrouter.ai/api/v1/chat/completions "HTTP/1.1 200 OK"
2026-07-09 09:50:56,130 [INFO] httpx: HTTP Request: POST https://openrouter.ai/api/v1/chat/completions "HTTP/1.1 200 OK"
2026-07-09 09:50:56,135 [INFO] httpx: HTTP Request: POST https://openrouter.ai/api/v1/chat/completions "HTTP/1.1 200 OK"
2026-07-09 09:50:56,138 [INFO] httpx: HTTP Request: POST https://openrouter.ai/api/v1/chat/completions "HTTP/1.1 200 OK"
2026-07-09 09:50:56,145 [INFO] httpx: HTTP Request: POST https://openrouter.ai/api/v1/chat/completions "HTTP/1.1 200 OK"
2026-07-09 09:50:56,147 [INFO] httpx: HTTP Request: POST https://openrouter.ai/api/v1/chat/completions "HTTP/1.1 200 OK"
2026-07-09 09:50:56,152 [INFO] httpx: HTTP Request: POST https://openrouter.ai/api/v1/chat/completions "HTTP/1.1 200 OK"
2026-07-09 09:50:56,154 [INFO] httpx: HTTP Request: POST https://openrouter.ai/api/v1/chat/completions "HTTP/1.1 200 OK"
2026-07-09 09:50:56,156 [INFO] httpx: HTTP Request: POST https://openrouter.ai/api/v1/chat/completions "HTTP/1.1 200 OK"
