/home/harry/code/corporate-bias/.venv/lib/python3.12/site-packages/dvclive/monitor_system.py:11: FutureWarning: The pynvml package is deprecated. Please install nvidia-ml-py instead. If you did not install pynvml directly, please report this to the maintainers of the package that installed pynvml for you.
  from pynvml import (
2026-07-08 18:59:19,704 [INFO] root: Running assay=open-ended-characterisation model=mistral-small-2603 
2026-07-08 18:59:19,713 [INFO] root: Invoking mistral-small-2603.
2026-07-08 18:59:19,713 [INFO] root: Invoking mistral-small-2603.
2026-07-08 18:59:19,714 [INFO] root: Invoking mistral-small-2603.
2026-07-08 18:59:19,715 [INFO] root: Invoking mistral-small-2603.
2026-07-08 18:59:19,716 [INFO] root: Invoking mistral-small-2603.
2026-07-08 18:59:19,716 [INFO] root: Invoking mistral-small-2603.
2026-07-08 18:59:19,718 [INFO] root: Invoking mistral-small-2603.
2026-07-08 18:59:19,720 [INFO] root: Invoking mistral-small-2603.
2026-07-08 18:59:19,721 [INFO] root: Invoking mistral-small-2603.
2026-07-08 18:59:19,722 [INFO] root: Invoking mistral-small-2603.
2026-07-08 18:59:19,723 [INFO] root: Invoking mistral-small-2603.
2026-07-08 18:59:19,725 [INFO] root: Invoking mistral-small-2603.
2026-07-08 18:59:19,728 [INFO] root: Invoking mistral-small-2603.
2026-07-08 18:59:19,729 [INFO] root: Invoking mistral-small-2603.
2026-07-08 18:59:19,732 [INFO] root: Invoking mistral-small-2603.
2026-07-08 18:59:19,735 [INFO] root: Invoking mistral-small-2603.
2026-07-08 18:59:19,737 [INFO] root: Invoking mistral-small-2603.
2026-07-08 18:59:19,738 [INFO] root: Invoking mistral-small-2603.
2026-07-08 18:59:19,739 [INFO] root: Invoking mistral-small-2603.
2026-07-08 18:59:19,740 [INFO] root: Invoking mistral-small-2603.
2026-07-08 18:59:19,742 [INFO] root: Invoking mistral-small-2603.
2026-07-08 18:59:19,743 [INFO] root: Invoking mistral-small-2603.
2026-07-08 18:59:19,746 [INFO] root: Invoking mistral-small-2603.
2026-07-08 18:59:19,750 [INFO] root: Invoking mistral-small-2603.
2026-07-08 18:59:19,761 [INFO] root: Invoking mistral-small-2603.
2026-07-08 18:59:19,763 [INFO] root: Invoking mistral-small-2603.
2026-07-08 18:59:19,765 [INFO] root: Invoking mistral-small-2603.
2026-07-08 18:59:19,767 [INFO] root: Invoking mistral-small-2603.
2026-07-08 18:59:19,773 [INFO] root: Invoking mistral-small-2603.
2026-07-08 18:59:19,775 [INFO] root: Invoking mistral-small-2603.
2026-07-08 18:59:19,778 [INFO] root: Invoking mistral-small-2603.
