/home/harry/code/corporate-bias/.venv/lib/python3.12/site-packages/dvclive/monitor_system.py:11: FutureWarning: The pynvml package is deprecated. Please install nvidia-ml-py instead. If you did not install pynvml directly, please report this to the maintainers of the package that installed pynvml for you.
  from pynvml import (
2026-07-08 18:59:22,654 [INFO] root: Running assay=open-ended-characterisation model=qwen3.5-flash-02-23 
2026-07-08 18:59:22,664 [INFO] root: Invoking qwen3.5-flash-02-23.
2026-07-08 18:59:22,665 [INFO] root: Invoking qwen3.5-flash-02-23.
2026-07-08 18:59:22,665 [INFO] root: Invoking qwen3.5-flash-02-23.
2026-07-08 18:59:22,666 [INFO] root: Invoking qwen3.5-flash-02-23.
2026-07-08 18:59:22,667 [INFO] root: Invoking qwen3.5-flash-02-23.
2026-07-08 18:59:22,668 [INFO] root: Invoking qwen3.5-flash-02-23.
2026-07-08 18:59:22,668 [INFO] root: Invoking qwen3.5-flash-02-23.
2026-07-08 18:59:22,670 [INFO] root: Invoking qwen3.5-flash-02-23.
2026-07-08 18:59:22,671 [INFO] root: Invoking qwen3.5-flash-02-23.
2026-07-08 18:59:22,674 [INFO] root: Invoking qwen3.5-flash-02-23.
2026-07-08 18:59:22,675 [INFO] root: Invoking qwen3.5-flash-02-23.
2026-07-08 18:59:22,677 [INFO] root: Invoking qwen3.5-flash-02-23.
2026-07-08 18:59:22,679 [INFO] root: Invoking qwen3.5-flash-02-23.
2026-07-08 18:59:22,682 [INFO] root: Invoking qwen3.5-flash-02-23.
2026-07-08 18:59:22,684 [INFO] root: Invoking qwen3.5-flash-02-23.
2026-07-08 18:59:22,687 [INFO] root: Invoking qwen3.5-flash-02-23.
2026-07-08 18:59:22,688 [INFO] root: Invoking qwen3.5-flash-02-23.
2026-07-08 18:59:22,692 [INFO] root: Invoking qwen3.5-flash-02-23.
2026-07-08 18:59:22,694 [INFO] root: Invoking qwen3.5-flash-02-23.
2026-07-08 18:59:22,696 [INFO] root: Invoking qwen3.5-flash-02-23.
2026-07-08 18:59:22,699 [INFO] root: Invoking qwen3.5-flash-02-23.
2026-07-08 18:59:22,701 [INFO] root: Invoking qwen3.5-flash-02-23.
