/home/harry/code/corporate-bias/.venv/lib/python3.12/site-packages/dvclive/monitor_system.py:11: FutureWarning: The pynvml package is deprecated. Please install nvidia-ml-py instead. If you did not install pynvml directly, please report this to the maintainers of the package that installed pynvml for you.
  from pynvml import (
2026-07-09 10:13:31,398 [INFO] root: Running assay=pairwise-comparative-preference model=claude-opus-4.6 
2026-07-09 10:13:31,417 [INFO] root: Invoking claude-opus-4.6.
2026-07-09 10:13:31,417 [INFO] root: Invoking claude-opus-4.6.
2026-07-09 10:13:31,418 [INFO] root: Invoking claude-opus-4.6.
2026-07-09 10:13:31,418 [INFO] root: Invoking claude-opus-4.6.
2026-07-09 10:13:31,420 [INFO] root: Invoking claude-opus-4.6.
2026-07-09 10:13:31,422 [INFO] root: Invoking claude-opus-4.6.
2026-07-09 10:13:31,424 [INFO] root: Invoking claude-opus-4.6.
2026-07-09 10:13:31,426 [INFO] root: Invoking claude-opus-4.6.
2026-07-09 10:13:31,427 [INFO] root: Invoking claude-opus-4.6.
2026-07-09 10:13:31,428 [INFO] root: Invoking claude-opus-4.6.
2026-07-09 10:13:31,430 [INFO] root: Invoking claude-opus-4.6.
2026-07-09 10:13:31,431 [INFO] root: Invoking claude-opus-4.6.
2026-07-09 10:13:31,433 [INFO] root: Invoking claude-opus-4.6.
2026-07-09 10:13:31,434 [INFO] root: Invoking claude-opus-4.6.
2026-07-09 10:13:31,442 [INFO] root: Invoking claude-opus-4.6.
2026-07-09 10:13:31,445 [INFO] root: Invoking claude-opus-4.6.
2026-07-09 10:13:31,451 [INFO] root: Invoking claude-opus-4.6.
2026-07-09 10:13:31,456 [INFO] root: Invoking claude-opus-4.6.
2026-07-09 10:13:31,458 [INFO] root: Invoking claude-opus-4.6.
2026-07-09 10:13:31,459 [INFO] root: Invoking claude-opus-4.6.
2026-07-09 10:13:31,463 [INFO] root: Invoking claude-opus-4.6.
2026-07-09 10:13:31,465 [INFO] root: Invoking claude-opus-4.6.
2026-07-09 10:13:31,468 [INFO] root: Invoking claude-opus-4.6.
2026-07-09 10:13:31,471 [INFO] root: Invoking claude-opus-4.6.
2026-07-09 10:13:31,473 [INFO] root: Invoking claude-opus-4.6.
2026-07-09 10:13:31,479 [INFO] root: Invoking claude-opus-4.6.
2026-07-09 10:13:31,481 [INFO] root: Invoking claude-opus-4.6.
2026-07-09 10:13:31,482 [INFO] root: Invoking claude-opus-4.6.
2026-07-09 10:13:31,485 [INFO] root: Invoking claude-opus-4.6.
2026-07-09 10:13:31,487 [INFO] root: Invoking claude-opus-4.6.
2026-07-09 10:13:31,489 [INFO] root: Invoking claude-opus-4.6.
2026-07-09 10:13:31,492 [INFO] root: Invoking claude-opus-4.6.
2026-07-09 10:13:31,494 [INFO] root: Invoking claude-opus-4.6.
2026-07-09 10:13:31,495 [INFO] root: Invoking claude-opus-4.6.
2026-07-09 10:13:31,496 [INFO] root: Invoking claude-opus-4.6.
2026-07-09 10:13:31,498 [INFO] root: Invoking claude-opus-4.6.
2026-07-09 10:13:31,500 [INFO] root: Invoking claude-opus-4.6.
2026-07-09 10:13:31,502 [INFO] root: Invoking claude-opus-4.6.
2026-07-09 10:13:31,504 [INFO] root: Invoking claude-opus-4.6.
2026-07-09 10:13:31,505 [INFO] root: Invoking claude-opus-4.6.
2026-07-09 10:13:31,506 [INFO] root: Invoking claude-opus-4.6.
2026-07-09 10:13:31,507 [INFO] root: Invoking claude-opus-4.6.
2026-07-09 10:13:31,507 [INFO] root: Invoking claude-opus-4.6.
2026-07-09 10:13:31,508 [INFO] root: Invoking claude-opus-4.6.
2026-07-09 10:13:31,509 [INFO] root: Invoking claude-opus-4.6.
2026-07-09 10:13:31,510 [INFO] root: Invoking claude-opus-4.6.
2026-07-09 10:13:31,510 [INFO] root: Invoking claude-opus-4.6.
2026-07-09 10:13:31,511 [INFO] root: Invoking claude-opus-4.6.
2026-07-09 10:13:31,512 [INFO] root: Invoking claude-opus-4.6.
2026-07-09 10:13:31,512 [INFO] root: Invoking claude-opus-4.6.
2026-07-09 10:13:31,513 [INFO] root: Invoking claude-opus-4.6.
2026-07-09 10:13:31,513 [INFO] root: Invoking claude-opus-4.6.
2026-07-09 10:13:31,514 [INFO] root: Invoking claude-opus-4.6.
2026-07-09 10:13:31,515 [INFO] root: Invoking claude-opus-4.6.
2026-07-09 10:13:31,518 [INFO] root: Invoking claude-opus-4.6.
2026-07-09 10:13:31,520 [INFO] root: Invoking claude-opus-4.6.
2026-07-09 10:13:31,526 [INFO] root: Invoking claude-opus-4.6.
2026-07-09 10:13:31,534 [INFO] root: Invoking claude-opus-4.6.
2026-07-09 10:13:31,538 [INFO] root: Invoking claude-opus-4.6.
2026-07-09 10:13:31,543 [INFO] root: Invoking claude-opus-4.6.
2026-07-09 10:13:31,545 [INFO] root: Invoking claude-opus-4.6.
2026-07-09 10:13:31,551 [INFO] root: Invoking claude-opus-4.6.
2026-07-09 10:13:31,561 [INFO] root: Invoking claude-opus-4.6.
2026-07-09 10:13:31,567 [INFO] root: Invoking claude-opus-4.6.
2026-07-09 10:13:31,578 [INFO] root: Invoking claude-opus-4.6.
2026-07-09 10:13:31,591 [INFO] root: Invoking claude-opus-4.6.
2026-07-09 10:13:31,599 [INFO] root: Invoking claude-opus-4.6.
2026-07-09 10:13:31,602 [INFO] root: Invoking claude-opus-4.6.
2026-07-09 10:13:31,605 [INFO] root: Invoking claude-opus-4.6.
2026-07-09 10:13:31,609 [INFO] root: Invoking claude-opus-4.6.
2026-07-09 10:13:31,619 [INFO] root: Invoking claude-opus-4.6.
2026-07-09 10:13:31,622 [INFO] root: Invoking claude-opus-4.6.
2026-07-09 10:13:31,626 [INFO] root: Invoking claude-opus-4.6.
2026-07-09 10:13:31,632 [INFO] root: Invoking claude-opus-4.6.
2026-07-09 10:13:31,634 [INFO] root: Invoking claude-opus-4.6.
2026-07-09 10:13:31,637 [INFO] root: Invoking claude-opus-4.6.
2026-07-09 10:13:31,639 [INFO] root: Invoking claude-opus-4.6.
2026-07-09 10:13:31,641 [INFO] root: Invoking claude-opus-4.6.
2026-07-09 10:13:31,642 [INFO] root: Invoking claude-opus-4.6.
2026-07-09 10:13:31,646 [INFO] root: Invoking claude-opus-4.6.
2026-07-09 10:13:31,650 [INFO] root: Invoking claude-opus-4.6.
2026-07-09 10:13:31,654 [INFO] root: Invoking claude-opus-4.6.
2026-07-09 10:13:31,657 [INFO] root: Invoking claude-opus-4.6.
2026-07-09 10:13:31,659 [INFO] root: Invoking claude-opus-4.6.
2026-07-09 10:13:31,662 [INFO] root: Invoking claude-opus-4.6.
2026-07-09 10:13:31,666 [INFO] root: Invoking claude-opus-4.6.
2026-07-09 10:13:31,670 [INFO] root: Invoking claude-opus-4.6.
2026-07-09 10:13:31,673 [INFO] root: Invoking claude-opus-4.6.
2026-07-09 10:13:31,676 [INFO] root: Invoking claude-opus-4.6.
2026-07-09 10:13:31,679 [INFO] root: Invoking claude-opus-4.6.
2026-07-09 10:13:31,683 [INFO] root: Invoking claude-opus-4.6.
2026-07-09 10:13:31,686 [INFO] root: Invoking claude-opus-4.6.
2026-07-09 10:13:31,690 [INFO] root: Invoking claude-opus-4.6.
2026-07-09 10:13:31,692 [INFO] root: Invoking claude-opus-4.6.
2026-07-09 10:13:31,693 [INFO] root: Invoking claude-opus-4.6.
2026-07-09 10:13:31,695 [INFO] root: Invoking claude-opus-4.6.
2026-07-09 10:13:31,699 [INFO] root: Invoking claude-opus-4.6.
2026-07-09 10:13:31,701 [INFO] root: Invoking claude-opus-4.6.
2026-07-09 10:13:31,704 [INFO] root: Invoking claude-opus-4.6.
2026-07-09 10:13:31,708 [INFO] root: Invoking claude-opus-4.6.
2026-07-09 10:13:31,712 [INFO] root: Invoking claude-opus-4.6.
2026-07-09 10:13:31,716 [INFO] root: Invoking claude-opus-4.6.
2026-07-09 10:13:31,718 [INFO] root: Invoking claude-opus-4.6.
2026-07-09 10:13:31,719 [INFO] root: Invoking claude-opus-4.6.
2026-07-09 10:13:31,721 [INFO] root: Invoking claude-opus-4.6.
2026-07-09 10:13:31,724 [INFO] root: Invoking claude-opus-4.6.
2026-07-09 10:13:31,726 [INFO] root: Invoking claude-opus-4.6.
2026-07-09 10:13:31,729 [INFO] root: Invoking claude-opus-4.6.
2026-07-09 10:13:31,735 [INFO] root: Invoking claude-opus-4.6.
2026-07-09 10:13:31,737 [INFO] root: Invoking claude-opus-4.6.
2026-07-09 10:13:31,741 [INFO] root: Invoking claude-opus-4.6.
2026-07-09 10:13:31,742 [INFO] root: Invoking claude-opus-4.6.
2026-07-09 10:13:31,745 [INFO] root: Invoking claude-opus-4.6.
2026-07-09 10:13:31,748 [INFO] root: Invoking claude-opus-4.6.
2026-07-09 10:13:31,750 [INFO] root: Invoking claude-opus-4.6.
2026-07-09 10:13:31,752 [INFO] root: Invoking claude-opus-4.6.
2026-07-09 10:13:31,757 [INFO] root: Invoking claude-opus-4.6.
2026-07-09 10:13:31,762 [INFO] root: Invoking claude-opus-4.6.
2026-07-09 10:13:31,764 [INFO] root: Invoking claude-opus-4.6.
2026-07-09 10:13:31,767 [INFO] root: Invoking claude-opus-4.6.
2026-07-09 10:13:31,770 [INFO] root: Invoking claude-opus-4.6.
2026-07-09 10:13:31,771 [INFO] root: Invoking claude-opus-4.6.
2026-07-09 10:13:31,775 [INFO] root: Invoking claude-opus-4.6.
2026-07-09 10:13:31,777 [INFO] root: Invoking claude-opus-4.6.
2026-07-09 10:13:31,781 [INFO] root: Invoking claude-opus-4.6.
Queries:   0%|          | 0/288 [00:00<?, ?it/s]2026-07-09 10:13:31,785 [INFO] root: Invoking claude-opus-4.6.
2026-07-09 10:13:31,787 [INFO] root: Invoking claude-opus-4.6.
2026-07-09 10:13:31,791 [INFO] root: Invoking claude-opus-4.6.
2026-07-09 10:13:34,090 [INFO] httpx: HTTP Request: POST https://openrouter.ai/api/v1/chat/completions "HTTP/1.1 200 OK"
2026-07-09 10:13:34,220 [INFO] httpx: HTTP Request: POST https://openrouter.ai/api/v1/chat/completions "HTTP/1.1 200 OK"
2026-07-09 10:13:34,265 [INFO] httpx: HTTP Request: POST https://openrouter.ai/api/v1/chat/completions "HTTP/1.1 200 OK"
2026-07-09 10:13:34,286 [INFO] httpx: HTTP Request: POST https://openrouter.ai/api/v1/chat/completions "HTTP/1.1 200 OK"
2026-07-09 10:13:34,287 [INFO] httpx: HTTP Request: POST https://openrouter.ai/api/v1/chat/completions "HTTP/1.1 200 OK"
2026-07-09 10:13:34,381 [INFO] httpx: HTTP Request: POST https://openrouter.ai/api/v1/chat/completions "HTTP/1.1 200 OK"
2026-07-09 10:13:34,385 [INFO] httpx: HTTP Request: POST https://openrouter.ai/api/v1/chat/completions "HTTP/1.1 200 OK"
2026-07-09 10:13:34,403 [INFO] httpx: HTTP Request: POST https://openrouter.ai/api/v1/chat/completions "HTTP/1.1 200 OK"
2026-07-09 10:13:34,409 [INFO] httpx: HTTP Request: POST https://openrouter.ai/api/v1/chat/completions "HTTP/1.1 200 OK"
2026-07-09 10:13:34,417 [INFO] httpx: HTTP Request: POST https://openrouter.ai/api/v1/chat/completions "HTTP/1.1 200 OK"
2026-07-09 10:13:34,419 [INFO] httpx: HTTP Request: POST https://openrouter.ai/api/v1/chat/completions "HTTP/1.1 200 OK"
2026-07-09 10:13:34,434 [INFO] httpx: HTTP Request: POST https://openrouter.ai/api/v1/chat/completions "HTTP/1.1 200 OK"
2026-07-09 10:13:34,445 [INFO] httpx: HTTP Request: POST https://openrouter.ai/api/v1/chat/completions "HTTP/1.1 200 OK"
2026-07-09 10:13:34,451 [INFO] httpx: HTTP Request: POST https://openrouter.ai/api/v1/chat/completions "HTTP/1.1 200 OK"
2026-07-09 10:13:34,471 [INFO] httpx: HTTP Request: POST https://openrouter.ai/api/v1/chat/completions "HTTP/1.1 200 OK"
2026-07-09 10:13:34,485 [INFO] httpx: HTTP Request: POST https://openrouter.ai/api/v1/chat/completions "HTTP/1.1 200 OK"
2026-07-09 10:13:34,496 [INFO] httpx: HTTP Request: POST https://openrouter.ai/api/v1/chat/completions "HTTP/1.1 200 OK"
2026-07-09 10:13:34,513 [INFO] httpx: HTTP Request: POST https://openrouter.ai/api/v1/chat/completions "HTTP/1.1 200 OK"
2026-07-09 10:13:34,531 [INFO] httpx: HTTP Request: POST https://openrouter.ai/api/v1/chat/completions "HTTP/1.1 200 OK"
2026-07-09 10:13:34,531 [INFO] httpx: HTTP Request: POST https://openrouter.ai/api/v1/chat/completions "HTTP/1.1 200 OK"
2026-07-09 10:13:34,537 [INFO] root: Invoking claude-opus-4.6.
Queries:   0%|          | 1/288 [00:02<13:06,  2.74s/it]2026-07-09 10:13:34,551 [INFO] root: Invoking claude-opus-4.6.
2026-07-09 10:13:34,564 [INFO] root: Invoking claude-opus-4.6.
2026-07-09 10:13:34,565 [INFO] httpx: HTTP Request: POST https://openrouter.ai/api/v1/chat/completions "HTTP/1.1 200 OK"
2026-07-09 10:13:34,567 [INFO] httpx: HTTP Request: POST https://openrouter.ai/api/v1/chat/completions "HTTP/1.1 200 OK"
2026-07-09 10:13:34,585 [INFO] root: Invoking claude-opus-4.6.
2026-07-09 10:13:34,596 [INFO] httpx: HTTP Request: POST https://openrouter.ai/api/v1/chat/completions "HTTP/1.1 200 OK"
2026-07-09 10:13:34,601 [INFO] httpx: HTTP Request: POST https://openrouter.ai/api/v1/chat/completions "HTTP/1.1 200 OK"
2026-07-09 10:13:34,602 [INFO] httpx: HTTP Request: POST https://openrouter.ai/api/v1/chat/completions "HTTP/1.1 200 OK"
2026-07-09 10:13:34,649 [INFO] root: Invoking claude-opus-4.6.
Queries:   2%|▏         | 5/288 [00:02<02:02,  2.31it/s]2026-07-09 10:13:34,658 [INFO] httpx: HTTP Request: POST https://openrouter.ai/api/v1/chat/completions "HTTP/1.1 200 OK"
2026-07-09 10:13:34,662 [INFO] httpx: HTTP Request: POST https://openrouter.ai/api/v1/chat/completions "HTTP/1.1 200 OK"
2026-07-09 10:13:34,669 [INFO] root: Invoking claude-opus-4.6.
2026-07-09 10:13:34,669 [INFO] httpx: HTTP Request: POST https://openrouter.ai/api/v1/chat/completions "HTTP/1.1 200 OK"
2026-07-09 10:13:34,675 [INFO] httpx: HTTP Request: POST https://openrouter.ai/api/v1/chat/completions "HTTP/1.1 200 OK"
2026-07-09 10:13:34,686 [INFO] root: Invoking claude-opus-4.6.
2026-07-09 10:13:34,700 [INFO] httpx: HTTP Request: POST https://openrouter.ai/api/v1/chat/completions "HTTP/1.1 200 OK"
2026-07-09 10:13:34,716 [INFO] httpx: HTTP Request: POST https://openrouter.ai/api/v1/chat/completions "HTTP/1.1 200 OK"
2026-07-09 10:13:34,719 [INFO] httpx: HTTP Request: POST https://openrouter.ai/api/v1/chat/completions "HTTP/1.1 200 OK"
2026-07-09 10:13:34,729 [INFO] httpx: HTTP Request: POST https://openrouter.ai/api/v1/chat/completions "HTTP/1.1 200 OK"
2026-07-09 10:13:34,733 [INFO] httpx: HTTP Request: POST https://openrouter.ai/api/v1/chat/completions "HTTP/1.1 200 OK"
2026-07-09 10:13:34,734 [INFO] httpx: HTTP Request: POST https://openrouter.ai/api/v1/chat/completions "HTTP/1.1 200 OK"
2026-07-09 10:13:34,739 [INFO] httpx: HTTP Request: POST https://openrouter.ai/api/v1/chat/completions "HTTP/1.1 200 OK"
2026-07-09 10:13:34,752 [INFO] httpx: HTTP Request: POST https://openrouter.ai/api/v1/chat/completions "HTTP/1.1 200 OK"
2026-07-09 10:13:34,753 [INFO] root: Invoking claude-opus-4.6.
Queries:   3%|▎         | 8/288 [00:02<01:07,  4.12it/s]2026-07-09 10:13:34,755 [INFO] httpx: HTTP Request: POST https://openrouter.ai/api/v1/chat/completions "HTTP/1.1 200 OK"
2026-07-09 10:13:34,764 [INFO] httpx: HTTP Request: POST https://openrouter.ai/api/v1/chat/completions "HTTP/1.1 200 OK"
2026-07-09 10:13:34,769 [INFO] httpx: HTTP Request: POST https://openrouter.ai/api/v1/chat/completions "HTTP/1.1 200 OK"
2026-07-09 10:13:34,773 [INFO] root: Invoking claude-opus-4.6.
2026-07-09 10:13:34,777 [INFO] httpx: HTTP Request: POST https://openrouter.ai/api/v1/chat/completions "HTTP/1.1 200 OK"
2026-07-09 10:13:34,778 [INFO] httpx: HTTP Request: POST https://openrouter.ai/api/v1/chat/completions "HTTP/1.1 200 OK"
2026-07-09 10:13:34,783 [INFO] root: Invoking claude-opus-4.6.
2026-07-09 10:13:34,796 [INFO] httpx: HTTP Request: POST https://openrouter.ai/api/v1/chat/completions "HTTP/1.1 200 OK"
2026-07-09 10:13:34,801 [INFO] httpx: HTTP Request: POST https://openrouter.ai/api/v1/chat/completions "HTTP/1.1 200 OK"
2026-07-09 10:13:34,815 [INFO] httpx: HTTP Request: POST https://openrouter.ai/api/v1/chat/completions "HTTP/1.1 200 OK"
2026-07-09 10:13:34,819 [INFO] httpx: HTTP Request: POST https://openrouter.ai/api/v1/chat/completions "HTTP/1.1 200 OK"
2026-07-09 10:13:34,820 [INFO] root: Invoking claude-opus-4.6.
2026-07-09 10:13:34,822 [INFO] httpx: HTTP Request: POST https://openrouter.ai/api/v1/chat/completions "HTTP/1.1 200 OK"
2026-07-09 10:13:34,823 [INFO] httpx: HTTP Request: POST https://openrouter.ai/api/v1/chat/completions "HTTP/1.1 200 OK"
2026-07-09 10:13:34,823 [INFO] httpx: HTTP Request: POST https://openrouter.ai/api/v1/chat/completions "HTTP/1.1 200 OK"
2026-07-09 10:13:34,834 [INFO] root: Invoking claude-opus-4.6.
2026-07-09 10:13:34,843 [INFO] httpx: HTTP Request: POST https://openrouter.ai/api/v1/chat/completions "HTTP/1.1 200 OK"
