/home/harry/code/corporate-bias/.venv/lib/python3.12/site-packages/dvclive/monitor_system.py:11: FutureWarning: The pynvml package is deprecated. Please install nvidia-ml-py instead. If you did not install pynvml directly, please report this to the maintainers of the package that installed pynvml for you.
  from pynvml import (
2026-06-26 13:38:16,532 [INFO] root: Running assay=pairwise-comparative-preference model=claude-sonnet-4.6 
2026-06-26 13:38:16,545 [INFO] root: Invoking claude-sonnet-4.6.
2026-06-26 13:38:16,545 [INFO] root: Invoking claude-sonnet-4.6.
2026-06-26 13:38:16,546 [INFO] root: Invoking claude-sonnet-4.6.
2026-06-26 13:38:16,546 [INFO] root: Invoking claude-sonnet-4.6.
2026-06-26 13:38:16,547 [INFO] root: Invoking claude-sonnet-4.6.
2026-06-26 13:38:16,548 [INFO] root: Invoking claude-sonnet-4.6.
2026-06-26 13:38:16,550 [INFO] root: Invoking claude-sonnet-4.6.
2026-06-26 13:38:16,550 [INFO] root: Invoking claude-sonnet-4.6.
2026-06-26 13:38:16,554 [INFO] root: Invoking claude-sonnet-4.6.
2026-06-26 13:38:16,556 [INFO] root: Invoking claude-sonnet-4.6.
2026-06-26 13:38:16,556 [INFO] root: Invoking claude-sonnet-4.6.
2026-06-26 13:38:16,557 [INFO] root: Invoking claude-sonnet-4.6.
2026-06-26 13:38:16,558 [INFO] root: Invoking claude-sonnet-4.6.
2026-06-26 13:38:16,559 [INFO] root: Invoking claude-sonnet-4.6.
2026-06-26 13:38:16,561 [INFO] root: Invoking claude-sonnet-4.6.
2026-06-26 13:38:16,563 [INFO] root: Invoking claude-sonnet-4.6.
2026-06-26 13:38:16,564 [INFO] root: Invoking claude-sonnet-4.6.
Queries:   0%|          | 0/18 [00:00<?, ?it/s]2026-06-26 13:38:16,567 [INFO] root: Invoking claude-sonnet-4.6.
Queries: 100%|██████████| 18/18 [00:00<00:00, 480.31it/s]
2026-06-26 13:38:16,625 [INFO] root: Saved assay results to /home/harry/code/corporate-bias/data/assays/pairwise-comparative-preference/claude-sonnet-4.6.parquet.
