/home/harry/code/corporate-bias/.venv/lib/python3.12/site-packages/dvclive/monitor_system.py:11: FutureWarning: The pynvml package is deprecated. Please install nvidia-ml-py instead. If you did not install pynvml directly, please report this to the maintainers of the package that installed pynvml for you.
  from pynvml import (
2026-06-27 11:18:48,104 [INFO] root: Running assay=pairwise-comparative-preference model=gemini-2.5-pro 
2026-06-27 11:18:48,118 [INFO] root: Invoking gemini-2.5-pro.
2026-06-27 11:18:48,119 [INFO] root: Invoking gemini-2.5-pro.
2026-06-27 11:18:48,119 [INFO] root: Invoking gemini-2.5-pro.
2026-06-27 11:18:48,120 [INFO] root: Invoking gemini-2.5-pro.
2026-06-27 11:18:48,121 [INFO] root: Invoking gemini-2.5-pro.
2026-06-27 11:18:48,122 [INFO] root: Invoking gemini-2.5-pro.
2026-06-27 11:18:48,122 [INFO] root: Invoking gemini-2.5-pro.
2026-06-27 11:18:48,123 [INFO] root: Invoking gemini-2.5-pro.
2026-06-27 11:18:48,124 [INFO] root: Invoking gemini-2.5-pro.
2026-06-27 11:18:48,125 [INFO] root: Invoking gemini-2.5-pro.
2026-06-27 11:18:48,126 [INFO] root: Invoking gemini-2.5-pro.
2026-06-27 11:18:48,127 [INFO] root: Invoking gemini-2.5-pro.
2026-06-27 11:18:48,129 [INFO] root: Invoking gemini-2.5-pro.
2026-06-27 11:18:48,130 [INFO] root: Invoking gemini-2.5-pro.
2026-06-27 11:18:48,131 [INFO] root: Invoking gemini-2.5-pro.
2026-06-27 11:18:48,132 [INFO] root: Invoking gemini-2.5-pro.
2026-06-27 11:18:48,133 [INFO] root: Invoking gemini-2.5-pro.
Queries:   0%|          | 0/18 [00:00<?, ?it/s]2026-06-27 11:18:48,134 [INFO] root: Invoking gemini-2.5-pro.
Queries: 100%|██████████| 18/18 [00:00<00:00, 413.02it/s]
2026-06-27 11:18:48,199 [INFO] root: Saved assay results to /home/harry/code/corporate-bias/data/assays/pairwise-comparative-preference/gemini-2.5-pro.parquet.
