/home/harry/code/corporate-bias/.venv/lib/python3.12/site-packages/dvclive/monitor_system.py:11: FutureWarning: The pynvml package is deprecated. Please install nvidia-ml-py instead. If you did not install pynvml directly, please report this to the maintainers of the package that installed pynvml for you.
  from pynvml import (
2026-07-09 13:02:55,946 [INFO] root: Running assay=pairwise-comparative-preference model=gemma-4-31B-it 
2026-07-09 13:02:55,964 [INFO] root: Invoking gemma-4-31B-it.
2026-07-09 13:02:55,964 [INFO] root: Invoking gemma-4-31B-it.
2026-07-09 13:02:55,965 [INFO] root: Invoking gemma-4-31B-it.
2026-07-09 13:02:55,966 [INFO] root: Invoking gemma-4-31B-it.
2026-07-09 13:02:55,967 [INFO] root: Invoking gemma-4-31B-it.
2026-07-09 13:02:55,968 [INFO] root: Invoking gemma-4-31B-it.
2026-07-09 13:02:55,969 [INFO] root: Invoking gemma-4-31B-it.
2026-07-09 13:02:55,971 [INFO] root: Invoking gemma-4-31B-it.
2026-07-09 13:02:55,972 [INFO] root: Invoking gemma-4-31B-it.
2026-07-09 13:02:55,973 [INFO] root: Invoking gemma-4-31B-it.
2026-07-09 13:02:55,975 [INFO] root: Invoking gemma-4-31B-it.
2026-07-09 13:02:55,978 [INFO] root: Invoking gemma-4-31B-it.
2026-07-09 13:02:55,983 [INFO] root: Invoking gemma-4-31B-it.
2026-07-09 13:02:55,986 [INFO] root: Invoking gemma-4-31B-it.
2026-07-09 13:02:55,989 [INFO] root: Invoking gemma-4-31B-it.
2026-07-09 13:02:55,991 [INFO] root: Invoking gemma-4-31B-it.
2026-07-09 13:02:55,996 [INFO] root: Invoking gemma-4-31B-it.
2026-07-09 13:02:55,999 [INFO] root: Invoking gemma-4-31B-it.
2026-07-09 13:02:56,001 [INFO] root: Invoking gemma-4-31B-it.
2026-07-09 13:02:56,003 [INFO] root: Invoking gemma-4-31B-it.
2026-07-09 13:02:56,006 [INFO] root: Invoking gemma-4-31B-it.
2026-07-09 13:02:56,011 [INFO] root: Invoking gemma-4-31B-it.
2026-07-09 13:02:56,014 [INFO] root: Invoking gemma-4-31B-it.
2026-07-09 13:02:56,015 [INFO] root: Invoking gemma-4-31B-it.
2026-07-09 13:02:56,020 [INFO] root: Invoking gemma-4-31B-it.
2026-07-09 13:02:56,021 [INFO] root: Invoking gemma-4-31B-it.
2026-07-09 13:02:56,026 [INFO] root: Invoking gemma-4-31B-it.
2026-07-09 13:02:56,027 [INFO] root: Invoking gemma-4-31B-it.
2026-07-09 13:02:56,029 [INFO] root: Invoking gemma-4-31B-it.
2026-07-09 13:02:56,031 [INFO] root: Invoking gemma-4-31B-it.
2026-07-09 13:02:56,033 [INFO] root: Invoking gemma-4-31B-it.
2026-07-09 13:02:56,034 [INFO] root: Invoking gemma-4-31B-it.
2026-07-09 13:02:56,040 [INFO] root: Invoking gemma-4-31B-it.
2026-07-09 13:02:56,044 [INFO] root: Invoking gemma-4-31B-it.
2026-07-09 13:02:56,046 [INFO] root: Invoking gemma-4-31B-it.
2026-07-09 13:02:56,048 [INFO] root: Invoking gemma-4-31B-it.
2026-07-09 13:02:56,051 [INFO] root: Invoking gemma-4-31B-it.
2026-07-09 13:02:56,053 [INFO] root: Invoking gemma-4-31B-it.
