/home/harry/code/corporate-bias/.venv/lib/python3.12/site-packages/dvclive/monitor_system.py:11: FutureWarning: The pynvml package is deprecated. Please install nvidia-ml-py instead. If you did not install pynvml directly, please report this to the maintainers of the package that installed pynvml for you.
  from pynvml import (
2026-07-06 10:51:20,364 [INFO] root: Running assay=pairwise-comparative-preference model=glm-5.2 
2026-07-06 10:51:20,378 [INFO] root: Invoking glm-5.2.
2026-07-06 10:51:20,378 [INFO] root: Invoking glm-5.2.
2026-07-06 10:51:20,379 [INFO] root: Invoking glm-5.2.
2026-07-06 10:51:20,379 [INFO] root: Invoking glm-5.2.
2026-07-06 10:51:20,380 [INFO] root: Invoking glm-5.2.
2026-07-06 10:51:20,380 [INFO] root: Invoking glm-5.2.
2026-07-06 10:51:20,381 [INFO] root: Invoking glm-5.2.
2026-07-06 10:51:20,381 [INFO] root: Invoking glm-5.2.
2026-07-06 10:51:20,382 [INFO] root: Invoking glm-5.2.
2026-07-06 10:51:20,383 [INFO] root: Invoking glm-5.2.
2026-07-06 10:51:20,385 [INFO] root: Invoking glm-5.2.
2026-07-06 10:51:20,386 [INFO] root: Invoking glm-5.2.
2026-07-06 10:51:20,387 [INFO] root: Invoking glm-5.2.
2026-07-06 10:51:20,389 [INFO] root: Invoking glm-5.2.
2026-07-06 10:51:20,389 [INFO] root: Invoking glm-5.2.
2026-07-06 10:51:20,393 [INFO] root: Invoking glm-5.2.
2026-07-06 10:51:20,394 [INFO] root: Invoking glm-5.2.
2026-07-06 10:51:20,395 [INFO] root: Invoking glm-5.2.
2026-07-06 10:51:20,398 [INFO] root: Invoking glm-5.2.
2026-07-06 10:51:20,399 [INFO] root: Invoking glm-5.2.
2026-07-06 10:51:20,402 [INFO] root: Invoking glm-5.2.
2026-07-06 10:51:20,404 [INFO] root: Invoking glm-5.2.
2026-07-06 10:51:20,406 [INFO] root: Invoking glm-5.2.
2026-07-06 10:51:20,407 [INFO] root: Invoking glm-5.2.
2026-07-06 10:51:20,409 [INFO] root: Invoking glm-5.2.
2026-07-06 10:51:20,410 [INFO] root: Invoking glm-5.2.
2026-07-06 10:51:20,412 [INFO] root: Invoking glm-5.2.
2026-07-06 10:51:20,413 [INFO] root: Invoking glm-5.2.
2026-07-06 10:51:20,417 [INFO] root: Invoking glm-5.2.
2026-07-06 10:51:20,419 [INFO] root: Invoking glm-5.2.
2026-07-06 10:51:20,421 [INFO] root: Invoking glm-5.2.
2026-07-06 10:51:20,424 [INFO] root: Invoking glm-5.2.
2026-07-06 10:51:20,425 [INFO] root: Invoking glm-5.2.
2026-07-06 10:51:20,426 [INFO] root: Invoking glm-5.2.
2026-07-06 10:51:20,427 [INFO] root: Invoking glm-5.2.
2026-07-06 10:51:20,429 [INFO] root: Invoking glm-5.2.
2026-07-06 10:51:20,431 [INFO] root: Invoking glm-5.2.
2026-07-06 10:51:20,432 [INFO] root: Invoking glm-5.2.
2026-07-06 10:51:20,432 [INFO] root: Invoking glm-5.2.
