/home/harry/code/corporate-bias/.venv/lib/python3.12/site-packages/dvclive/monitor_system.py:11: FutureWarning: The pynvml package is deprecated. Please install nvidia-ml-py instead. If you did not install pynvml directly, please report this to the maintainers of the package that installed pynvml for you.
  from pynvml import (
2026-07-06 10:51:06,988 [INFO] root: Running assay=pairwise-comparative-preference model=gpt-4o-mini 
2026-07-06 10:51:07,003 [INFO] root: Invoking gpt-4o-mini.
2026-07-06 10:51:07,003 [INFO] root: Invoking gpt-4o-mini.
2026-07-06 10:51:07,004 [INFO] root: Invoking gpt-4o-mini.
2026-07-06 10:51:07,005 [INFO] root: Invoking gpt-4o-mini.
2026-07-06 10:51:07,005 [INFO] root: Invoking gpt-4o-mini.
2026-07-06 10:51:07,006 [INFO] root: Invoking gpt-4o-mini.
2026-07-06 10:51:07,007 [INFO] root: Invoking gpt-4o-mini.
2026-07-06 10:51:07,008 [INFO] root: Invoking gpt-4o-mini.
2026-07-06 10:51:07,010 [INFO] root: Invoking gpt-4o-mini.
2026-07-06 10:51:07,012 [INFO] root: Invoking gpt-4o-mini.
2026-07-06 10:51:07,012 [INFO] root: Invoking gpt-4o-mini.
2026-07-06 10:51:07,013 [INFO] root: Invoking gpt-4o-mini.
2026-07-06 10:51:07,014 [INFO] root: Invoking gpt-4o-mini.
2026-07-06 10:51:07,015 [INFO] root: Invoking gpt-4o-mini.
2026-07-06 10:51:07,016 [INFO] root: Invoking gpt-4o-mini.
2026-07-06 10:51:07,018 [INFO] root: Invoking gpt-4o-mini.
2026-07-06 10:51:07,019 [INFO] root: Invoking gpt-4o-mini.
2026-07-06 10:51:07,022 [INFO] root: Invoking gpt-4o-mini.
2026-07-06 10:51:07,024 [INFO] root: Invoking gpt-4o-mini.
2026-07-06 10:51:07,026 [INFO] root: Invoking gpt-4o-mini.
2026-07-06 10:51:07,027 [INFO] root: Invoking gpt-4o-mini.
2026-07-06 10:51:07,030 [INFO] root: Invoking gpt-4o-mini.
2026-07-06 10:51:07,032 [INFO] root: Invoking gpt-4o-mini.
2026-07-06 10:51:07,033 [INFO] root: Invoking gpt-4o-mini.
2026-07-06 10:51:07,036 [INFO] root: Invoking gpt-4o-mini.
2026-07-06 10:51:07,038 [INFO] root: Invoking gpt-4o-mini.
2026-07-06 10:51:07,039 [INFO] root: Invoking gpt-4o-mini.
2026-07-06 10:51:07,042 [INFO] root: Invoking gpt-4o-mini.
2026-07-06 10:51:07,044 [INFO] root: Invoking gpt-4o-mini.
2026-07-06 10:51:07,052 [INFO] root: Invoking gpt-4o-mini.
2026-07-06 10:51:07,053 [INFO] root: Invoking gpt-4o-mini.
2026-07-06 10:51:07,054 [INFO] root: Invoking gpt-4o-mini.
2026-07-06 10:51:07,055 [INFO] root: Invoking gpt-4o-mini.
2026-07-06 10:51:07,058 [INFO] root: Invoking gpt-4o-mini.
2026-07-06 10:51:07,058 [INFO] root: Invoking gpt-4o-mini.
2026-07-06 10:51:07,060 [INFO] root: Invoking gpt-4o-mini.
2026-07-06 10:51:07,062 [INFO] root: Invoking gpt-4o-mini.
2026-07-06 10:51:07,063 [INFO] root: Invoking gpt-4o-mini.
2026-07-06 10:51:07,063 [INFO] root: Invoking gpt-4o-mini.
2026-07-06 10:51:07,064 [INFO] root: Invoking gpt-4o-mini.
2026-07-06 10:51:07,065 [INFO] root: Invoking gpt-4o-mini.
2026-07-06 10:51:07,066 [INFO] root: Invoking gpt-4o-mini.
2026-07-06 10:51:07,066 [INFO] root: Invoking gpt-4o-mini.
2026-07-06 10:51:07,067 [INFO] root: Invoking gpt-4o-mini.
2026-07-06 10:51:07,070 [INFO] root: Invoking gpt-4o-mini.
2026-07-06 10:51:07,071 [INFO] root: Invoking gpt-4o-mini.
2026-07-06 10:51:07,073 [INFO] root: Invoking gpt-4o-mini.
2026-07-06 10:51:07,075 [INFO] root: Invoking gpt-4o-mini.
2026-07-06 10:51:07,078 [INFO] root: Invoking gpt-4o-mini.
2026-07-06 10:51:07,079 [INFO] root: Invoking gpt-4o-mini.
2026-07-06 10:51:07,081 [INFO] root: Invoking gpt-4o-mini.
2026-07-06 10:51:07,084 [INFO] root: Invoking gpt-4o-mini.
2026-07-06 10:51:07,086 [INFO] root: Invoking gpt-4o-mini.
2026-07-06 10:51:07,088 [INFO] root: Invoking gpt-4o-mini.
2026-07-06 10:51:07,091 [INFO] root: Invoking gpt-4o-mini.
2026-07-06 10:51:07,092 [INFO] root: Invoking gpt-4o-mini.
2026-07-06 10:51:07,096 [INFO] root: Invoking gpt-4o-mini.
2026-07-06 10:51:07,099 [INFO] root: Invoking gpt-4o-mini.
2026-07-06 10:51:07,104 [INFO] root: Invoking gpt-4o-mini.
