/home/harry/code/corporate-bias/.venv/lib/python3.12/site-packages/dvclive/monitor_system.py:11: FutureWarning: The pynvml package is deprecated. Please install nvidia-ml-py instead. If you did not install pynvml directly, please report this to the maintainers of the package that installed pynvml for you.
  from pynvml import (
2026-07-09 09:50:09,697 [INFO] root: Running assay=pairwise-comparative-preference model=gpt-5.4 
2026-07-09 09:50:09,740 [INFO] root: Invoking gpt-5.4.
2026-07-09 09:50:09,741 [INFO] root: Invoking gpt-5.4.
2026-07-09 09:50:09,742 [INFO] root: Invoking gpt-5.4.
2026-07-09 09:50:09,743 [INFO] root: Invoking gpt-5.4.
2026-07-09 09:50:09,743 [INFO] root: Invoking gpt-5.4.
2026-07-09 09:50:09,745 [INFO] root: Invoking gpt-5.4.
2026-07-09 09:50:09,746 [INFO] root: Invoking gpt-5.4.
2026-07-09 09:50:09,747 [INFO] root: Invoking gpt-5.4.
2026-07-09 09:50:09,749 [INFO] root: Invoking gpt-5.4.
2026-07-09 09:50:09,750 [INFO] root: Invoking gpt-5.4.
2026-07-09 09:50:09,751 [INFO] root: Invoking gpt-5.4.
2026-07-09 09:50:09,755 [INFO] root: Invoking gpt-5.4.
2026-07-09 09:50:09,758 [INFO] root: Invoking gpt-5.4.
2026-07-09 09:50:09,760 [INFO] root: Invoking gpt-5.4.
2026-07-09 09:50:09,764 [INFO] root: Invoking gpt-5.4.
2026-07-09 09:50:09,767 [INFO] root: Invoking gpt-5.4.
2026-07-09 09:50:09,769 [INFO] root: Invoking gpt-5.4.
2026-07-09 09:50:09,773 [INFO] root: Invoking gpt-5.4.
2026-07-09 09:50:09,775 [INFO] root: Invoking gpt-5.4.
2026-07-09 09:50:09,776 [INFO] root: Invoking gpt-5.4.
2026-07-09 09:50:09,778 [INFO] root: Invoking gpt-5.4.
2026-07-09 09:50:09,785 [INFO] root: Invoking gpt-5.4.
2026-07-09 09:50:09,787 [INFO] root: Invoking gpt-5.4.
2026-07-09 09:50:09,791 [INFO] root: Invoking gpt-5.4.
2026-07-09 09:50:09,793 [INFO] root: Invoking gpt-5.4.
2026-07-09 09:50:09,795 [INFO] root: Invoking gpt-5.4.
2026-07-09 09:50:09,799 [INFO] root: Invoking gpt-5.4.
2026-07-09 09:50:09,801 [INFO] root: Invoking gpt-5.4.
2026-07-09 09:50:09,807 [INFO] root: Invoking gpt-5.4.
2026-07-09 09:50:09,811 [INFO] root: Invoking gpt-5.4.
2026-07-09 09:50:09,815 [INFO] root: Invoking gpt-5.4.
2026-07-09 09:50:09,819 [INFO] root: Invoking gpt-5.4.
2026-07-09 09:50:09,821 [INFO] root: Invoking gpt-5.4.
2026-07-09 09:50:09,825 [INFO] root: Invoking gpt-5.4.
2026-07-09 09:50:09,827 [INFO] root: Invoking gpt-5.4.
2026-07-09 09:50:09,830 [INFO] root: Invoking gpt-5.4.
2026-07-09 09:50:09,832 [INFO] root: Invoking gpt-5.4.
2026-07-09 09:50:09,834 [INFO] root: Invoking gpt-5.4.
2026-07-09 09:50:09,836 [INFO] root: Invoking gpt-5.4.
2026-07-09 09:50:09,839 [INFO] root: Invoking gpt-5.4.
2026-07-09 09:50:09,840 [INFO] root: Invoking gpt-5.4.
2026-07-09 09:50:09,845 [INFO] root: Invoking gpt-5.4.
2026-07-09 09:50:09,848 [INFO] root: Invoking gpt-5.4.
2026-07-09 09:50:09,849 [INFO] root: Invoking gpt-5.4.
2026-07-09 09:50:09,854 [INFO] root: Invoking gpt-5.4.
2026-07-09 09:50:09,856 [INFO] root: Invoking gpt-5.4.
2026-07-09 09:50:09,858 [INFO] root: Invoking gpt-5.4.
2026-07-09 09:50:09,863 [INFO] root: Invoking gpt-5.4.
2026-07-09 09:50:09,866 [INFO] root: Invoking gpt-5.4.
2026-07-09 09:50:09,868 [INFO] root: Invoking gpt-5.4.
2026-07-09 09:50:09,871 [INFO] root: Invoking gpt-5.4.
2026-07-09 09:50:09,874 [INFO] root: Invoking gpt-5.4.
2026-07-09 09:50:09,876 [INFO] root: Invoking gpt-5.4.
2026-07-09 09:50:09,878 [INFO] root: Invoking gpt-5.4.
2026-07-09 09:50:09,884 [INFO] root: Invoking gpt-5.4.
2026-07-09 09:50:09,892 [INFO] root: Invoking gpt-5.4.
2026-07-09 09:50:09,898 [INFO] root: Invoking gpt-5.4.
2026-07-09 09:50:09,900 [INFO] root: Invoking gpt-5.4.
2026-07-09 09:50:09,911 [INFO] root: Invoking gpt-5.4.
2026-07-09 09:50:09,914 [INFO] root: Invoking gpt-5.4.
2026-07-09 09:50:09,916 [INFO] root: Invoking gpt-5.4.
2026-07-09 09:50:09,918 [INFO] root: Invoking gpt-5.4.
2026-07-09 09:50:09,921 [INFO] root: Invoking gpt-5.4.
2026-07-09 09:50:09,923 [INFO] root: Invoking gpt-5.4.
2026-07-09 09:50:09,926 [INFO] root: Invoking gpt-5.4.
2026-07-09 09:50:09,933 [INFO] root: Invoking gpt-5.4.
2026-07-09 09:50:09,936 [INFO] root: Invoking gpt-5.4.
2026-07-09 09:50:09,938 [INFO] root: Invoking gpt-5.4.
2026-07-09 09:50:09,943 [INFO] root: Invoking gpt-5.4.
2026-07-09 09:50:09,945 [INFO] root: Invoking gpt-5.4.
2026-07-09 09:50:09,947 [INFO] root: Invoking gpt-5.4.
2026-07-09 09:50:09,948 [INFO] root: Invoking gpt-5.4.
2026-07-09 09:50:09,949 [INFO] root: Invoking gpt-5.4.
2026-07-09 09:50:09,952 [INFO] root: Invoking gpt-5.4.
2026-07-09 09:50:09,958 [INFO] root: Invoking gpt-5.4.
2026-07-09 09:50:09,961 [INFO] root: Invoking gpt-5.4.
2026-07-09 09:50:09,965 [INFO] root: Invoking gpt-5.4.
2026-07-09 09:50:09,970 [INFO] root: Invoking gpt-5.4.
2026-07-09 09:50:09,972 [INFO] root: Invoking gpt-5.4.
2026-07-09 09:50:09,977 [INFO] root: Invoking gpt-5.4.
2026-07-09 09:50:09,984 [INFO] root: Invoking gpt-5.4.
2026-07-09 09:50:09,986 [INFO] root: Invoking gpt-5.4.
2026-07-09 09:50:09,988 [INFO] root: Invoking gpt-5.4.
2026-07-09 09:50:09,990 [INFO] root: Invoking gpt-5.4.
2026-07-09 09:50:09,997 [INFO] root: Invoking gpt-5.4.
2026-07-09 09:50:10,003 [INFO] root: Invoking gpt-5.4.
2026-07-09 09:50:10,008 [INFO] root: Invoking gpt-5.4.
2026-07-09 09:50:10,014 [INFO] root: Invoking gpt-5.4.
2026-07-09 09:50:10,018 [INFO] root: Invoking gpt-5.4.
2026-07-09 09:50:10,022 [INFO] root: Invoking gpt-5.4.
2026-07-09 09:50:10,024 [INFO] root: Invoking gpt-5.4.
2026-07-09 09:50:10,026 [INFO] root: Invoking gpt-5.4.
2026-07-09 09:50:10,029 [INFO] root: Invoking gpt-5.4.
2026-07-09 09:50:10,032 [INFO] root: Invoking gpt-5.4.
2026-07-09 09:50:10,035 [INFO] root: Invoking gpt-5.4.
2026-07-09 09:50:10,036 [INFO] root: Invoking gpt-5.4.
2026-07-09 09:50:10,039 [INFO] root: Invoking gpt-5.4.
2026-07-09 09:50:10,042 [INFO] root: Invoking gpt-5.4.
