/home/harry/code/corporate-bias/.venv/lib/python3.12/site-packages/dvclive/monitor_system.py:11: FutureWarning: The pynvml package is deprecated. Please install nvidia-ml-py instead. If you did not install pynvml directly, please report this to the maintainers of the package that installed pynvml for you.
  from pynvml import (
2026-07-06 10:51:03,953 [INFO] root: Running assay=pairwise-comparative-preference model=gpt-oss-120b 
2026-07-06 10:51:03,970 [INFO] root: Invoking gpt-oss-120b.
2026-07-06 10:51:03,970 [INFO] root: Invoking gpt-oss-120b.
2026-07-06 10:51:03,971 [INFO] root: Invoking gpt-oss-120b.
2026-07-06 10:51:03,971 [INFO] root: Invoking gpt-oss-120b.
2026-07-06 10:51:03,972 [INFO] root: Invoking gpt-oss-120b.
2026-07-06 10:51:03,973 [INFO] root: Invoking gpt-oss-120b.
2026-07-06 10:51:03,974 [INFO] root: Invoking gpt-oss-120b.
2026-07-06 10:51:03,975 [INFO] root: Invoking gpt-oss-120b.
2026-07-06 10:51:03,976 [INFO] root: Invoking gpt-oss-120b.
2026-07-06 10:51:03,977 [INFO] root: Invoking gpt-oss-120b.
2026-07-06 10:51:03,979 [INFO] root: Invoking gpt-oss-120b.
2026-07-06 10:51:03,981 [INFO] root: Invoking gpt-oss-120b.
2026-07-06 10:51:03,984 [INFO] root: Invoking gpt-oss-120b.
2026-07-06 10:51:03,986 [INFO] root: Invoking gpt-oss-120b.
2026-07-06 10:51:03,988 [INFO] root: Invoking gpt-oss-120b.
2026-07-06 10:51:03,992 [INFO] root: Invoking gpt-oss-120b.
2026-07-06 10:51:03,997 [INFO] root: Invoking gpt-oss-120b.
2026-07-06 10:51:04,001 [INFO] root: Invoking gpt-oss-120b.
2026-07-06 10:51:04,006 [INFO] root: Invoking gpt-oss-120b.
2026-07-06 10:51:04,013 [INFO] root: Invoking gpt-oss-120b.
2026-07-06 10:51:04,017 [INFO] root: Invoking gpt-oss-120b.
2026-07-06 10:51:04,019 [INFO] root: Invoking gpt-oss-120b.
2026-07-06 10:51:04,023 [INFO] root: Invoking gpt-oss-120b.
2026-07-06 10:51:04,025 [INFO] root: Invoking gpt-oss-120b.
2026-07-06 10:51:04,029 [INFO] root: Invoking gpt-oss-120b.
2026-07-06 10:51:04,030 [INFO] root: Invoking gpt-oss-120b.
2026-07-06 10:51:04,033 [INFO] root: Invoking gpt-oss-120b.
2026-07-06 10:51:04,036 [INFO] root: Invoking gpt-oss-120b.
2026-07-06 10:51:04,038 [INFO] root: Invoking gpt-oss-120b.
2026-07-06 10:51:04,041 [INFO] root: Invoking gpt-oss-120b.
2026-07-06 10:51:04,042 [INFO] root: Invoking gpt-oss-120b.
2026-07-06 10:51:04,044 [INFO] root: Invoking gpt-oss-120b.
2026-07-06 10:51:04,046 [INFO] root: Invoking gpt-oss-120b.
2026-07-06 10:51:04,047 [INFO] root: Invoking gpt-oss-120b.
2026-07-06 10:51:04,048 [INFO] root: Invoking gpt-oss-120b.
2026-07-06 10:51:04,051 [INFO] root: Invoking gpt-oss-120b.
2026-07-06 10:51:04,053 [INFO] root: Invoking gpt-oss-120b.
2026-07-06 10:51:04,055 [INFO] root: Invoking gpt-oss-120b.
2026-07-06 10:51:04,059 [INFO] root: Invoking gpt-oss-120b.
2026-07-06 10:51:04,060 [INFO] root: Invoking gpt-oss-120b.
2026-07-06 10:51:04,063 [INFO] root: Invoking gpt-oss-120b.
2026-07-06 10:51:04,068 [INFO] root: Invoking gpt-oss-120b.
2026-07-06 10:51:04,074 [INFO] root: Invoking gpt-oss-120b.
2026-07-06 10:51:04,075 [INFO] root: Invoking gpt-oss-120b.
2026-07-06 10:51:04,079 [INFO] root: Invoking gpt-oss-120b.
2026-07-06 10:51:04,080 [INFO] root: Invoking gpt-oss-120b.
2026-07-06 10:51:04,083 [INFO] root: Invoking gpt-oss-120b.
2026-07-06 10:51:04,084 [INFO] root: Invoking gpt-oss-120b.
2026-07-06 10:51:04,086 [INFO] root: Invoking gpt-oss-120b.
2026-07-06 10:51:04,087 [INFO] root: Invoking gpt-oss-120b.
2026-07-06 10:51:04,091 [INFO] root: Invoking gpt-oss-120b.
2026-07-06 10:51:04,096 [INFO] root: Invoking gpt-oss-120b.
2026-07-06 10:51:04,099 [INFO] root: Invoking gpt-oss-120b.
2026-07-06 10:51:04,106 [INFO] root: Invoking gpt-oss-120b.
2026-07-06 10:51:04,108 [INFO] root: Invoking gpt-oss-120b.
2026-07-06 10:51:04,110 [INFO] root: Invoking gpt-oss-120b.
2026-07-06 10:51:04,111 [INFO] root: Invoking gpt-oss-120b.
2026-07-06 10:51:04,114 [INFO] root: Invoking gpt-oss-120b.
