/home/harry/code/corporate-bias/.venv/lib/python3.12/site-packages/dvclive/monitor_system.py:11: FutureWarning: The pynvml package is deprecated. Please install nvidia-ml-py instead. If you did not install pynvml directly, please report this to the maintainers of the package that installed pynvml for you.
  from pynvml import (
2026-06-26 13:38:43,543 [INFO] root: Running assay=pairwise-comparative-preference model=hy3-preview 
2026-06-26 13:38:43,556 [INFO] root: Invoking hy3-preview.
2026-06-26 13:38:43,556 [INFO] root: Invoking hy3-preview.
2026-06-26 13:38:43,557 [INFO] root: Invoking hy3-preview.
2026-06-26 13:38:43,557 [INFO] root: Invoking hy3-preview.
2026-06-26 13:38:43,558 [INFO] root: Invoking hy3-preview.
2026-06-26 13:38:43,558 [INFO] root: Invoking hy3-preview.
2026-06-26 13:38:43,560 [INFO] root: Invoking hy3-preview.
2026-06-26 13:38:43,562 [INFO] root: Invoking hy3-preview.
2026-06-26 13:38:43,564 [INFO] root: Invoking hy3-preview.
2026-06-26 13:38:43,566 [INFO] root: Invoking hy3-preview.
2026-06-26 13:38:43,568 [INFO] root: Invoking hy3-preview.
2026-06-26 13:38:43,569 [INFO] root: Invoking hy3-preview.
2026-06-26 13:38:43,570 [INFO] root: Invoking hy3-preview.
2026-06-26 13:38:43,571 [INFO] root: Invoking hy3-preview.
2026-06-26 13:38:43,574 [INFO] root: Invoking hy3-preview.
2026-06-26 13:38:43,575 [INFO] root: Invoking hy3-preview.
2026-06-26 13:38:43,576 [INFO] root: Invoking hy3-preview.
2026-06-26 13:38:43,578 [INFO] root: Invoking hy3-preview.

Queries:   0%|          | 0/18 [00:00<?, ?it/s]
Queries: 100%|██████████| 18/18 [00:00<00:00, 423.03it/s]
2026-06-26 13:38:43,633 [INFO] root: Saved assay results to /home/harry/code/corporate-bias/data/assays/pairwise-comparative-preference/hy3-preview.parquet.
