/home/harry/code/corporate-bias/.venv/lib/python3.12/site-packages/dvclive/monitor_system.py:11: FutureWarning: The pynvml package is deprecated. Please install nvidia-ml-py instead. If you did not install pynvml directly, please report this to the maintainers of the package that installed pynvml for you.
  from pynvml import (
2026-06-27 11:19:18,632 [INFO] root: Running assay=pairwise-comparative-preference model=mimo-v2.5 
2026-06-27 11:19:18,647 [INFO] root: Invoking mimo-v2.5.
2026-06-27 11:19:18,647 [INFO] root: Invoking mimo-v2.5.
2026-06-27 11:19:18,648 [INFO] root: Invoking mimo-v2.5.
2026-06-27 11:19:18,648 [INFO] root: Invoking mimo-v2.5.
2026-06-27 11:19:18,650 [INFO] root: Invoking mimo-v2.5.
2026-06-27 11:19:18,651 [INFO] root: Invoking mimo-v2.5.
2026-06-27 11:19:18,654 [INFO] root: Invoking mimo-v2.5.
2026-06-27 11:19:18,655 [INFO] root: Invoking mimo-v2.5.
2026-06-27 11:19:18,656 [INFO] root: Invoking mimo-v2.5.
2026-06-27 11:19:18,657 [INFO] root: Invoking mimo-v2.5.
2026-06-27 11:19:18,658 [INFO] root: Invoking mimo-v2.5.
2026-06-27 11:19:18,661 [INFO] root: Invoking mimo-v2.5.
2026-06-27 11:19:18,662 [INFO] root: Invoking mimo-v2.5.
2026-06-27 11:19:18,666 [INFO] root: Invoking mimo-v2.5.
2026-06-27 11:19:18,669 [INFO] root: Invoking mimo-v2.5.
2026-06-27 11:19:18,672 [INFO] root: Invoking mimo-v2.5.
Queries:   0%|          | 0/18 [00:00<?, ?it/s]2026-06-27 11:19:18,674 [INFO] root: Invoking mimo-v2.5.
2026-06-27 11:19:18,676 [INFO] root: Invoking mimo-v2.5.
Queries: 100%|██████████| 18/18 [00:00<00:00, 424.03it/s]
2026-06-27 11:19:18,731 [INFO] root: Saved assay results to /home/harry/code/corporate-bias/data/assays/pairwise-comparative-preference/mimo-v2.5.parquet.
