/home/harry/code/corporate-bias/.venv/lib/python3.12/site-packages/dvclive/monitor_system.py:11: FutureWarning: The pynvml package is deprecated. Please install nvidia-ml-py instead. If you did not install pynvml directly, please report this to the maintainers of the package that installed pynvml for you.
  from pynvml import (
2026-07-06 10:51:15,091 [INFO] root: Running assay=pairwise-comparative-preference model=mistral-small-2603 
2026-07-06 10:51:15,110 [INFO] root: Invoking mistral-small-2603.
2026-07-06 10:51:15,110 [INFO] root: Invoking mistral-small-2603.
2026-07-06 10:51:15,111 [INFO] root: Invoking mistral-small-2603.
2026-07-06 10:51:15,111 [INFO] root: Invoking mistral-small-2603.
2026-07-06 10:51:15,112 [INFO] root: Invoking mistral-small-2603.
2026-07-06 10:51:15,113 [INFO] root: Invoking mistral-small-2603.
2026-07-06 10:51:15,114 [INFO] root: Invoking mistral-small-2603.
2026-07-06 10:51:15,115 [INFO] root: Invoking mistral-small-2603.
2026-07-06 10:51:15,116 [INFO] root: Invoking mistral-small-2603.
2026-07-06 10:51:15,116 [INFO] root: Invoking mistral-small-2603.
2026-07-06 10:51:15,118 [INFO] root: Invoking mistral-small-2603.
2026-07-06 10:51:15,120 [INFO] root: Invoking mistral-small-2603.
2026-07-06 10:51:15,121 [INFO] root: Invoking mistral-small-2603.
2026-07-06 10:51:15,124 [INFO] root: Invoking mistral-small-2603.
2026-07-06 10:51:15,127 [INFO] root: Invoking mistral-small-2603.
2026-07-06 10:51:15,130 [INFO] root: Invoking mistral-small-2603.
2026-07-06 10:51:15,132 [INFO] root: Invoking mistral-small-2603.
2026-07-06 10:51:15,134 [INFO] root: Invoking mistral-small-2603.
2026-07-06 10:51:15,138 [INFO] root: Invoking mistral-small-2603.
2026-07-06 10:51:15,141 [INFO] root: Invoking mistral-small-2603.
2026-07-06 10:51:15,144 [INFO] root: Invoking mistral-small-2603.
2026-07-06 10:51:15,146 [INFO] root: Invoking mistral-small-2603.
2026-07-06 10:51:15,149 [INFO] root: Invoking mistral-small-2603.
2026-07-06 10:51:15,158 [INFO] root: Invoking mistral-small-2603.
2026-07-06 10:51:15,160 [INFO] root: Invoking mistral-small-2603.
2026-07-06 10:51:15,162 [INFO] root: Invoking mistral-small-2603.
2026-07-06 10:51:15,165 [INFO] root: Invoking mistral-small-2603.
2026-07-06 10:51:15,167 [INFO] root: Invoking mistral-small-2603.
2026-07-06 10:51:15,169 [INFO] root: Invoking mistral-small-2603.
2026-07-06 10:51:15,170 [INFO] root: Invoking mistral-small-2603.
2026-07-06 10:51:15,172 [INFO] root: Invoking mistral-small-2603.
2026-07-06 10:51:15,177 [INFO] root: Invoking mistral-small-2603.
2026-07-06 10:51:15,178 [INFO] root: Invoking mistral-small-2603.
2026-07-06 10:51:15,182 [INFO] root: Invoking mistral-small-2603.
2026-07-06 10:51:15,183 [INFO] root: Invoking mistral-small-2603.
2026-07-06 10:51:15,186 [INFO] root: Invoking mistral-small-2603.
2026-07-06 10:51:15,188 [INFO] root: Invoking mistral-small-2603.
2026-07-06 10:51:15,189 [INFO] root: Invoking mistral-small-2603.
2026-07-06 10:51:15,190 [INFO] root: Invoking mistral-small-2603.
2026-07-06 10:51:15,190 [INFO] root: Invoking mistral-small-2603.
2026-07-06 10:51:15,191 [INFO] root: Invoking mistral-small-2603.
2026-07-06 10:51:15,192 [INFO] root: Invoking mistral-small-2603.
2026-07-06 10:51:15,192 [INFO] root: Invoking mistral-small-2603.
2026-07-06 10:51:15,194 [INFO] root: Invoking mistral-small-2603.
2026-07-06 10:51:15,198 [INFO] root: Invoking mistral-small-2603.
2026-07-06 10:51:15,203 [INFO] root: Invoking mistral-small-2603.
2026-07-06 10:51:15,207 [INFO] root: Invoking mistral-small-2603.
2026-07-06 10:51:15,211 [INFO] root: Invoking mistral-small-2603.
