/home/harry/code/corporate-bias/.venv/lib/python3.12/site-packages/dvclive/monitor_system.py:11: FutureWarning: The pynvml package is deprecated. Please install nvidia-ml-py instead. If you did not install pynvml directly, please report this to the maintainers of the package that installed pynvml for you.
  from pynvml import (
2026-06-26 13:38:39,243 [INFO] root: Running assay=pairwise-comparative-preference model=nemotron-3-super-120b-a12b 
2026-06-26 13:38:39,256 [INFO] root: Invoking nemotron-3-super-120b-a12b.
2026-06-26 13:38:39,256 [INFO] root: Invoking nemotron-3-super-120b-a12b.
2026-06-26 13:38:39,257 [INFO] root: Invoking nemotron-3-super-120b-a12b.
2026-06-26 13:38:39,257 [INFO] root: Invoking nemotron-3-super-120b-a12b.
2026-06-26 13:38:39,258 [INFO] root: Invoking nemotron-3-super-120b-a12b.
2026-06-26 13:38:39,259 [INFO] root: Invoking nemotron-3-super-120b-a12b.
2026-06-26 13:38:39,260 [INFO] root: Invoking nemotron-3-super-120b-a12b.
2026-06-26 13:38:39,262 [INFO] root: Invoking nemotron-3-super-120b-a12b.
2026-06-26 13:38:39,263 [INFO] root: Invoking nemotron-3-super-120b-a12b.
2026-06-26 13:38:39,265 [INFO] root: Invoking nemotron-3-super-120b-a12b.
2026-06-26 13:38:39,267 [INFO] root: Invoking nemotron-3-super-120b-a12b.
2026-06-26 13:38:39,268 [INFO] root: Invoking nemotron-3-super-120b-a12b.
2026-06-26 13:38:39,270 [INFO] root: Invoking nemotron-3-super-120b-a12b.
2026-06-26 13:38:39,272 [INFO] root: Invoking nemotron-3-super-120b-a12b.
2026-06-26 13:38:39,274 [INFO] root: Invoking nemotron-3-super-120b-a12b.
2026-06-26 13:38:39,275 [INFO] root: Invoking nemotron-3-super-120b-a12b.
2026-06-26 13:38:39,277 [INFO] root: Invoking nemotron-3-super-120b-a12b.
2026-06-26 13:38:39,278 [INFO] root: Invoking nemotron-3-super-120b-a12b.

Queries:   0%|          | 0/18 [00:00<?, ?it/s]
Queries: 100%|██████████| 18/18 [00:00<00:00, 465.62it/s]
2026-06-26 13:38:39,331 [INFO] root: Saved assay results to /home/harry/code/corporate-bias/data/assays/pairwise-comparative-preference/nemotron-3-super-120b-a12b.parquet.
