/home/harry/code/corporate-bias/.venv/lib/python3.12/site-packages/dvclive/monitor_system.py:11: FutureWarning: The pynvml package is deprecated. Please install nvidia-ml-py instead. If you did not install pynvml directly, please report this to the maintainers of the package that installed pynvml for you.
  from pynvml import (
2026-06-26 13:38:41,430 [INFO] root: Running assay=pairwise-comparative-preference model=phi-4 
2026-06-26 13:38:41,443 [INFO] root: Invoking phi-4.
2026-06-26 13:38:41,444 [INFO] root: Invoking phi-4.
2026-06-26 13:38:41,444 [INFO] root: Invoking phi-4.
2026-06-26 13:38:41,446 [INFO] root: Invoking phi-4.
2026-06-26 13:38:41,446 [INFO] root: Invoking phi-4.
2026-06-26 13:38:41,447 [INFO] root: Invoking phi-4.
2026-06-26 13:38:41,448 [INFO] root: Invoking phi-4.
2026-06-26 13:38:41,450 [INFO] root: Invoking phi-4.
2026-06-26 13:38:41,452 [INFO] root: Invoking phi-4.
2026-06-26 13:38:41,453 [INFO] root: Invoking phi-4.
2026-06-26 13:38:41,454 [INFO] root: Invoking phi-4.
2026-06-26 13:38:41,458 [INFO] root: Invoking phi-4.
2026-06-26 13:38:41,460 [INFO] root: Invoking phi-4.
2026-06-26 13:38:41,462 [INFO] root: Invoking phi-4.
2026-06-26 13:38:41,464 [INFO] root: Invoking phi-4.
2026-06-26 13:38:41,469 [INFO] root: Invoking phi-4.
2026-06-26 13:38:41,473 [INFO] root: Invoking phi-4.
2026-06-26 13:38:41,474 [INFO] root: Invoking phi-4.

Queries:   0%|          | 0/18 [00:00<?, ?it/s]
Queries: 100%|██████████| 18/18 [00:00<00:00, 440.62it/s]
2026-06-26 13:38:41,531 [INFO] root: Saved assay results to /home/harry/code/corporate-bias/data/assays/pairwise-comparative-preference/phi-4.parquet.
