/home/harry/code/corporate-bias/.venv/lib/python3.12/site-packages/dvclive/monitor_system.py:11: FutureWarning: The pynvml package is deprecated. Please install nvidia-ml-py instead. If you did not install pynvml directly, please report this to the maintainers of the package that installed pynvml for you.
  from pynvml import (
2026-06-26 13:38:37,228 [INFO] root: Running assay=pairwise-comparative-preference model=qwen3.5-flash-02-23 
2026-06-26 13:38:37,241 [INFO] root: Invoking qwen3.5-flash-02-23.
2026-06-26 13:38:37,241 [INFO] root: Invoking qwen3.5-flash-02-23.
2026-06-26 13:38:37,242 [INFO] root: Invoking qwen3.5-flash-02-23.
2026-06-26 13:38:37,242 [INFO] root: Invoking qwen3.5-flash-02-23.
2026-06-26 13:38:37,243 [INFO] root: Invoking qwen3.5-flash-02-23.
2026-06-26 13:38:37,244 [INFO] root: Invoking qwen3.5-flash-02-23.
2026-06-26 13:38:37,245 [INFO] root: Invoking qwen3.5-flash-02-23.
2026-06-26 13:38:37,247 [INFO] root: Invoking qwen3.5-flash-02-23.
2026-06-26 13:38:37,248 [INFO] root: Invoking qwen3.5-flash-02-23.
2026-06-26 13:38:37,249 [INFO] root: Invoking qwen3.5-flash-02-23.
2026-06-26 13:38:37,251 [INFO] root: Invoking qwen3.5-flash-02-23.
2026-06-26 13:38:37,251 [INFO] root: Invoking qwen3.5-flash-02-23.
2026-06-26 13:38:37,253 [INFO] root: Invoking qwen3.5-flash-02-23.
2026-06-26 13:38:37,254 [INFO] root: Invoking qwen3.5-flash-02-23.
2026-06-26 13:38:37,255 [INFO] root: Invoking qwen3.5-flash-02-23.
2026-06-26 13:38:37,258 [INFO] root: Invoking qwen3.5-flash-02-23.
2026-06-26 13:38:37,260 [INFO] root: Invoking qwen3.5-flash-02-23.
2026-06-26 13:38:37,264 [INFO] root: Invoking qwen3.5-flash-02-23.

Queries:   0%|          | 0/18 [00:00<?, ?it/s]
Queries: 100%|██████████| 18/18 [00:00<00:00, 561.02it/s]
2026-06-26 13:38:37,322 [INFO] root: Saved assay results to /home/harry/code/corporate-bias/data/assays/pairwise-comparative-preference/qwen3.5-flash-02-23.parquet.
