/home/harry/code/corporate-bias/.venv/lib/python3.12/site-packages/dvclive/monitor_system.py:11: FutureWarning: The pynvml package is deprecated. Please install nvidia-ml-py instead. If you did not install pynvml directly, please report this to the maintainers of the package that installed pynvml for you.
  from pynvml import (
2026-07-09 10:17:15,751 [INFO] root: Running assay=single-entity-steering model=claude-opus-4.6 
2026-07-09 10:17:15,771 [INFO] root: Invoking claude-opus-4.6.
2026-07-09 10:17:15,771 [INFO] root: Invoking claude-opus-4.6.
2026-07-09 10:17:15,772 [INFO] root: Invoking claude-opus-4.6.
2026-07-09 10:17:15,773 [INFO] root: Invoking claude-opus-4.6.
2026-07-09 10:17:15,774 [INFO] root: Invoking claude-opus-4.6.
2026-07-09 10:17:15,774 [INFO] root: Invoking claude-opus-4.6.
2026-07-09 10:17:15,776 [INFO] root: Invoking claude-opus-4.6.
2026-07-09 10:17:15,777 [INFO] root: Invoking claude-opus-4.6.
2026-07-09 10:17:15,778 [INFO] root: Invoking claude-opus-4.6.
2026-07-09 10:17:15,780 [INFO] root: Invoking claude-opus-4.6.
2026-07-09 10:17:15,781 [INFO] root: Invoking claude-opus-4.6.
2026-07-09 10:17:15,783 [INFO] root: Invoking claude-opus-4.6.
2026-07-09 10:17:15,787 [INFO] root: Invoking claude-opus-4.6.
2026-07-09 10:17:15,789 [INFO] root: Invoking claude-opus-4.6.
2026-07-09 10:17:15,795 [INFO] root: Invoking claude-opus-4.6.
2026-07-09 10:17:15,798 [INFO] root: Invoking claude-opus-4.6.
2026-07-09 10:17:15,800 [INFO] root: Invoking claude-opus-4.6.
2026-07-09 10:17:15,804 [INFO] root: Invoking claude-opus-4.6.
2026-07-09 10:17:15,806 [INFO] root: Invoking claude-opus-4.6.
2026-07-09 10:17:15,809 [INFO] root: Invoking claude-opus-4.6.
2026-07-09 10:17:15,813 [INFO] root: Invoking claude-opus-4.6.
2026-07-09 10:17:15,816 [INFO] root: Invoking claude-opus-4.6.
2026-07-09 10:17:15,821 [INFO] root: Invoking claude-opus-4.6.
