/home/harry/code/corporate-bias/.venv/lib/python3.12/site-packages/dvclive/monitor_system.py:11: FutureWarning: The pynvml package is deprecated. Please install nvidia-ml-py instead. If you did not install pynvml directly, please report this to the maintainers of the package that installed pynvml for you.
  from pynvml import (
2026-07-01 21:58:08,518 [INFO] root: Running assay=single-entity-steering model=gemini-2.5-flash 
2026-07-01 21:58:08,537 [INFO] root: Invoking gemini-2.5-flash.
2026-07-01 21:58:08,539 [INFO] root: Invoking gemini-2.5-flash.
2026-07-01 21:58:08,539 [INFO] root: Invoking gemini-2.5-flash.
2026-07-01 21:58:08,541 [INFO] root: Invoking gemini-2.5-flash.
2026-07-01 21:58:08,541 [INFO] root: Invoking gemini-2.5-flash.
2026-07-01 21:58:08,542 [INFO] root: Invoking gemini-2.5-flash.
2026-07-01 21:58:08,544 [INFO] root: Invoking gemini-2.5-flash.
2026-07-01 21:58:08,545 [INFO] root: Invoking gemini-2.5-flash.
2026-07-01 21:58:08,546 [INFO] root: Invoking gemini-2.5-flash.
2026-07-01 21:58:08,550 [INFO] root: Invoking gemini-2.5-flash.
2026-07-01 21:58:08,554 [INFO] root: Invoking gemini-2.5-flash.
2026-07-01 21:58:08,555 [INFO] root: Invoking gemini-2.5-flash.
2026-07-01 21:58:08,556 [INFO] root: Invoking gemini-2.5-flash.
2026-07-01 21:58:08,559 [INFO] root: Invoking gemini-2.5-flash.
2026-07-01 21:58:08,561 [INFO] root: Invoking gemini-2.5-flash.
2026-07-01 21:58:08,564 [INFO] root: Invoking gemini-2.5-flash.
2026-07-01 21:58:08,565 [INFO] root: Invoking gemini-2.5-flash.
2026-07-01 21:58:08,567 [INFO] root: Invoking gemini-2.5-flash.
2026-07-01 21:58:08,570 [INFO] root: Invoking gemini-2.5-flash.
2026-07-01 21:58:08,572 [INFO] root: Invoking gemini-2.5-flash.
2026-07-01 21:58:08,575 [INFO] root: Invoking gemini-2.5-flash.
2026-07-01 21:58:08,577 [INFO] root: Invoking gemini-2.5-flash.
2026-07-01 21:58:08,583 [INFO] root: Invoking gemini-2.5-flash.
2026-07-01 21:58:08,585 [INFO] root: Invoking gemini-2.5-flash.
2026-07-01 21:58:08,587 [INFO] root: Invoking gemini-2.5-flash.
2026-07-01 21:58:08,588 [INFO] root: Invoking gemini-2.5-flash.
2026-07-01 21:58:08,592 [INFO] root: Invoking gemini-2.5-flash.
2026-07-01 21:58:08,593 [INFO] root: Invoking gemini-2.5-flash.
2026-07-01 21:58:08,598 [INFO] root: Invoking gemini-2.5-flash.
2026-07-01 21:58:08,600 [INFO] root: Invoking gemini-2.5-flash.
2026-07-01 21:58:08,602 [INFO] root: Invoking gemini-2.5-flash.
2026-07-01 21:58:08,603 [INFO] root: Invoking gemini-2.5-flash.
2026-07-01 21:58:08,605 [INFO] root: Invoking gemini-2.5-flash.
2026-07-01 21:58:08,607 [INFO] root: Invoking gemini-2.5-flash.
2026-07-01 21:58:08,609 [INFO] root: Invoking gemini-2.5-flash.
2026-07-01 21:58:08,611 [INFO] root: Invoking gemini-2.5-flash.
2026-07-01 21:58:08,611 [INFO] root: Invoking gemini-2.5-flash.
2026-07-01 21:58:08,612 [INFO] root: Invoking gemini-2.5-flash.
2026-07-01 21:58:08,612 [INFO] root: Invoking gemini-2.5-flash.
Queries:   0%|          | 0/39 [00:00<?, ?it/s]Queries: 100%|██████████| 39/39 [00:00<00:00, 589.90it/s]
2026-07-01 21:58:08,684 [INFO] root: Invoking gemini-2.5-flash.
2026-07-01 21:58:08,684 [INFO] root: Invoking gemini-2.5-flash.
2026-07-01 21:58:08,684 [INFO] root: Invoking gemini-2.5-flash.
2026-07-01 21:58:08,685 [INFO] root: Invoking gemini-2.5-flash.
2026-07-01 21:58:08,686 [INFO] root: Invoking gemini-2.5-flash.
2026-07-01 21:58:08,686 [INFO] root: Invoking gemini-2.5-flash.
2026-07-01 21:58:08,687 [INFO] root: Invoking gemini-2.5-flash.
2026-07-01 21:58:08,688 [INFO] root: Invoking gemini-2.5-flash.
2026-07-01 21:58:08,689 [INFO] root: Invoking gemini-2.5-flash.
2026-07-01 21:58:08,690 [INFO] root: Invoking gemini-2.5-flash.
2026-07-01 21:58:08,692 [INFO] root: Invoking gemini-2.5-flash.
2026-07-01 21:58:08,693 [INFO] root: Invoking gemini-2.5-flash.
2026-07-01 21:58:08,695 [INFO] root: Invoking gemini-2.5-flash.
2026-07-01 21:58:08,696 [INFO] root: Invoking gemini-2.5-flash.
2026-07-01 21:58:08,698 [INFO] root: Invoking gemini-2.5-flash.
2026-07-01 21:58:08,699 [INFO] root: Invoking gemini-2.5-flash.
2026-07-01 21:58:08,701 [INFO] root: Invoking gemini-2.5-flash.
2026-07-01 21:58:08,702 [INFO] root: Invoking gemini-2.5-flash.
2026-07-01 21:58:08,704 [INFO] root: Invoking gemini-2.5-flash.
2026-07-01 21:58:08,705 [INFO] root: Invoking gemini-2.5-flash.
2026-07-01 21:58:08,706 [INFO] root: Invoking gemini-2.5-flash.
2026-07-01 21:58:08,707 [INFO] root: Invoking gemini-2.5-flash.
2026-07-01 21:58:08,712 [INFO] root: Invoking gemini-2.5-flash.
2026-07-01 21:58:08,715 [INFO] root: Invoking gemini-2.5-flash.
2026-07-01 21:58:08,718 [INFO] root: Invoking gemini-2.5-flash.
Queries:   0%|          | 0/39 [00:00<?, ?it/s]2026-07-01 21:58:08,718 [INFO] root: Invoking gemini-2.5-flash.
2026-07-01 21:58:08,720 [INFO] root: Invoking gemini-2.5-flash.
2026-07-01 21:58:08,721 [INFO] root: Invoking gemini-2.5-flash.
2026-07-01 21:58:08,721 [INFO] root: Invoking gemini-2.5-flash.
2026-07-01 21:58:08,723 [INFO] root: Invoking gemini-2.5-flash.
2026-07-01 21:58:08,723 [INFO] root: Invoking gemini-2.5-flash.
2026-07-01 21:58:08,724 [INFO] root: Invoking gemini-2.5-flash.
2026-07-01 21:58:08,724 [INFO] root: Invoking gemini-2.5-flash.
2026-07-01 21:58:08,724 [INFO] root: Invoking gemini-2.5-flash.
2026-07-01 21:58:08,725 [INFO] root: Invoking gemini-2.5-flash.
2026-07-01 21:58:08,726 [INFO] root: Invoking gemini-2.5-flash.
2026-07-01 21:58:08,728 [INFO] root: Invoking gemini-2.5-flash.
2026-07-01 21:58:08,730 [INFO] root: Invoking gemini-2.5-flash.
2026-07-01 21:58:08,730 [INFO] root: Invoking gemini-2.5-flash.
Queries: 100%|██████████| 39/39 [00:00<00:00, 888.77it/s]
2026-07-01 21:58:08,781 [INFO] root: Invoking gpt-5.4.
2026-07-01 21:58:08,782 [INFO] root: Invoking gemini-2.5-pro.
2026-07-01 21:58:08,782 [INFO] root: Invoking gpt-5.4.
2026-07-01 21:58:08,783 [INFO] root: Invoking gemini-2.5-pro.
2026-07-01 21:58:08,783 [INFO] root: Invoking gpt-5.4.
2026-07-01 21:58:08,785 [INFO] root: Invoking gemini-2.5-pro.
2026-07-01 21:58:08,787 [INFO] root: Invoking gpt-5.4.
