/home/harry/code/corporate-bias/.venv/lib/python3.12/site-packages/dvclive/monitor_system.py:11: FutureWarning: The pynvml package is deprecated. Please install nvidia-ml-py instead. If you did not install pynvml directly, please report this to the maintainers of the package that installed pynvml for you.
  from pynvml import (
2026-07-09 11:07:52,726 [INFO] root: Running assay=single-entity-steering model=gemini-2.5-pro 
2026-07-09 11:07:52,751 [INFO] root: Invoking gemini-2.5-pro.
2026-07-09 11:07:52,751 [INFO] root: Invoking gemini-2.5-pro.
2026-07-09 11:07:52,752 [INFO] root: Invoking gemini-2.5-pro.
2026-07-09 11:07:52,753 [INFO] root: Invoking gemini-2.5-pro.
2026-07-09 11:07:52,754 [INFO] root: Invoking gemini-2.5-pro.
2026-07-09 11:07:52,755 [INFO] root: Invoking gemini-2.5-pro.
2026-07-09 11:07:52,756 [INFO] root: Invoking gemini-2.5-pro.
2026-07-09 11:07:52,757 [INFO] root: Invoking gemini-2.5-pro.
2026-07-09 11:07:52,759 [INFO] root: Invoking gemini-2.5-pro.
2026-07-09 11:07:52,762 [INFO] root: Invoking gemini-2.5-pro.
2026-07-09 11:07:52,764 [INFO] root: Invoking gemini-2.5-pro.
2026-07-09 11:07:52,768 [INFO] root: Invoking gemini-2.5-pro.
2026-07-09 11:07:52,769 [INFO] root: Invoking gemini-2.5-pro.
2026-07-09 11:07:52,771 [INFO] root: Invoking gemini-2.5-pro.
2026-07-09 11:07:52,775 [INFO] root: Invoking gemini-2.5-pro.
2026-07-09 11:07:52,777 [INFO] root: Invoking gemini-2.5-pro.
2026-07-09 11:07:52,779 [INFO] root: Invoking gemini-2.5-pro.
2026-07-09 11:07:52,782 [INFO] root: Invoking gemini-2.5-pro.
2026-07-09 11:07:52,785 [INFO] root: Invoking gemini-2.5-pro.
2026-07-09 11:07:52,791 [INFO] root: Invoking gemini-2.5-pro.
2026-07-09 11:07:52,794 [INFO] root: Invoking gemini-2.5-pro.
2026-07-09 11:07:52,797 [INFO] root: Invoking gemini-2.5-pro.
2026-07-09 11:07:52,798 [INFO] root: Invoking gemini-2.5-pro.
2026-07-09 11:07:52,806 [INFO] root: Invoking gemini-2.5-pro.
2026-07-09 11:07:52,807 [INFO] root: Invoking gemini-2.5-pro.
2026-07-09 11:07:52,809 [INFO] root: Invoking gemini-2.5-pro.
2026-07-09 11:07:52,817 [INFO] root: Invoking gemini-2.5-pro.
2026-07-09 11:07:52,820 [INFO] root: Invoking gemini-2.5-pro.
2026-07-09 11:07:52,822 [INFO] root: Invoking gemini-2.5-pro.
2026-07-09 11:07:52,824 [INFO] root: Invoking gemini-2.5-pro.
2026-07-09 11:07:52,826 [INFO] root: Invoking gemini-2.5-pro.
2026-07-09 11:07:52,828 [INFO] root: Invoking gemini-2.5-pro.
2026-07-09 11:07:52,831 [INFO] root: Invoking gemini-2.5-pro.
2026-07-09 11:07:52,833 [INFO] root: Invoking gemini-2.5-pro.
2026-07-09 11:07:52,835 [INFO] root: Invoking gemini-2.5-pro.
2026-07-09 11:07:52,836 [INFO] root: Invoking gemini-2.5-pro.
2026-07-09 11:07:52,837 [INFO] root: Invoking gemini-2.5-pro.
Queries:   0%|          | 0/39 [00:00<?, ?it/s]2026-07-09 11:07:52,838 [INFO] root: Invoking gemini-2.5-pro.
2026-07-09 11:07:52,839 [INFO] root: Invoking gemini-2.5-pro.
2026-07-09 11:07:55,430 [INFO] httpx: HTTP Request: POST https://openrouter.ai/api/v1/chat/completions "HTTP/1.1 200 OK"
2026-07-09 11:07:55,446 [INFO] httpx: HTTP Request: POST https://openrouter.ai/api/v1/chat/completions "HTTP/1.1 200 OK"
2026-07-09 11:07:55,446 [INFO] httpx: HTTP Request: POST https://openrouter.ai/api/v1/chat/completions "HTTP/1.1 200 OK"
2026-07-09 11:07:55,524 [INFO] httpx: HTTP Request: POST https://openrouter.ai/api/v1/chat/completions "HTTP/1.1 200 OK"
2026-07-09 11:07:55,548 [INFO] httpx: HTTP Request: POST https://openrouter.ai/api/v1/chat/completions "HTTP/1.1 200 OK"
2026-07-09 11:07:55,574 [INFO] httpx: HTTP Request: POST https://openrouter.ai/api/v1/chat/completions "HTTP/1.1 200 OK"
2026-07-09 11:07:55,592 [INFO] httpx: HTTP Request: POST https://openrouter.ai/api/v1/chat/completions "HTTP/1.1 200 OK"
2026-07-09 11:07:55,649 [INFO] httpx: HTTP Request: POST https://openrouter.ai/api/v1/chat/completions "HTTP/1.1 200 OK"
2026-07-09 11:07:55,659 [INFO] httpx: HTTP Request: POST https://openrouter.ai/api/v1/chat/completions "HTTP/1.1 200 OK"
2026-07-09 11:07:55,672 [INFO] httpx: HTTP Request: POST https://openrouter.ai/api/v1/chat/completions "HTTP/1.1 200 OK"
2026-07-09 11:07:55,672 [INFO] httpx: HTTP Request: POST https://openrouter.ai/api/v1/chat/completions "HTTP/1.1 200 OK"
2026-07-09 11:07:55,704 [INFO] httpx: HTTP Request: POST https://openrouter.ai/api/v1/chat/completions "HTTP/1.1 200 OK"
2026-07-09 11:07:55,709 [INFO] httpx: HTTP Request: POST https://openrouter.ai/api/v1/chat/completions "HTTP/1.1 200 OK"
2026-07-09 11:07:55,725 [INFO] httpx: HTTP Request: POST https://openrouter.ai/api/v1/chat/completions "HTTP/1.1 200 OK"
2026-07-09 11:07:55,740 [INFO] httpx: HTTP Request: POST https://openrouter.ai/api/v1/chat/completions "HTTP/1.1 200 OK"
2026-07-09 11:07:55,829 [INFO] httpx: HTTP Request: POST https://openrouter.ai/api/v1/chat/completions "HTTP/1.1 200 OK"
2026-07-09 11:07:55,831 [INFO] httpx: HTTP Request: POST https://openrouter.ai/api/v1/chat/completions "HTTP/1.1 200 OK"
2026-07-09 11:07:55,843 [INFO] httpx: HTTP Request: POST https://openrouter.ai/api/v1/chat/completions "HTTP/1.1 200 OK"
2026-07-09 11:07:55,908 [INFO] httpx: HTTP Request: POST https://openrouter.ai/api/v1/chat/completions "HTTP/1.1 200 OK"
2026-07-09 11:07:55,935 [INFO] httpx: HTTP Request: POST https://openrouter.ai/api/v1/chat/completions "HTTP/1.1 200 OK"
2026-07-09 11:07:55,939 [INFO] httpx: HTTP Request: POST https://openrouter.ai/api/v1/chat/completions "HTTP/1.1 200 OK"
2026-07-09 11:07:55,970 [INFO] httpx: HTTP Request: POST https://openrouter.ai/api/v1/chat/completions "HTTP/1.1 200 OK"
2026-07-09 11:07:55,995 [INFO] httpx: HTTP Request: POST https://openrouter.ai/api/v1/chat/completions "HTTP/1.1 200 OK"
