/home/harry/code/corporate-bias/.venv/lib/python3.12/site-packages/dvclive/monitor_system.py:11: FutureWarning: The pynvml package is deprecated. Please install nvidia-ml-py instead. If you did not install pynvml directly, please report this to the maintainers of the package that installed pynvml for you.
  from pynvml import (
2026-07-08 18:59:46,941 [INFO] root: Running assay=single-entity-steering model=glm-5.2 
2026-07-08 18:59:46,966 [INFO] root: Invoking glm-5.2.
2026-07-08 18:59:46,967 [INFO] root: Invoking glm-5.2.
2026-07-08 18:59:46,967 [INFO] root: Invoking glm-5.2.
2026-07-08 18:59:46,968 [INFO] root: Invoking glm-5.2.
2026-07-08 18:59:46,969 [INFO] root: Invoking glm-5.2.
2026-07-08 18:59:46,970 [INFO] root: Invoking glm-5.2.
2026-07-08 18:59:46,971 [INFO] root: Invoking glm-5.2.
2026-07-08 18:59:46,972 [INFO] root: Invoking glm-5.2.
2026-07-08 18:59:46,974 [INFO] root: Invoking glm-5.2.
2026-07-08 18:59:46,975 [INFO] root: Invoking glm-5.2.
2026-07-08 18:59:46,977 [INFO] root: Invoking glm-5.2.
2026-07-08 18:59:46,978 [INFO] root: Invoking glm-5.2.
2026-07-08 18:59:46,982 [INFO] root: Invoking glm-5.2.
2026-07-08 18:59:46,983 [INFO] root: Invoking glm-5.2.
2026-07-08 18:59:46,985 [INFO] root: Invoking glm-5.2.
2026-07-08 18:59:46,986 [INFO] root: Invoking glm-5.2.
2026-07-08 18:59:46,988 [INFO] root: Invoking glm-5.2.
2026-07-08 18:59:46,989 [INFO] root: Invoking glm-5.2.
2026-07-08 18:59:46,990 [INFO] root: Invoking glm-5.2.
2026-07-08 18:59:46,992 [INFO] root: Invoking glm-5.2.
2026-07-08 18:59:46,993 [INFO] root: Invoking glm-5.2.
2026-07-08 18:59:46,994 [INFO] root: Invoking glm-5.2.
2026-07-08 18:59:46,996 [INFO] root: Invoking glm-5.2.
2026-07-08 18:59:46,998 [INFO] root: Invoking glm-5.2.
2026-07-08 18:59:47,001 [INFO] root: Invoking glm-5.2.
2026-07-08 18:59:47,004 [INFO] root: Invoking glm-5.2.
2026-07-08 18:59:47,007 [INFO] root: Invoking glm-5.2.
2026-07-08 18:59:47,010 [INFO] root: Invoking glm-5.2.
2026-07-08 18:59:47,014 [INFO] root: Invoking glm-5.2.
2026-07-08 18:59:47,016 [INFO] root: Invoking glm-5.2.
Queries:   0%|          | 0/39 [00:00<?, ?it/s]2026-07-08 18:59:47,018 [INFO] root: Invoking glm-5.2.
2026-07-08 18:59:47,025 [INFO] root: Invoking glm-5.2.
2026-07-08 18:59:47,027 [INFO] root: Invoking glm-5.2.
2026-07-08 18:59:47,031 [INFO] root: Invoking glm-5.2.
2026-07-08 18:59:47,033 [INFO] root: Invoking glm-5.2.
2026-07-08 18:59:47,040 [INFO] root: Invoking glm-5.2.
2026-07-08 18:59:47,043 [INFO] root: Invoking glm-5.2.
2026-07-08 18:59:47,048 [INFO] root: Invoking glm-5.2.
2026-07-08 18:59:47,049 [INFO] root: Invoking glm-5.2.
Queries: 100%|██████████| 39/39 [00:00<00:00, 484.45it/s]
2026-07-08 18:59:47,137 [INFO] root: Invoking glm-5.2.
2026-07-08 18:59:47,137 [INFO] root: Invoking glm-5.2.
2026-07-08 18:59:47,137 [INFO] root: Invoking glm-5.2.
2026-07-08 18:59:47,138 [INFO] root: Invoking glm-5.2.
2026-07-08 18:59:47,138 [INFO] root: Invoking glm-5.2.
2026-07-08 18:59:47,139 [INFO] root: Invoking glm-5.2.
2026-07-08 18:59:47,140 [INFO] root: Invoking glm-5.2.
2026-07-08 18:59:47,141 [INFO] root: Invoking glm-5.2.
2026-07-08 18:59:47,142 [INFO] root: Invoking glm-5.2.
2026-07-08 18:59:47,144 [INFO] root: Invoking glm-5.2.
2026-07-08 18:59:47,145 [INFO] root: Invoking glm-5.2.
2026-07-08 18:59:47,146 [INFO] root: Invoking glm-5.2.
2026-07-08 18:59:47,148 [INFO] root: Invoking glm-5.2.
2026-07-08 18:59:47,149 [INFO] root: Invoking glm-5.2.
2026-07-08 18:59:47,153 [INFO] root: Invoking glm-5.2.
2026-07-08 18:59:47,154 [INFO] root: Invoking glm-5.2.
2026-07-08 18:59:47,155 [INFO] root: Invoking glm-5.2.
2026-07-08 18:59:47,156 [INFO] root: Invoking glm-5.2.
2026-07-08 18:59:47,158 [INFO] root: Invoking glm-5.2.
2026-07-08 18:59:47,162 [INFO] root: Invoking glm-5.2.
2026-07-08 18:59:47,164 [INFO] root: Invoking glm-5.2.
2026-07-08 18:59:47,166 [INFO] root: Invoking glm-5.2.
Queries:   0%|          | 0/39 [00:00<?, ?it/s]2026-07-08 18:59:47,166 [INFO] root: Invoking glm-5.2.
2026-07-08 18:59:47,168 [INFO] root: Invoking glm-5.2.
2026-07-08 18:59:47,169 [INFO] root: Invoking glm-5.2.
2026-07-08 18:59:47,170 [INFO] root: Invoking glm-5.2.
2026-07-08 18:59:47,172 [INFO] root: Invoking glm-5.2.
2026-07-08 18:59:47,174 [INFO] root: Invoking glm-5.2.
2026-07-08 18:59:47,175 [INFO] root: Invoking glm-5.2.
2026-07-08 18:59:47,176 [INFO] root: Invoking glm-5.2.
2026-07-08 18:59:47,177 [INFO] root: Invoking glm-5.2.
2026-07-08 18:59:47,178 [INFO] root: Invoking glm-5.2.
2026-07-08 18:59:47,178 [INFO] root: Invoking glm-5.2.
2026-07-08 18:59:47,181 [INFO] root: Invoking glm-5.2.
2026-07-08 18:59:47,181 [INFO] root: Invoking glm-5.2.
