/home/harry/code/corporate-bias/.venv/lib/python3.12/site-packages/dvclive/monitor_system.py:11: FutureWarning: The pynvml package is deprecated. Please install nvidia-ml-py instead. If you did not install pynvml directly, please report this to the maintainers of the package that installed pynvml for you.
  from pynvml import (
2026-07-06 10:52:15,607 [INFO] root: Running assay=single-entity-steering model=gpt-4o-mini 
2026-07-06 10:52:15,625 [INFO] root: Invoking gpt-4o-mini.
2026-07-06 10:52:15,626 [INFO] root: Invoking gpt-4o-mini.
2026-07-06 10:52:15,626 [INFO] root: Invoking gpt-4o-mini.
2026-07-06 10:52:15,627 [INFO] root: Invoking gpt-4o-mini.
2026-07-06 10:52:15,627 [INFO] root: Invoking gpt-4o-mini.
2026-07-06 10:52:15,628 [INFO] root: Invoking gpt-4o-mini.
2026-07-06 10:52:15,629 [INFO] root: Invoking gpt-4o-mini.
2026-07-06 10:52:15,630 [INFO] root: Invoking gpt-4o-mini.
2026-07-06 10:52:15,630 [INFO] root: Invoking gpt-4o-mini.
2026-07-06 10:52:15,632 [INFO] root: Invoking gpt-4o-mini.
2026-07-06 10:52:15,633 [INFO] root: Invoking gpt-4o-mini.
2026-07-06 10:52:15,635 [INFO] root: Invoking gpt-4o-mini.
2026-07-06 10:52:15,636 [INFO] root: Invoking gpt-4o-mini.
2026-07-06 10:52:15,637 [INFO] root: Invoking gpt-4o-mini.
2026-07-06 10:52:15,639 [INFO] root: Invoking gpt-4o-mini.
2026-07-06 10:52:15,642 [INFO] root: Invoking gpt-4o-mini.
2026-07-06 10:52:15,643 [INFO] root: Invoking gpt-4o-mini.
2026-07-06 10:52:15,645 [INFO] root: Invoking gpt-4o-mini.
2026-07-06 10:52:15,648 [INFO] root: Invoking gpt-4o-mini.
2026-07-06 10:52:15,649 [INFO] root: Invoking gpt-4o-mini.
2026-07-06 10:52:15,650 [INFO] root: Invoking gpt-4o-mini.
2026-07-06 10:52:15,652 [INFO] root: Invoking gpt-4o-mini.
2026-07-06 10:52:15,655 [INFO] root: Invoking gpt-4o-mini.
2026-07-06 10:52:15,656 [INFO] root: Invoking gpt-4o-mini.
2026-07-06 10:52:15,658 [INFO] root: Invoking gpt-4o-mini.
2026-07-06 10:52:15,661 [INFO] root: Invoking gpt-4o-mini.
2026-07-06 10:52:15,662 [INFO] root: Invoking gpt-4o-mini.
