/home/harry/code/corporate-bias/.venv/lib/python3.12/site-packages/dvclive/monitor_system.py:11: FutureWarning: The pynvml package is deprecated. Please install nvidia-ml-py instead. If you did not install pynvml directly, please report this to the maintainers of the package that installed pynvml for you.
  from pynvml import (
2026-07-09 09:51:30,011 [INFO] root: Running assay=single-entity-steering model=gpt-5.4 
2026-07-09 09:51:30,034 [INFO] root: Invoking gpt-5.4.
2026-07-09 09:51:30,035 [INFO] root: Invoking gpt-5.4.
2026-07-09 09:51:30,036 [INFO] root: Invoking gpt-5.4.
2026-07-09 09:51:30,038 [INFO] root: Invoking gpt-5.4.
2026-07-09 09:51:30,039 [INFO] root: Invoking gpt-5.4.
2026-07-09 09:51:30,040 [INFO] root: Invoking gpt-5.4.
2026-07-09 09:51:30,040 [INFO] root: Invoking gpt-5.4.
2026-07-09 09:51:30,041 [INFO] root: Invoking gpt-5.4.
2026-07-09 09:51:30,042 [INFO] root: Invoking gpt-5.4.
2026-07-09 09:51:30,043 [INFO] root: Invoking gpt-5.4.
2026-07-09 09:51:30,046 [INFO] root: Invoking gpt-5.4.
2026-07-09 09:51:30,049 [INFO] root: Invoking gpt-5.4.
2026-07-09 09:51:30,050 [INFO] root: Invoking gpt-5.4.
2026-07-09 09:51:30,057 [INFO] root: Invoking gpt-5.4.
2026-07-09 09:51:30,059 [INFO] root: Invoking gpt-5.4.
2026-07-09 09:51:30,063 [INFO] root: Invoking gpt-5.4.
2026-07-09 09:51:30,065 [INFO] root: Invoking gpt-5.4.
2026-07-09 09:51:30,067 [INFO] root: Invoking gpt-5.4.
2026-07-09 09:51:30,072 [INFO] root: Invoking gpt-5.4.
2026-07-09 09:51:30,073 [INFO] root: Invoking gpt-5.4.
2026-07-09 09:51:30,078 [INFO] root: Invoking gpt-5.4.
2026-07-09 09:51:30,082 [INFO] root: Invoking gpt-5.4.
2026-07-09 09:51:30,086 [INFO] root: Invoking gpt-5.4.
2026-07-09 09:51:30,088 [INFO] root: Invoking gpt-5.4.
2026-07-09 09:51:30,090 [INFO] root: Invoking gpt-5.4.
2026-07-09 09:51:30,091 [INFO] root: Invoking gpt-5.4.
2026-07-09 09:51:30,100 [INFO] root: Invoking gpt-5.4.
2026-07-09 09:51:30,103 [INFO] root: Invoking gpt-5.4.
2026-07-09 09:51:30,105 [INFO] root: Invoking gpt-5.4.
2026-07-09 09:51:30,107 [INFO] root: Invoking gpt-5.4.
2026-07-09 09:51:30,110 [INFO] root: Invoking gpt-5.4.
2026-07-09 09:51:30,113 [INFO] root: Invoking gpt-5.4.
2026-07-09 09:51:30,115 [INFO] root: Invoking gpt-5.4.
2026-07-09 09:51:30,117 [INFO] root: Invoking gpt-5.4.
2026-07-09 09:51:30,120 [INFO] root: Invoking gpt-5.4.
2026-07-09 09:51:30,122 [INFO] root: Invoking gpt-5.4.
2026-07-09 09:51:30,124 [INFO] root: Invoking gpt-5.4.
2026-07-09 09:51:30,125 [INFO] root: Invoking gpt-5.4.
2026-07-09 09:51:30,126 [INFO] root: Invoking gpt-5.4.
Queries:   0%|          | 0/39 [00:00<?, ?it/s]2026-07-09 09:51:31,564 [INFO] httpx: HTTP Request: POST https://openrouter.ai/api/v1/chat/completions "HTTP/1.1 200 OK"
2026-07-09 09:51:31,572 [INFO] httpx: HTTP Request: POST https://openrouter.ai/api/v1/chat/completions "HTTP/1.1 200 OK"
2026-07-09 09:51:31,582 [INFO] httpx: HTTP Request: POST https://openrouter.ai/api/v1/chat/completions "HTTP/1.1 200 OK"
2026-07-09 09:51:31,588 [INFO] httpx: HTTP Request: POST https://openrouter.ai/api/v1/chat/completions "HTTP/1.1 200 OK"
2026-07-09 09:51:31,612 [INFO] httpx: HTTP Request: POST https://openrouter.ai/api/v1/chat/completions "HTTP/1.1 200 OK"
2026-07-09 09:51:31,613 [INFO] httpx: HTTP Request: POST https://openrouter.ai/api/v1/chat/completions "HTTP/1.1 200 OK"
2026-07-09 09:51:31,626 [INFO] httpx: HTTP Request: POST https://openrouter.ai/api/v1/chat/completions "HTTP/1.1 200 OK"
2026-07-09 09:51:31,630 [INFO] httpx: HTTP Request: POST https://openrouter.ai/api/v1/chat/completions "HTTP/1.1 200 OK"
2026-07-09 09:51:31,631 [INFO] httpx: HTTP Request: POST https://openrouter.ai/api/v1/chat/completions "HTTP/1.1 200 OK"
2026-07-09 09:51:31,637 [INFO] httpx: HTTP Request: POST https://openrouter.ai/api/v1/chat/completions "HTTP/1.1 200 OK"
2026-07-09 09:51:31,644 [INFO] httpx: HTTP Request: POST https://openrouter.ai/api/v1/chat/completions "HTTP/1.1 200 OK"
2026-07-09 09:51:31,650 [INFO] httpx: HTTP Request: POST https://openrouter.ai/api/v1/chat/completions "HTTP/1.1 200 OK"
2026-07-09 09:51:31,656 [INFO] httpx: HTTP Request: POST https://openrouter.ai/api/v1/chat/completions "HTTP/1.1 200 OK"
2026-07-09 09:51:31,657 [INFO] httpx: HTTP Request: POST https://openrouter.ai/api/v1/chat/completions "HTTP/1.1 200 OK"
