/home/harry/code/corporate-bias/.venv/lib/python3.12/site-packages/dvclive/monitor_system.py:11: FutureWarning: The pynvml package is deprecated. Please install nvidia-ml-py instead. If you did not install pynvml directly, please report this to the maintainers of the package that installed pynvml for you.
  from pynvml import (
2026-06-30 17:38:11,482 [INFO] root: Running assay=single-entity-steering model=gpt-oss-120b 
2026-06-30 17:38:11,503 [INFO] root: Invoking gpt-oss-120b.
2026-06-30 17:38:11,503 [INFO] root: Invoking gpt-oss-120b.
2026-06-30 17:38:11,504 [INFO] root: Invoking gpt-oss-120b.
2026-06-30 17:38:11,505 [INFO] root: Invoking gpt-oss-120b.
2026-06-30 17:38:11,505 [INFO] root: Invoking gpt-oss-120b.
2026-06-30 17:38:11,507 [INFO] root: Invoking gpt-oss-120b.
2026-06-30 17:38:11,508 [INFO] root: Invoking gpt-oss-120b.
2026-06-30 17:38:11,509 [INFO] root: Invoking gpt-oss-120b.
2026-06-30 17:38:11,510 [INFO] root: Invoking gpt-oss-120b.

Queries:   0%|          | 0/9 [00:00<?, ?it/s]
Queries: 100%|██████████| 9/9 [00:00<00:00, 261.07it/s]
2026-06-30 17:38:11,549 [INFO] root: Invoking gpt-oss-120b.
2026-06-30 17:38:11,550 [INFO] root: Invoking gpt-oss-120b.
2026-06-30 17:38:11,550 [INFO] root: Invoking gpt-oss-120b.
2026-06-30 17:38:11,551 [INFO] root: Invoking gpt-oss-120b.
2026-06-30 17:38:11,552 [INFO] root: Invoking gpt-oss-120b.
2026-06-30 17:38:11,552 [INFO] root: Invoking gpt-oss-120b.
2026-06-30 17:38:11,552 [INFO] root: Invoking gpt-oss-120b.

Queries:   0%|          | 0/9 [00:00<?, ?it/s]2026-06-30 17:38:11,554 [INFO] root: Invoking gpt-oss-120b.
2026-06-30 17:38:11,554 [INFO] root: Invoking gpt-oss-120b.

Queries: 100%|██████████| 9/9 [00:00<00:00, 712.24it/s]
2026-06-30 17:38:11,572 [INFO] root: Invoking gpt-5.4.
2026-06-30 17:38:11,573 [INFO] root: Invoking gemini-2.5-pro.
2026-06-30 17:38:11,574 [INFO] root: Invoking gpt-5.4.
2026-06-30 17:38:11,575 [INFO] root: Invoking gemini-2.5-pro.
2026-06-30 17:38:11,576 [INFO] root: Invoking gpt-5.4.
2026-06-30 17:38:11,577 [INFO] root: Invoking gemini-2.5-pro.
2026-06-30 17:38:11,580 [INFO] root: Invoking gpt-5.4.
2026-06-30 17:38:11,582 [INFO] root: Invoking gemini-2.5-pro.
2026-06-30 17:38:11,583 [INFO] root: Invoking gpt-5.4.
2026-06-30 17:38:11,586 [INFO] root: Invoking gemini-2.5-pro.
2026-06-30 17:38:11,587 [INFO] root: Invoking gpt-5.4.
2026-06-30 17:38:11,588 [INFO] root: Invoking gemini-2.5-pro.
2026-06-30 17:38:11,589 [INFO] root: Invoking gpt-5.4.
2026-06-30 17:38:11,592 [INFO] root: Invoking gemini-2.5-pro.
2026-06-30 17:38:11,593 [INFO] root: Invoking gpt-5.4.

Judgements:   0%|          | 0/18 [00:00<?, ?it/s]2026-06-30 17:38:11,595 [INFO] root: Invoking gemini-2.5-pro.
2026-06-30 17:38:11,595 [INFO] root: Invoking gpt-5.4.
2026-06-30 17:38:11,596 [INFO] root: Invoking gemini-2.5-pro.

Judgements: 100%|██████████| 18/18 [00:00<00:00, 1133.36it/s]
2026-06-30 17:38:11,630 [INFO] root: Saved assay results to /home/harry/code/corporate-bias/data/assays/single-entity-steering/gpt-oss-120b.parquet.
