/home/harry/code/corporate-bias/.venv/lib/python3.12/site-packages/dvclive/monitor_system.py:11: FutureWarning: The pynvml package is deprecated. Please install nvidia-ml-py instead. If you did not install pynvml directly, please report this to the maintainers of the package that installed pynvml for you.
  from pynvml import (
2026-07-01 23:21:23,290 [INFO] root: Running assay=single-entity-steering model=grok-4.20 
2026-07-01 23:21:23,328 [INFO] root: Invoking grok-4.20.
2026-07-01 23:21:23,331 [INFO] root: Invoking grok-4.20.
2026-07-01 23:21:23,332 [INFO] root: Invoking grok-4.20.
2026-07-01 23:21:23,333 [INFO] root: Invoking grok-4.20.
2026-07-01 23:21:23,333 [INFO] root: Invoking grok-4.20.
2026-07-01 23:21:23,335 [INFO] root: Invoking grok-4.20.
2026-07-01 23:21:23,339 [INFO] root: Invoking grok-4.20.
2026-07-01 23:21:23,342 [INFO] root: Invoking grok-4.20.
2026-07-01 23:21:23,346 [INFO] root: Invoking grok-4.20.
2026-07-01 23:21:23,348 [INFO] root: Invoking grok-4.20.
2026-07-01 23:21:23,349 [INFO] root: Invoking grok-4.20.
2026-07-01 23:21:23,354 [INFO] root: Invoking grok-4.20.
2026-07-01 23:21:23,359 [INFO] root: Invoking grok-4.20.
2026-07-01 23:21:23,361 [INFO] root: Invoking grok-4.20.
2026-07-01 23:21:23,365 [INFO] root: Invoking grok-4.20.
2026-07-01 23:21:23,369 [INFO] root: Invoking grok-4.20.
2026-07-01 23:21:23,385 [INFO] root: Invoking grok-4.20.
2026-07-01 23:21:23,387 [INFO] root: Invoking grok-4.20.
2026-07-01 23:21:23,391 [INFO] root: Invoking grok-4.20.
2026-07-01 23:21:23,395 [INFO] root: Invoking grok-4.20.
2026-07-01 23:21:23,398 [INFO] root: Invoking grok-4.20.
2026-07-01 23:21:23,401 [INFO] root: Invoking grok-4.20.
2026-07-01 23:21:23,403 [INFO] root: Invoking grok-4.20.
2026-07-01 23:21:23,412 [INFO] root: Invoking grok-4.20.
2026-07-01 23:21:23,419 [INFO] root: Invoking grok-4.20.
2026-07-01 23:21:23,425 [INFO] root: Invoking grok-4.20.
2026-07-01 23:21:23,437 [INFO] root: Invoking grok-4.20.
2026-07-01 23:21:23,448 [INFO] root: Invoking grok-4.20.
2026-07-01 23:21:23,452 [INFO] root: Invoking grok-4.20.
2026-07-01 23:21:23,456 [INFO] root: Invoking grok-4.20.
2026-07-01 23:21:23,458 [INFO] root: Invoking grok-4.20.
