/home/harry/code/corporate-bias/.venv/lib/python3.12/site-packages/dvclive/monitor_system.py:11: FutureWarning: The pynvml package is deprecated. Please install nvidia-ml-py instead. If you did not install pynvml directly, please report this to the maintainers of the package that installed pynvml for you.
  from pynvml import (
2026-07-06 10:52:23,495 [INFO] root: Running assay=single-entity-steering model=mistral-small-2603 
2026-07-06 10:52:23,515 [INFO] root: Invoking mistral-small-2603.
2026-07-06 10:52:23,516 [INFO] root: Invoking mistral-small-2603.
2026-07-06 10:52:23,516 [INFO] root: Invoking mistral-small-2603.
2026-07-06 10:52:23,517 [INFO] root: Invoking mistral-small-2603.
2026-07-06 10:52:23,519 [INFO] root: Invoking mistral-small-2603.
2026-07-06 10:52:23,520 [INFO] root: Invoking mistral-small-2603.
2026-07-06 10:52:23,521 [INFO] root: Invoking mistral-small-2603.
2026-07-06 10:52:23,522 [INFO] root: Invoking mistral-small-2603.
2026-07-06 10:52:23,523 [INFO] root: Invoking mistral-small-2603.
2026-07-06 10:52:23,524 [INFO] root: Invoking mistral-small-2603.
2026-07-06 10:52:23,526 [INFO] root: Invoking mistral-small-2603.
2026-07-06 10:52:23,527 [INFO] root: Invoking mistral-small-2603.
2026-07-06 10:52:23,530 [INFO] root: Invoking mistral-small-2603.
2026-07-06 10:52:23,535 [INFO] root: Invoking mistral-small-2603.
2026-07-06 10:52:23,536 [INFO] root: Invoking mistral-small-2603.
2026-07-06 10:52:23,539 [INFO] root: Invoking mistral-small-2603.
2026-07-06 10:52:23,541 [INFO] root: Invoking mistral-small-2603.
2026-07-06 10:52:23,543 [INFO] root: Invoking mistral-small-2603.
2026-07-06 10:52:23,546 [INFO] root: Invoking mistral-small-2603.
2026-07-06 10:52:23,549 [INFO] root: Invoking mistral-small-2603.
2026-07-06 10:52:23,550 [INFO] root: Invoking mistral-small-2603.
2026-07-06 10:52:23,554 [INFO] root: Invoking mistral-small-2603.
2026-07-06 10:52:23,555 [INFO] root: Invoking mistral-small-2603.
2026-07-06 10:52:23,557 [INFO] root: Invoking mistral-small-2603.
2026-07-06 10:52:23,559 [INFO] root: Invoking mistral-small-2603.
2026-07-06 10:52:23,565 [INFO] root: Invoking mistral-small-2603.
2026-07-06 10:52:23,567 [INFO] root: Invoking mistral-small-2603.
2026-07-06 10:52:23,574 [INFO] root: Invoking mistral-small-2603.
2026-07-06 10:52:23,579 [INFO] root: Invoking mistral-small-2603.
2026-07-06 10:52:23,580 [INFO] root: Invoking mistral-small-2603.
2026-07-06 10:52:23,582 [INFO] root: Invoking mistral-small-2603.
2026-07-06 10:52:23,583 [INFO] root: Invoking mistral-small-2603.
2026-07-06 10:52:23,584 [INFO] root: Invoking mistral-small-2603.
2026-07-06 10:52:23,584 [INFO] root: Invoking mistral-small-2603.
2026-07-06 10:52:23,586 [INFO] root: Invoking mistral-small-2603.
2026-07-06 10:52:23,587 [INFO] root: Invoking mistral-small-2603.
2026-07-06 10:52:23,588 [INFO] root: Invoking mistral-small-2603.
2026-07-06 10:52:23,588 [INFO] root: Invoking mistral-small-2603.
2026-07-06 10:52:23,589 [INFO] root: Invoking mistral-small-2603.

Queries:   0%|          | 0/39 [00:00<?, ?it/s]
Queries: 100%|██████████| 39/39 [00:00<00:00, 633.26it/s]
2026-07-06 10:52:23,655 [INFO] root: Invoking mistral-small-2603.
2026-07-06 10:52:23,655 [INFO] root: Invoking mistral-small-2603.
2026-07-06 10:52:23,656 [INFO] root: Invoking mistral-small-2603.
2026-07-06 10:52:23,656 [INFO] root: Invoking mistral-small-2603.
2026-07-06 10:52:23,657 [INFO] root: Invoking mistral-small-2603.
2026-07-06 10:52:23,657 [INFO] root: Invoking mistral-small-2603.
2026-07-06 10:52:23,658 [INFO] root: Invoking mistral-small-2603.
2026-07-06 10:52:23,659 [INFO] root: Invoking mistral-small-2603.
2026-07-06 10:52:23,661 [INFO] root: Invoking mistral-small-2603.
2026-07-06 10:52:23,663 [INFO] root: Invoking mistral-small-2603.
2026-07-06 10:52:23,665 [INFO] root: Invoking mistral-small-2603.
2026-07-06 10:52:23,666 [INFO] root: Invoking mistral-small-2603.
2026-07-06 10:52:23,667 [INFO] root: Invoking mistral-small-2603.
2026-07-06 10:52:23,672 [INFO] root: Invoking mistral-small-2603.
2026-07-06 10:52:23,673 [INFO] root: Invoking mistral-small-2603.
2026-07-06 10:52:23,676 [INFO] root: Invoking mistral-small-2603.
2026-07-06 10:52:23,678 [INFO] root: Invoking mistral-small-2603.
2026-07-06 10:52:23,681 [INFO] root: Invoking mistral-small-2603.
2026-07-06 10:52:23,682 [INFO] root: Invoking mistral-small-2603.
2026-07-06 10:52:23,683 [INFO] root: Invoking mistral-small-2603.
2026-07-06 10:52:23,685 [INFO] root: Invoking mistral-small-2603.
2026-07-06 10:52:23,686 [INFO] root: Invoking mistral-small-2603.
2026-07-06 10:52:23,686 [INFO] root: Invoking mistral-small-2603.
2026-07-06 10:52:23,688 [INFO] root: Invoking mistral-small-2603.
2026-07-06 10:52:23,689 [INFO] root: Invoking mistral-small-2603.
2026-07-06 10:52:23,690 [INFO] root: Invoking mistral-small-2603.

Queries:   0%|          | 0/39 [00:00<?, ?it/s]2026-07-06 10:52:23,691 [INFO] root: Invoking mistral-small-2603.
2026-07-06 10:52:23,692 [INFO] root: Invoking mistral-small-2603.
2026-07-06 10:52:23,696 [INFO] root: Invoking mistral-small-2603.
2026-07-06 10:52:23,697 [INFO] root: Invoking mistral-small-2603.
2026-07-06 10:52:23,699 [INFO] root: Invoking mistral-small-2603.
2026-07-06 10:52:23,701 [INFO] root: Invoking mistral-small-2603.
2026-07-06 10:52:23,701 [INFO] root: Invoking mistral-small-2603.
2026-07-06 10:52:23,702 [INFO] root: Invoking mistral-small-2603.
