/home/harry/code/corporate-bias/.venv/lib/python3.12/site-packages/dvclive/monitor_system.py:11: FutureWarning: The pynvml package is deprecated. Please install nvidia-ml-py instead. If you did not install pynvml directly, please report this to the maintainers of the package that installed pynvml for you.
  from pynvml import (
2026-07-06 10:52:26,058 [INFO] root: Running assay=single-entity-steering model=qwen3.5-flash-02-23 
2026-07-06 10:52:26,077 [INFO] root: Invoking qwen3.5-flash-02-23.
2026-07-06 10:52:26,078 [INFO] root: Invoking qwen3.5-flash-02-23.
2026-07-06 10:52:26,078 [INFO] root: Invoking qwen3.5-flash-02-23.
2026-07-06 10:52:26,079 [INFO] root: Invoking qwen3.5-flash-02-23.
2026-07-06 10:52:26,080 [INFO] root: Invoking qwen3.5-flash-02-23.
2026-07-06 10:52:26,081 [INFO] root: Invoking qwen3.5-flash-02-23.
2026-07-06 10:52:26,082 [INFO] root: Invoking qwen3.5-flash-02-23.
2026-07-06 10:52:26,083 [INFO] root: Invoking qwen3.5-flash-02-23.
2026-07-06 10:52:26,085 [INFO] root: Invoking qwen3.5-flash-02-23.
2026-07-06 10:52:26,086 [INFO] root: Invoking qwen3.5-flash-02-23.
2026-07-06 10:52:26,087 [INFO] root: Invoking qwen3.5-flash-02-23.
2026-07-06 10:52:26,090 [INFO] root: Invoking qwen3.5-flash-02-23.
2026-07-06 10:52:26,091 [INFO] root: Invoking qwen3.5-flash-02-23.
2026-07-06 10:52:26,092 [INFO] root: Invoking qwen3.5-flash-02-23.
2026-07-06 10:52:26,095 [INFO] root: Invoking qwen3.5-flash-02-23.
2026-07-06 10:52:26,097 [INFO] root: Invoking qwen3.5-flash-02-23.
2026-07-06 10:52:26,099 [INFO] root: Invoking qwen3.5-flash-02-23.
2026-07-06 10:52:26,102 [INFO] root: Invoking qwen3.5-flash-02-23.
2026-07-06 10:52:26,106 [INFO] root: Invoking qwen3.5-flash-02-23.
2026-07-06 10:52:26,113 [INFO] root: Invoking qwen3.5-flash-02-23.
2026-07-06 10:52:26,115 [INFO] root: Invoking qwen3.5-flash-02-23.
2026-07-06 10:52:26,116 [INFO] root: Invoking qwen3.5-flash-02-23.
2026-07-06 10:52:26,117 [INFO] root: Invoking qwen3.5-flash-02-23.
2026-07-06 10:52:26,123 [INFO] root: Invoking qwen3.5-flash-02-23.
2026-07-06 10:52:26,124 [INFO] root: Invoking qwen3.5-flash-02-23.
2026-07-06 10:52:26,126 [INFO] root: Invoking qwen3.5-flash-02-23.
2026-07-06 10:52:26,131 [INFO] root: Invoking qwen3.5-flash-02-23.
2026-07-06 10:52:26,133 [INFO] root: Invoking qwen3.5-flash-02-23.
2026-07-06 10:52:26,134 [INFO] root: Invoking qwen3.5-flash-02-23.
2026-07-06 10:52:26,137 [INFO] root: Invoking qwen3.5-flash-02-23.
2026-07-06 10:52:26,139 [INFO] root: Invoking qwen3.5-flash-02-23.
2026-07-06 10:52:26,141 [INFO] root: Invoking qwen3.5-flash-02-23.
2026-07-06 10:52:26,145 [INFO] root: Invoking qwen3.5-flash-02-23.
2026-07-06 10:52:26,146 [INFO] root: Invoking qwen3.5-flash-02-23.
2026-07-06 10:52:26,147 [INFO] root: Invoking qwen3.5-flash-02-23.
2026-07-06 10:52:26,148 [INFO] root: Invoking qwen3.5-flash-02-23.
Queries:   0%|          | 0/39 [00:00<?, ?it/s]2026-07-06 10:52:26,149 [INFO] root: Invoking qwen3.5-flash-02-23.
2026-07-06 10:52:26,150 [INFO] root: Invoking qwen3.5-flash-02-23.
2026-07-06 10:52:26,151 [INFO] root: Invoking qwen3.5-flash-02-23.
Queries: 100%|██████████| 39/39 [00:00<00:00, 608.96it/s]
2026-07-06 10:52:26,219 [INFO] root: Invoking qwen3.5-flash-02-23.
2026-07-06 10:52:26,220 [INFO] root: Invoking qwen3.5-flash-02-23.
2026-07-06 10:52:26,220 [INFO] root: Invoking qwen3.5-flash-02-23.
2026-07-06 10:52:26,221 [INFO] root: Invoking qwen3.5-flash-02-23.
2026-07-06 10:52:26,221 [INFO] root: Invoking qwen3.5-flash-02-23.
2026-07-06 10:52:26,222 [INFO] root: Invoking qwen3.5-flash-02-23.
2026-07-06 10:52:26,222 [INFO] root: Invoking qwen3.5-flash-02-23.
2026-07-06 10:52:26,224 [INFO] root: Invoking qwen3.5-flash-02-23.
2026-07-06 10:52:26,225 [INFO] root: Invoking qwen3.5-flash-02-23.
2026-07-06 10:52:26,226 [INFO] root: Invoking qwen3.5-flash-02-23.
2026-07-06 10:52:26,226 [INFO] root: Invoking qwen3.5-flash-02-23.
2026-07-06 10:52:26,227 [INFO] root: Invoking qwen3.5-flash-02-23.
2026-07-06 10:52:26,228 [INFO] root: Invoking qwen3.5-flash-02-23.
2026-07-06 10:52:26,228 [INFO] root: Invoking qwen3.5-flash-02-23.
2026-07-06 10:52:26,234 [INFO] root: Invoking qwen3.5-flash-02-23.
2026-07-06 10:52:26,248 [INFO] root: Invoking qwen3.5-flash-02-23.
2026-07-06 10:52:26,248 [INFO] root: Invoking qwen3.5-flash-02-23.
2026-07-06 10:52:26,248 [INFO] root: Invoking qwen3.5-flash-02-23.
2026-07-06 10:52:26,248 [INFO] root: Invoking qwen3.5-flash-02-23.
2026-07-06 10:52:26,249 [INFO] root: Invoking qwen3.5-flash-02-23.
2026-07-06 10:52:26,249 [INFO] root: Invoking qwen3.5-flash-02-23.
2026-07-06 10:52:26,249 [INFO] root: Invoking qwen3.5-flash-02-23.
2026-07-06 10:52:26,250 [INFO] root: Invoking qwen3.5-flash-02-23.
2026-07-06 10:52:26,250 [INFO] root: Invoking qwen3.5-flash-02-23.
Queries:   0%|          | 0/39 [00:00<?, ?it/s]2026-07-06 10:52:26,250 [INFO] root: Invoking qwen3.5-flash-02-23.
2026-07-06 10:52:26,250 [INFO] root: Invoking qwen3.5-flash-02-23.
2026-07-06 10:52:26,251 [INFO] root: Invoking qwen3.5-flash-02-23.
2026-07-06 10:52:26,251 [INFO] root: Invoking qwen3.5-flash-02-23.
2026-07-06 10:52:26,251 [INFO] root: Invoking qwen3.5-flash-02-23.
2026-07-06 10:52:26,251 [INFO] root: Invoking qwen3.5-flash-02-23.
2026-07-06 10:52:26,252 [INFO] root: Invoking qwen3.5-flash-02-23.
2026-07-06 10:52:26,252 [INFO] root: Invoking qwen3.5-flash-02-23.
2026-07-06 10:52:26,252 [INFO] root: Invoking qwen3.5-flash-02-23.
2026-07-06 10:52:26,254 [INFO] root: Invoking qwen3.5-flash-02-23.
2026-07-06 10:52:26,254 [INFO] root: Invoking qwen3.5-flash-02-23.
2026-07-06 10:52:26,254 [INFO] root: Invoking qwen3.5-flash-02-23.
2026-07-06 10:52:26,255 [INFO] root: Invoking qwen3.5-flash-02-23.
2026-07-06 10:52:26,256 [INFO] root: Invoking qwen3.5-flash-02-23.
2026-07-06 10:52:26,257 [INFO] root: Invoking qwen3.5-flash-02-23.
Queries: 100%|██████████| 39/39 [00:00<00:00, 1830.90it/s]
2026-07-06 10:52:26,284 [INFO] root: Invoking gpt-5.4.
2026-07-06 10:52:26,285 [INFO] root: Invoking gemini-2.5-pro.
2026-07-06 10:52:26,286 [INFO] root: Invoking gpt-5.4.
2026-07-06 10:52:26,287 [INFO] root: Invoking gemini-2.5-pro.
2026-07-06 10:52:26,288 [INFO] root: Invoking gpt-5.4.
2026-07-06 10:52:26,289 [INFO] root: Invoking gemini-2.5-pro.
2026-07-06 10:52:26,290 [INFO] root: Invoking gpt-5.4.
2026-07-06 10:52:26,291 [INFO] root: Invoking gemini-2.5-pro.
2026-07-06 10:52:26,292 [INFO] root: Invoking gpt-5.4.
2026-07-06 10:52:26,294 [INFO] root: Invoking gemini-2.5-pro.
2026-07-06 10:52:26,297 [INFO] root: Invoking gpt-5.4.
2026-07-06 10:52:26,298 [INFO] root: Invoking gemini-2.5-pro.
2026-07-06 10:52:26,299 [INFO] root: Invoking gpt-5.4.
2026-07-06 10:52:26,301 [INFO] root: Invoking gemini-2.5-pro.
2026-07-06 10:52:26,303 [INFO] root: Invoking gpt-5.4.
2026-07-06 10:52:26,304 [INFO] root: Invoking gemini-2.5-pro.
2026-07-06 10:52:26,307 [INFO] root: Invoking gpt-5.4.
2026-07-06 10:52:26,310 [INFO] root: Invoking gemini-2.5-pro.
2026-07-06 10:52:26,312 [INFO] root: Invoking gpt-5.4.
2026-07-06 10:52:26,314 [INFO] root: Invoking gemini-2.5-pro.
2026-07-06 10:52:26,315 [INFO] root: Invoking gpt-5.4.
2026-07-06 10:52:26,317 [INFO] root: Invoking gemini-2.5-pro.
2026-07-06 10:52:26,319 [INFO] root: Invoking gpt-5.4.
2026-07-06 10:52:26,320 [INFO] root: Invoking gemini-2.5-pro.
2026-07-06 10:52:26,324 [INFO] root: Invoking gpt-5.4.
2026-07-06 10:52:26,325 [INFO] root: Invoking gemini-2.5-pro.
2026-07-06 10:52:26,327 [INFO] root: Invoking gpt-5.4.
2026-07-06 10:52:26,328 [INFO] root: Invoking gemini-2.5-pro.
2026-07-06 10:52:26,331 [INFO] root: Invoking gpt-5.4.
2026-07-06 10:52:26,332 [INFO] root: Invoking gemini-2.5-pro.
2026-07-06 10:52:26,333 [INFO] root: Invoking gpt-5.4.
2026-07-06 10:52:26,336 [INFO] root: Invoking gemini-2.5-pro.
2026-07-06 10:52:26,339 [INFO] root: Invoking gpt-5.4.
2026-07-06 10:52:26,340 [INFO] root: Invoking gemini-2.5-pro.
2026-07-06 10:52:26,340 [INFO] root: Invoking gpt-5.4.
2026-07-06 10:52:26,341 [INFO] root: Invoking gemini-2.5-pro.
2026-07-06 10:52:26,349 [INFO] root: Invoking gpt-5.4.
2026-07-06 10:52:26,350 [INFO] root: Invoking gemini-2.5-pro.
2026-07-06 10:52:26,351 [INFO] root: Invoking gpt-5.4.
2026-07-06 10:52:26,351 [INFO] root: Invoking gemini-2.5-pro.
2026-07-06 10:52:26,352 [INFO] root: Invoking gpt-5.4.
2026-07-06 10:52:26,353 [INFO] root: Invoking gemini-2.5-pro.
2026-07-06 10:52:26,355 [INFO] root: Invoking gpt-5.4.
2026-07-06 10:52:26,355 [INFO] root: Invoking gemini-2.5-pro.
2026-07-06 10:52:26,357 [INFO] root: Invoking gpt-5.4.
2026-07-06 10:52:26,359 [INFO] root: Invoking gemini-2.5-pro.
2026-07-06 10:52:26,360 [INFO] root: Invoking gpt-5.4.
2026-07-06 10:52:26,362 [INFO] root: Invoking gemini-2.5-pro.
2026-07-06 10:52:26,364 [INFO] root: Invoking gpt-5.4.
Judgements:   0%|          | 0/78 [00:00<?, ?it/s]2026-07-06 10:52:26,365 [INFO] root: Invoking gemini-2.5-pro.
2026-07-06 10:52:26,366 [INFO] root: Invoking gpt-5.4.
2026-07-06 10:52:26,368 [INFO] root: Invoking gemini-2.5-pro.
2026-07-06 10:52:26,370 [INFO] root: Invoking gpt-5.4.
2026-07-06 10:52:26,371 [INFO] root: Invoking gemini-2.5-pro.
2026-07-06 10:52:26,371 [INFO] root: Invoking gpt-5.4.
2026-07-06 10:52:26,372 [INFO] root: Invoking gemini-2.5-pro.
2026-07-06 10:52:26,373 [INFO] root: Invoking gpt-5.4.
2026-07-06 10:52:26,373 [INFO] root: Invoking gemini-2.5-pro.
2026-07-06 10:52:26,375 [INFO] root: Invoking gpt-5.4.
2026-07-06 10:52:26,375 [INFO] root: Invoking gemini-2.5-pro.
2026-07-06 10:52:26,377 [INFO] root: Invoking gpt-5.4.
2026-07-06 10:52:26,378 [INFO] root: Invoking gemini-2.5-pro.
2026-07-06 10:52:26,383 [INFO] root: Invoking gpt-5.4.
2026-07-06 10:52:26,385 [INFO] root: Invoking gemini-2.5-pro.
2026-07-06 10:52:26,385 [INFO] root: Invoking gpt-5.4.
2026-07-06 10:52:26,387 [INFO] root: Invoking gemini-2.5-pro.
2026-07-06 10:52:26,387 [INFO] root: Invoking gpt-5.4.
2026-07-06 10:52:26,389 [INFO] root: Invoking gemini-2.5-pro.
2026-07-06 10:52:26,391 [INFO] root: Invoking gpt-5.4.
2026-07-06 10:52:26,392 [INFO] root: Invoking gemini-2.5-pro.
2026-07-06 10:52:26,392 [INFO] root: Invoking gpt-5.4.
2026-07-06 10:52:26,394 [INFO] root: Invoking gemini-2.5-pro.
2026-07-06 10:52:26,399 [INFO] root: Invoking gpt-5.4.
2026-07-06 10:52:26,400 [INFO] root: Invoking gemini-2.5-pro.
2026-07-06 10:52:26,400 [INFO] root: Invoking gpt-5.4.
2026-07-06 10:52:26,401 [INFO] root: Invoking gemini-2.5-pro.
2026-07-06 10:52:26,404 [INFO] root: Invoking gpt-5.4.
2026-07-06 10:52:26,405 [INFO] root: Invoking gemini-2.5-pro.
Judgements: 100%|██████████| 78/78 [00:00<00:00, 1169.14it/s]
2026-07-06 10:52:26,499 [INFO] root: Saved assay results to /home/harry/code/corporate-bias/data/assays/single-entity-steering/qwen3.5-flash-02-23.parquet.
